Country,Life Expectancy,Income,Infant Mortality,Fertility,Gini Coefficient,Reduced Dimension 1,Reduced Dimension 2,Continent
Burkina Faso,62.9,2280,66.5,4.87,37.3,2.764726129,-1.282347287,Africa
Burundi,64.9,733,52.3,5.22,42.7,2.710015128,-0.606326731,Africa
Cambodia,70.5,4450,24.0,2.39,41.4,0.473034513,0.271682501,Asia
Cameroon,64.3,3770,68.7,4.32,48.9,2.86548375,0.193852516,Africa
Canada,82.6,49100,4.76,1.56,35.5,-2.208983169,-0.052876055,North America
Cape Verde,74.3,6630,16.9,2.15,42.4,-0.050137594,0.536363887,Africa
Central African Republic,53.4,944,104.0,4.43,60.5,4.86971951,1.123380368,Africa
Chad,61.3,1450,110.0,5.36,45.6,4.234684102,-0.839854801,Africa
Chile,80.6,25500,6.5,1.74,46.6,-1.099369627,1.218807524,South America
China,78.1,18400,7.61,1.66,39.1,-1.057218676,0.362038346,Asia
Colombia,80.7,15200,12.8,1.75,53.7,-0.527881424,2.01245074,South America
Comoros,69.4,2950,62.3,3.95,45.1,2.091683296,-0.050516152,Africa
"Congo, Dem. Rep.",65.9,1140,81.4,5.52,45.8,3.421666254,-0.573414804,Africa
"Congo, Rep.",66.1,3340,45.4,4.31,51.4,2.377595582,0.703949969,Africa
Costa Rica,80.6,21700,7.75,1.71,50.0,-0.892229179,1.619958788,North America
Cote d'Ivoire,65.2,5550,73.8,4.54,43.6,2.762232039,-0.520253543,Africa
Croatia,79.1,31000,4.19,1.45,31.6,-1.795617555,-0.447822674,Europe
Cuba,79.0,10500,4.66,1.73,44.7,-0.798654705,1.046283667,North America
Cyprus,81.3,41200,2.09,1.34,32.7,-2.201834217,-0.284000655,Europe
Czech Republic,79.9,40500,3.04,1.63,27.2,-2.144766296,-1.014755765,Europe
Denmark,81.5,59100,3.72,1.78,30.0,-2.447685514,-0.774879559,Europe
Djibouti,67.7,5740,50.2,2.53,41.6,1.224465498,0.00439039,Africa
Dominican Republic,73.7,19800,26.3,2.26,43.8,0.016238219,0.546633945,North America
Ecuador,77.0,10800,12.7,2.33,47.9,-0.140851611,1.171631031,South America
Egypt,71.4,12600,18.6,2.98,33.4,0.099407288,-0.779047545,Africa
El Salvador,76.4,9040,11.7,1.96,40.6,-0.494989017,0.433227653,North America
Equatorial Guinea,67.0,16400,77.2,4.18,37.3,2.111054315,-1.199810742,Africa
Eritrea,64.8,1630,34.2,3.73,44.7,1.813857152,0.173769432,Africa
Estonia,78.5,38300,2.28,1.7,31.6,-1.82639505,-0.522096352,Europe
Eswatini,59.3,8660,47.9,2.81,56.8,2.407714403,1.636679322,Africa
Ethiopia,69.9,2460,46.5,3.56,37.5,1.327729065,-0.684465046,Africa
Fiji,68.8,11700,23.7,2.38,36.3,0.266416663,-0.346704994,Oceania
Finland,82.4,49600,1.47,1.79,27.3,-2.467198165,-1.037402236,Europe
France,83.3,46300,3.65,1.97,34.9,-2.081964444,-0.20801087,Europe
Gabon,68.4,14600,40.4,3.43,37.9,1.048563348,-0.595733739,Africa
Gambia,67.8,2270,51.7,4.99,35.0,2.082977826,-1.413371649,Africa
Georgia,73.8,15900,8.49,1.95,37.8,-0.600676782,0.100519224,Asia
Germany,81.7,53900,2.8,1.5,34.3,-2.340141248,-0.179084501,Europe
Ghana,67.1,5740,42.4,3.66,43.5,1.64972546,-0.011404187,Africa
Greece,81.4,30600,4.18,1.31,34.8,-1.901342331,-0.021190593,Europe
Grenada,73.5,15700,14.8,1.99,37.5,-0.447564797,-0.001507197,North America
Guatemala,73.2,9010,22.7,2.69,49.9,0.587353682,1.196215738,North America
Guinea,62.2,2770,89.4,4.41,35.6,2.998404744,-1.563579756,Africa
Guinea-Bissau,61.9,1980,73.6,4.2,53.5,3.288465393,0.701758171,Africa
Guyana,67.6,14700,27.9,2.37,45.2,0.693699942,0.632203557,South America
Haiti,64.7,2810,58.6,2.65,62.7,2.471716256,2.327115784,North America
Honduras,72.6,5790,15.8,2.26,50.0,0.38893019,1.385809096,North America
"Hong Kong, China",84.8,60400,1.88,1.42,53.7,-2.050036738,2.102438507,Asia
Hungary,77.0,34600,3.77,1.45,31.7,-1.71366771,-0.458847115,Europe
Iceland,84.5,54400,1.81,1.88,26.1,-2.715486044,-1.199951958,Europe
India,71.5,7190,31.6,2.2,39.4,0.342513039,0.024502808,Asia
Indonesia,71.9,12300,21.9,2.22,41.4,0.107553094,0.324257009,Asia
Iran,78.3,13100,12.4,1.54,44.5,-0.732947413,0.993428124,Asia
Iraq,73.7,9900,23.9,4.04,31.5,0.448388368,-1.300283991,Asia
Ireland,82.5,107000,2.79,1.97,33.2,-3.271928366,-0.570518549,Europe
Israel,83.5,42900,3.22,2.82,40.3,-1.497722475,0.206933771,Asia
Italy,83.5,42800,2.64,1.54,38.4,-2.099079965,0.33095925,Europe
Jamaica,76.6,9370,13.3,1.92,46.5,-0.290071649,1.113620754,North America
Japan,85.2,42100,2.24,1.53,34.9,-2.349195904,-0.052967,Asia
Jordan,78.7,10200,14.5,3.02,35.9,-0.369096616,-0.401040815,Asia
Kazakhstan,72.3,26300,8.46,2.47,29.9,-0.761303295,-0.99173437,Asia
Kenya,67.3,4700,36.1,3.52,42.6,1.444171128,-0.019306795,Africa
Kiribati,61.4,2270,46.6,3.42,37.0,1.889246285,-0.771865267,Oceania
Kuwait,81.8,49400,7.01,1.92,36.6,-1.925256911,-0.047415038,Asia
Kyrgyz Republic,73.9,4730,16.8,2.76,31.6,-0.12357437,-0.872451673,Asia
Lao,69.8,7930,40.9,2.41,38.8,0.697766833,-0.196752713,Asia
Latvia,76.3,32100,3.47,1.62,36.4,-1.380936902,0.044359697,Europe
Lebanon,76.9,10100,7.16,1.7,33.7,-0.993955432,-0.256345321,Asia
Lesotho,53.0,2480,69.9,2.83,47.0,3.074469374,0.273205986,Africa
Liberia,67.0,1440,63.5,4.19,37.4,2.144033127,-1.030488897,Africa
Libya,76.4,17000,10.6,2.07,39.6,-0.660676179,0.276027654,Africa
Lithuania,76.7,39700,3.65,1.71,37.6,-1.473990498,0.140125943,Europe
Luxembourg,83.4,119000,2.21,1.63,35.4,-3.641795355,-0.246791645,Europe
Madagascar,66.5,1560,44.3,3.87,46.5,2.005142272,0.270647914,Africa
Malawi,66.0,1500,41.1,4.18,47.2,2.13389394,0.293791828,Africa
Malaysia,75.5,28700,7.01,1.94,42.4,-0.841492975,0.626660579,Asia
Maldives,79.9,17500,7.17,1.88,31.3,-1.371839634,-0.578909282,Asia
Mali,63.0,2210,87.6,5.51,34.3,3.31880083,-1.981703546,Africa
Malta,83.0,43700,6.22,1.52,28.7,-2.366766656,-0.824318571,Europe
Mauritania,71.4,5310,69.3,4.32,32.5,1.731516773,-1.659050017,Africa
Mauritius,75.9,21500,13.9,1.43,36.8,-1.009406986,0.076196584,Africa
Mexico,75.9,18880,11.9,2.02,49.1,-0.31436996,1.368760767,North America
"Micronesia, Fed. Sts.",64.5,3260,28.1,2.89,40.6,1.196359519,-0.032383887,Oceania
Moldova,74.7,14400,14.0,1.24,27.5,-1.192839909,-0.94094954,Europe
Mongolia,68.6,11700,13.9,2.53,34.0,0.071631568,-0.568939191,Asia
Montenegro,76.3,21300,2.26,1.64,38.3,-1.119341886,0.299279351,Europe
Morocco,74.0,7440,19.0,2.3,41.3,0.018817005,0.346476964,Africa
Mozambique,59.6,1230,63.4,4.86,57.3,3.684078164,1.040010179,Africa
Myanmar,70.1,4000,41.4,2.09,32.8,0.414662921,-0.797953285,Asia
Namibia,66.3,8820,33.9,3.1,60.1,1.852691992,2.117952868,Africa
Nepal,71.9,3920,27.6,1.94,33.7,-0.011985022,-0.519707974,Asia
Netherlands,82.2,58200,3.32,1.76,30.1,-2.494581677,-0.746600786,Europe
New Zealand,82.2,44000,5.39,1.93,35.2,-1.928020745,-0.180081457,Oceania
Nicaragua,76.0,6040,16.1,2.04,46.3,-0.085434305,1.038827624,North America
Niger,63.6,1230,73.0,6.86,36.6,3.647488848,-1.938167676,Africa
Nigeria,65.5,5010,109.0,5.11,37.3,3.434646823,-1.703030602,Africa
North Korea,73.7,1620,15.4,1.86,42.0,-0.070778197,0.588946442,Asia
North Macedonia,74.8,17000,9.09,1.58,34.8,-0.943744284,-0.149371869,Europe
Norway,83.4,67900,2.18,1.83,27.6,-2.853941258,-1.061973386,Europe
Oman,74.6,32100,9.77,2.3,38.4,-0.783405201,0.027913865,Asia
Pakistan,66.3,4810,64.2,3.12,33.8,1.577236444,-1.184986191,Asia
Palestine,75.3,5680,18.6,3.64,35.5,0.288923613,-0.661137616,Asia
Panama,80.6,30700,14.0,2.37,51.7,-0.614593114,1.562995869,North America
Papua New Guinea,65.3,4150,42.8,3.39,43.5,1.711255297,0.0469069,Oceania
Paraguay,76.9,12500,18.8,2.33,47.7,-0.056094155,1.089926224,South America
Peru,80.9,12900,12.6,2.24,44.8,-0.621006275,0.862007012,South America
Philippines,72.2,8700,26.0,2.75,44.3,0.554655138,0.496327629,Asia
Poland,78.6,35600,3.9,1.29,32.4,-1.889653726,-0.326887538,Europe
Portugal,82.2,34900,3.13,1.25,35.6,-2.059804505,0.09085119,Europe
Qatar,76.7,95500,6.17,1.79,34.2,-2.592015752,-0.45008285,Asia
Romania,75.9,31300,6.53,1.58,37.9,-1.239475671,0.20105932,Europe
Russia,73.4,25600,6.12,1.79,40.8,-0.761648244,0.48102141,Europe
Rwanda,69.5,2360,29.1,3.47,45.9,1.289306099,0.46048792,Africa
Samoa,70.8,5820,14.1,3.69,38.7,0.669127125,-0.300147289,Oceania
Sao Tome and Principe,71.5,4010,27.6,4.1,33.0,0.87501636,-1.175635713,Africa
Saudi Arabia,75.0,47300,6.11,2.31,37.4,-1.208736077,-0.097340608,Asia
Senegal,69.3,3500,37.1,4.36,42.6,1.681898438,-0.231390517,Africa
Serbia,76.1,20500,4.87,1.64,32.2,-1.257761138,-0.429037129,Europe
Seychelles,73.8,28100,13.4,2.16,32.1,-0.860359888,-0.69126584,Africa
Sierra Leone,63.0,1680,94.1,3.9,37.9,2.92422517,-1.194030022,Africa
Singapore,85.3,113000,2.48,1.28,40.9,-3.60774161,0.511541276,Asia
Slovak Republic,78.0,32200,4.97,1.52,27.0,-1.858529991,-1.017576926,Europe
Slovenia,81.9,41200,2.02,1.68,26.5,-2.331065537,-1.086498418,Europe
Solomon Islands,59.5,2290,18.3,3.54,38.6,1.592161816,-0.386900915,Oceania
Somalia,59.4,1140,112.0,5.71,39.3,4.337396577,-1.693213696,Africa
South Africa,65.9,13200,30.5,2.31,65.7,1.61004129,2.98976597,Africa
South Korea,83.3,45300,2.76,1.39,32.7,-2.396143628,-0.298760047,Asia
South Sudan,64.6,1890,92.8,4.39,47.9,3.335807894,-0.14270787,Africa
Spain,83.5,39700,2.67,1.44,37.0,-2.129833348,0.203595073,Europe
Sri Lanka,77.8,13200,6.55,1.97,40.8,-0.767041342,0.498026859,Asia
St. Lucia,75.5,13900,15.2,1.41,51.2,-0.299384088,1.755151749,North America
St. Vincent and the Grenadines,73.3,12300,14.9,1.82,38.1,-0.413206743,0.119862593,North America
Sudan,71.2,3750,55.1,4.17,36.1,1.571155805,-1.076232185,Africa
Suriname,73.1,15200,17.1,2.24,61.0,0.581724807,2.63134987,South America
Sweden,83.3,53300,2.36,1.91,31.8,-2.377724076,-0.559068267,Europe
Switzerland,84.4,71700,3.73,1.57,35.0,-2.812600466,-0.152580965,Europe
Syria,76.7,4090,12.7,2.65,39.5,-0.159508839,0.130550012,Asia
Taiwan,80.8,61400,4.11,1.28,31.5,-2.583441155,-0.484089789,Asia
Tajikistan,70.1,3950,30.1,3.11,34.1,0.662455915,-0.818833711,Asia
Tanzania,68.1,2810,45.9,4.65,42.7,2.075881467,-0.380589962,Africa
Thailand,79.0,18100,8.04,1.42,36.3,-1.3087125,0.105456788,Asia
Timor-Leste,71.2,2860,40.0,4.86,30.9,1.393725136,-1.726963247,Asia
Togo,66.0,2230,62.7,4.08,45.1,2.418960307,-0.11289737,Africa
Tonga,73.3,6290,14.1,3.41,37.6,0.320324029,-0.335236312,Oceania
Trinidad and Tobago,75.2,24600,16.8,1.69,42.3,-0.657685327,0.604957264,North America
Tunisia,78.3,10600,14.8,2.07,34.9,-0.76609953,-0.272281804,Africa
Turkey,79.1,31800,9.02,1.95,44.1,-1.064897306,0.822855419,Europe
Turkmenistan,71.2,15300,42.8,2.63,44.7,0.789865865,0.402220035,Asia
Uganda,67.2,2160,40.4,5.06,45.2,2.307018362,-0.156979822,Africa
Ukraine,74.2,13400,7.62,1.61,28.8,-1.061013306,-0.833950566,Europe
United Arab Emirates,74.3,65200,6.79,1.66,27.2,-2.121360053,-1.166883863,Asia
United Kingdom,81.4,47200,4.14,1.87,38.4,-1.864153803,0.202129367,Europe
United States,79.1,65300,6.62,1.89,45.1,-1.746451384,0.883264425,North America
Uruguay,78.0,23200,6.86,1.94,40.9,-0.977671936,0.48889932,South America
Uzbekistan,68.7,7840,19.6,2.14,35.0,0.124606137,-0.388189219,Asia
Vanuatu,65.9,2760,23.4,3.07,37.6,0.977669765,-0.374153281,Oceania
Venezuela,75.3,5200,24.6,2.18,45.6,0.178436151,0.843613594,South America
Vietnam,74.8,8760,19.4,1.93,37.2,-0.356969799,-0.031191137,Asia
Yemen,68.0,2230,53.5,3.44,39.2,1.619783795,-0.530987895,Asia
Zambia,64.0,3320,51.5,4.65,59.6,3.08470029,1.493964819,Africa
Zimbabwe,61.7,3560,41.3,3.35,52.4,2.264143908,1.074546374,Africa
