Unnamed: 0,ConstituencyName,RegionName,MedianHPrice,MedianWeeklyWage,YearlySalary,Housepriceincreaseover5years,%Growth5years,%affordability,Component 1,Component 2
29,Birkenhead,North West,142250,476,24757,3451,3,17,-1.7408876230673913,-0.8951051167581395
30,"Birmingham, Edgbaston",West Midlands,235000,518,26910,7600,4,11,-0.2741193976533895,0.2852576804358976
31,"Birmingham, Erdington",West Midlands,180000,504,26203,7000,5,15,-1.168059899800126,0.1394763484089684
32,"Birmingham, Hall Green",West Midlands,240000,506,26286,10300,5,11,-0.4209528945531788,1.0478105900313874
33,"Birmingham, Hodge Hill",West Midlands,175000,508,26395,8000,6,15,-1.2220931555653405,0.5079717210647596
34,"Birmingham, Ladywood",West Midlands,190000,429,22303,4600,3,12,-1.683829544938492,0.2169687218582031
35,"Birmingham, Northfield",West Midlands,191000,607,31569,6328,4,17,0.1353856836011553,-1.3030657878928296
36,"Birmingham, Perry Barr",West Midlands,186000,533,27737,8100,6,15,-0.8485447707316657,0.3147941563039571
37,"Birmingham, Selly Oak",West Midlands,230000,440,22880,9750,5,10,-1.247846728495247,1.628272646078279
38,"Birmingham, Yardley",West Midlands,195000,506,26322,7400,5,13,-0.8879702765050401,0.3837251127425324
39,Bishop Auckland,North East,117000,449,23338,-1590,-1,20,-2.154126459443317,-2.758011607986869
40,Blackburn,North West,121550,490,25470,1510,1,21,-1.8174941553779989,-2.2301745438477454
41,Blackley and Broughton,North West,175000,494,25698,9000,7,15,-1.4883264235394789,1.0397606894936469
42,Blackpool North and Cleveleys,North West,146000,458,23800,4600,4,16,-1.954902020558112,-0.2050292020442675
43,Blackpool South,North West,122500,424,22048,2510,2,18,-2.488252304981104,-0.9600931890993912
44,Blaydon,North East,150000,469,24393,1000,1,16,-1.561425793101842,-1.613303697197967
45,Blyth Valley,North East,141000,486,25256,1210,1,18,-1.5451346456358244,-1.9302225406848248
46,Bognor Regis and Littlehampton,South East,295000,442,22989,7200,3,8,-0.6702193682736463,0.9995219170856382
47,Bolsover,East Midlands,155000,481,24991,5000,4,16,-1.605954549125419,-0.3377487381168905
48,Bolton North East,North West,155000,490,25464,3000,2,16,-1.3131284966045027,-1.2388987381178806
49,Bolton South East,North West,145000,443,23057,8000,8,16,-2.527203255880611,1.4811894721028052
50,Bolton West,North West,181000,459,23884,6400,4,13,-1.4607746759805975,0.366132441060771
51,Bootle,North West,145000,533,27690,4600,4,19,-1.254165289275722,-1.144287987991923
52,Boston and Skegness,East Midlands,186500,469,24383,6300,4,13,-1.3189949678422528,0.2742558399197823
53,Bosworth,East Midlands,236500,498,25912,7800,4,11,-0.5154394393288813,0.4890431556221341
54,Bournemouth East,South West,280000,499,25932,7600,3,9,-0.051758416869612,0.4372263007711732
55,Bournemouth West,South West,280000,498,25912,7800,3,9,-0.0513515106033327,0.4713303804573009
56,Bracknell,South East,365000,624,32453,7000,2,9,1.976260556824156,-0.8890351915209451
57,Bradford East,Yorkshire and The Humber,125000,451,23442,3400,3,19,-2.3123705601926736,-0.8906146735077353
58,Bradford South,Yorkshire and The Humber,127000,529,27529,2600,2,22,-1.4603881609074123,-2.237665227560006
59,Bradford West,Yorkshire and The Humber,123000,537,27903,3800,4,23,-1.6784752853434648,-1.6937335525509856
60,Braintree,East of England,310000,518,26910,7400,3,9,0.2869664831001094,0.290048438097524
61,Brent Central,London,525000,417,21668,10000,2,4,0.409813117171256,2.0786163275076177
62,Brent North,London,510000,579,30129,10000,2,6,2.296213103489364,0.4346860390033805
63,Brentford and Isleworth,London,530000,497,25865,7400,2,5,1.26173093352202,0.9202469934870166
64,Brentwood and Ongar,East of England,469375,475,24710,7875,2,5,0.7907047497793165,1.085148523056179
65,Bridgwater and West Somerset,South West,240000,453,23561,8000,4,10,-0.991777977858387,1.0133787281034412
66,Brigg and Goole,Yorkshire and The Humber,175000,492,25584,4250,3,15,-1.201710964634229,-0.6887772456426258
67,"Brighton, Kemptown",South East,369975,527,27383,9995,3,7,0.9128271388639132,0.8523384085072405
68,"Brighton, Pavilion",South East,403500,513,26666,8700,2,7,0.9181380813864178,0.5772034307372582
69,Bristol East,South West,290000,463,24076,9000,4,8,-0.4631503691881075,1.328561975681322
70,Bristol North West,South West,320000,481,25012,8000,3,8,-0.0394299266454478,0.806817530814346
71,Bristol South,South West,290000,502,26114,8600,3,9,0.0716891558002719,0.5643824237504114
72,Bristol West,South West,351000,620,32235,11650,4,9,1.825925180980927,0.3165655507649344
73,Broadland,East of England,285500,592,30800,7100,3,11,0.9788566377244244,-0.6327988512701446
74,Bromley and Chislehurst,London,482000,660,34310,11400,3,7,3.095467060686796,0.050577471334371
75,Bromsgrove,West Midlands,310625,489,25412,7135,3,8,-0.0095262197042225,0.6013597758454453
76,Broxbourne,East of England,399995,489,25412,9949,3,6,0.6078816464177189,1.3214584608769626
77,Broxtowe,East Midlands,225000,431,22422,9800,6,10,-1.513200339722285,1.9766965724908905
78,Buckingham,South East,411551,532,27669,2316,1,7,1.0283610986955738,-0.7430033874135283
79,Burnley,North West,118000,431,22412,5200,6,19,-2.914598093983314,0.3380541620169491
80,Burton,West Midlands,189950,500,26010,4290,3,14,-0.9523466799859378,-0.6392505811935062
81,Bury North,North West,205000,550,28605,11500,8,14,-0.581733599174171,1.3047175040194572
82,Bury South,North West,220000,524,27227,9000,5,12,-0.4055659868321862,0.5825842300795975
83,Bury St Edmunds,East of England,277875,579,30113,2876,1,11,0.8516598614173133,-1.6612454243876889
84,Calder Valley,Yorkshire and The Humber,180000,497,25818,4400,3,14,-1.0244593321378308,-0.6101990088860502
85,Camberwell and Peckham,London,495000,557,28969,4950,1,6,1.852383998968768,-0.3704092743671033
86,Camborne and Redruth,South West,240000,454,23608,9000,5,10,-1.066700600265437,1.4154977029175675
87,Cambridge,East of England,450750,499,25964,5150,1,6,0.956474488837093,0.0989522306617823
88,Cannock Chase,West Midlands,190526,531,27607,5305,3,14,-0.4996337395974732,-0.7693786174354079
89,Canterbury,South East,332050,490,25454,4410,1,8,0.2151335520201457,-0.2948073334173802
90,Carlisle,North West,132000,473,24601,0,0,19,-1.7564563327979954,-2.3629305981905797
91,Carshalton and Wallington,London,415000,488,25366,11000,3,6,0.6959185595412836,1.500866890035664
92,Castle Point,East of England,337000,620,32214,8400,3,10,1.665812809296208,-0.520990716030136
93,Central Devon,South West,285000,471,24476,7000,3,9,-0.4287472797810506,0.609073886532227
94,Central Suffolk and North Ipswich,East of England,292500,421,21876,5500,2,7,-0.8099139983219509,0.7662776702756611
95,Charnwood,East Midlands,260000,496,25776,7000,3,10,-0.2781023031007375,0.2561736711709528
96,Chatham and Aylesford,South East,268500,521,27087,4250,2,10,0.0830883106661007,-0.6077098887150456
97,Cheadle,North West,325000,481,24991,9000,3,8,0.022056060595325,0.95650610397762
98,Chelmsford,East of England,350000,500,26000,7000,2,7,0.4886049585187371,0.3678384128865341
99,Chelsea and Fulham,London,1150000,575,29895,28000,3,3,5.392659269908031,4.561443497367013
100,Cheltenham,South West,280000,566,29442,4400,2,11,0.6271454432184694,-1.0593859144669393
101,Chesham and Amersham,South East,637500,526,27368,18500,3,4,2.483861092321204,2.751368282331951
102,Chesterfield,East Midlands,179000,464,24133,5800,4,13,-1.4319730469891994,0.2356854810600487
103,Chichester,South East,385000,490,25496,4000,1,7,0.471228108616708,-0.1792642977340336
104,Chingford and Woodford Green,London,490500,613,31897,8100,2,7,2.4932111488662154,-0.2548287617382613
105,Chippenham,South West,280000,497,25828,3200,1,9,-0.0165117320579693,-0.7018943830214313
106,Chipping Barnet,London,624000,419,21793,16800,3,3,1.050917441906057,3.531300190726953
107,Chorley,North West,175500,468,24315,2300,1,14,-1.2476640290399914,-1.196292869989616
108,Christchurch,South West,405000,487,25314,9101,3,6,0.5593888883597753,1.228040768541396
109,Cities of London and Westminster,London,1175000,524,27227,-5000,0,2,3.745827720571471,-0.2825211868525012
110,City of Chester,North West,237250,491,25506,4000,2,11,-0.5198713918762538,-0.5171245313825406
111,City of Durham,North East,148000,476,24768,-100,0,17,-1.484047543838301,-2.1955322767694736
112,Clacton,East of England,250000,540,28085,6400,3,11,0.145581198926411,-0.3265362182167773
113,Cleethorpes,Yorkshire and The Humber,165000,459,23842,3305,2,14,-1.4883847360452678,-0.7218129662298414
114,Colchester,East of England,267750,406,21086,4950,2,8,-1.2078665953862822,0.6916443422133443
115,Colne Valley,Yorkshire and The Humber,186000,539,28038,4200,3,15,-0.5520465704370315,-1.0948904873236185
116,Congleton,North West,230000,527,27399,2000,1,12,-0.122877996375427,-1.4911344677394915
117,Copeland,North West,135000,730,37965,-1000,-1,28,0.8749149919758128,-5.867349809143637
118,Corby,East Midlands,235000,477,24778,6000,3,11,-0.7503728062759554,0.1535850964680995
119,Coventry North East,West Midlands,190000,460,23899,5600,3,13,-1.325156048417231,-0.0077098419522081
120,Coventry North West,West Midlands,215000,499,25932,8000,5,12,-0.7954433026401795,0.6554784274673424
121,Coventry South,West Midlands,227000,489,25402,7400,4,11,-0.6892019803891775,0.5010761514923634
122,Crawley,South East,316000,610,31704,4800,2,10,1.4301145674410245,-1.2412609112128423
123,Crewe and Nantwich,North West,185623,536,27882,3525,2,15,-0.4897875971667687,-1.4340265978545312
124,Croydon Central,London,377500,909,47289,2546,1,13,5.300466872751978,-4.652464810048975
125,Croydon North,London,365000,728,37872,5000,1,10,3.2842588569763413,-2.4522980395783294
126,Croydon South,London,462250,516,26837,5900,1,6,1.2513139982543708,0.072803928945014
127,Dagenham and Rainham,London,380000,572,29754,12400,4,8,1.4258272926614488,0.9830403821068942
128,Darlington,North East,130250,504,26208,250,0,20,-1.4377352925600015,-2.696266296050862
129,Dartford,South East,340600,579,30113,5120,2,9,1.2175346033163892,-0.7929307903093075
130,Daventry,East Midlands,295000,433,22537,3000,1,8,-0.7149061364713882,-0.0510402437643674
131,Denton and Reddish,North West,190000,439,22823,8900,6,12,-1.7539330005645597,1.5419630909669026
132,Derby North,East Midlands,184000,525,27316,6000,4,15,-0.7903952914731923,-0.4522684916329382
133,Derby South,East Midlands,160000,550,28584,6001,5,18,-0.9574357920507792,-0.713278576778314
134,Derbyshire Dales,East Midlands,290000,528,27456,6000,2,9,0.4216601405517903,-0.2992019053323748
135,Devizes,South West,330000,473,24570,10010,4,7,-0.0617372474837643,1.5392907979501476
136,Dewsbury,Yorkshire and The Humber,189000,481,24996,6600,4,13,-1.1410962409299394,0.2149785598607882
137,Don Valley,Yorkshire and The Humber,162500,453,23577,5150,4,15,-1.8425443939217352,0.0310628402611128
138,Doncaster Central,Yorkshire and The Humber,148000,494,25698,3800,3,17,-1.46935220785117,-0.9967738893698904
139,Doncaster North,Yorkshire and The Humber,140000,469,24404,4201,4,17,-1.937653962011184,-0.4621346073005083
140,Dover,South East,274000,512,26640,8050,3,10,0.0316954495239984,0.2811889161700571
141,Dudley North,West Midlands,185000,552,28709,8000,6,16,-0.7018631900762511,0.0408214507291954
142,Dudley South,West Midlands,195000,514,26728,8500,6,14,-0.9586698403629834,0.646702185684772
143,Dulwich and West Norwood,London,607500,526,27347,15700,3,5,2.156357534856045,2.221774202139615
144,Ealing Central and Acton,London,645000,634,32973,9255,2,5,3.524507644845219,0.1531055107137773
145,Ealing North,London,475000,540,28101,11800,3,6,1.619216401336461,1.2461548002348837
146,"Ealing, Southall",London,501913,608,31637,12383,3,6,2.6254537959921325,0.7691179226717993
147,Easington,North East,91000,471,24513,2200,3,27,-2.949008616199142,-2.025497396033601
148,East Devon,South West,316000,561,29151,6010,2,9,0.9381795486025016,-0.546361556339341
149,East Ham,London,420000,587,30508,4700,1,7,1.8849053357166063,-0.8808684320770254
150,East Hampshire,South East,400000,516,26842,6001,2,7,0.8205236466175013,0.1657858651730373
151,East Surrey,South East,455000,519,26993,13000,3,6,1.332134961902691,1.5691572661675703
152,East Worthing and Shoreham,South East,365000,466,24227,11225,4,7,0.025161951821895,1.825501591831495
153,East Yorkshire,Yorkshire and The Humber,194720,474,24648,4944,3,13,-1.1547764317593985,-0.2175835431285045
154,Eastbourne,South East,277000,463,24076,7225,3,9,-0.5475885877125585,0.6971578385089268
155,Eastleigh,South East,300000,530,27544,2010,1,9,0.4256972668168053,-1.128322983916288
156,Eddisbury,North West,265000,497,25823,6001,3,10,-0.2959580207613435,0.1160140377859254
157,Edmonton,London,405000,529,27513,8250,2,7,1.1127229157809566,0.3737993088630541
158,Ellesmere Port and Neston,North West,195000,554,28824,5800,3,15,-0.249489154550444,-0.9898882643894996
159,Elmet and Rothwell,Yorkshire and The Humber,246500,459,23873,5000,2,10,-0.7640074010987277,0.0097285158166414
160,Eltham,London,450000,574,29848,8000,2,7,1.8398395639834035,0.0131699800663813
161,Enfield North,London,430000,618,32141,9000,2,7,2.3945443962781967,-0.2687678949673799
162,"Enfield, Southgate",London,606000,595,30961,16200,3,5,3.078982438408983,1.676531430950976
163,Epping Forest,East of England,500000,550,28590,10010,2,6,1.8803983375501176,0.6793135251151979
164,Epsom and Ewell,South East,560000,486,25277,12000,2,5,1.434729757665595,1.7105124708924986
165,Erewash,East Midlands,183000,638,33181,7610,5,18,0.3477756398706332,-1.2318241454200116
166,Erith and Thamesmead,London,355000,460,23925,8500,3,7,-0.0798213188353533,1.2098672121330734
167,Esher and Walton,South East,675000,536,27862,19000,3,4,2.761481767140998,2.795133086774168
168,Exeter,South West,265000,470,24430,5010,2,9,-0.4680362233331399,0.036328109900228
169,Fareham,South East,315000,505,26234,6000,2,8,0.29386202158409,0.0382126831779852
170,Faversham and Mid Kent,South East,349995,505,26255,6200,2,8,0.4241967691197176,0.1204861397528311
171,Feltham and Heston,London,415000,532,27648,17600,5,7,1.2208807553565897,2.4849875221843467
172,Filton and Bradley Stoke,South West,320000,671,34876,10000,4,11,2.125169978142898,-0.5975156073384565
173,Finchley and Golders Green,London,750000,556,28928,29000,5,4,3.482398370766629,4.676334105201107
174,Folkestone and Hythe,South East,300500,471,24487,10100,4,8,-0.2719054335171298,1.4289014844495525
175,Forest of Dean,South West,265000,408,21195,10000,5,8,-1.3556578087352056,2.187513814507999
176,Fylde,North West,207750,539,28028,2550,1,13,-0.1060572954267102,-1.648078878072751
177,Gainsborough,East Midlands,205000,461,23967,6800,4,12,-1.2460508984524432,0.536253151969566
178,Garston and Halewood,North West,189975,515,26754,2196,1,14,-0.5906902567312307,-1.6031149376097142
179,Gateshead,North East,130000,502,26109,0,0,20,-1.475869650158519,-2.714366868733184
180,Gedling,East Midlands,208000,557,28964,8302,5,14,-0.2281365523590158,-0.011316676096273
181,Gillingham and Rainham,South East,279000,437,22708,7600,3,8,-0.7733079171302886,1.0758671837493905
182,Gloucester,South West,222000,488,25355,7200,4,11,-0.7279706681711441,0.4735089044982016
183,Gosport,South East,244250,477,24809,5350,2,10,-0.5200856074662584,-0.1041956202078995
184,Grantham and Stamford,East Midlands,225000,518,26910,5000,3,12,-0.3873819131377082,-0.4567471151701104
185,Gravesham,South East,336500,491,25506,9300,3,8,0.2050096867126062,0.9288392963465067
186,Great Grimsby,Yorkshire and The Humber,128000,483,25100,3600,3,20,-1.9670300910645155,-1.2320963352644665
187,Great Yarmouth,East of England,205000,559,29042,6800,4,14,-0.1517844888065623,-0.5123767454977634
188,Greenwich and Woolwich,London,470000,529,27518,4000,1,6,1.3581190592709058,-0.2960256869092293
189,Guildford,South East,492000,668,34752,5400,1,7,3.222759981809118,-1.3870404383976156
190,Hackney North and Stoke Newington,London,600000,556,28912,12360,2,5,2.500141589858114,1.205981024073263
191,Hackney South and Shoreditch,London,590000,761,39582,6000,1,7,4.795643534856427,-1.9684874692357768
192,Halesowen and Rowley Regis,West Midlands,206000,478,24877,7200,4,12,-0.9985770929712686,0.441168623142824
193,Halifax,Yorkshire and The Humber,138750,468,24310,3750,3,18,-1.9381870270318504,-0.8770731673443569
194,Haltemprice and Howden,Yorkshire and The Humber,224500,529,27503,6100,3,12,-0.1908779139621987,-0.4027946763631738
195,Halton,North West,150000,520,27035,3500,3,18,-1.2304657204060936,-1.355943740113244
196,Hammersmith,London,675000,753,39140,-10000,-1,6,4.579955665641254,-4.447181366961496
197,Hampstead and Kilburn,London,875000,823,42791,25150,3,5,7.383997561217854,1.3443044295570572
198,Harborough,East Midlands,265500,450,23400,7300,3,9,-0.7526259196101269,0.8042549918284064
199,Harlow,East of England,315000,480,24960,5600,2,8,-0.0481476060471735,0.2012664848640645
200,Harrogate and Knaresborough,Yorkshire and The Humber,275000,522,27149,1600,1,10,0.1287901906827624,-1.2483520104142851
201,Harrow East,London,565000,506,26307,11000,2,5,1.6642501347378886,1.4025100235099377
202,Harrow West,London,500000,498,25912,9000,2,5,1.248346276190108,1.087568440595177
203,Hartlepool,North East,126000,500,26005,400,0,21,-1.587865462891532,-2.738738073885868
204,Harwich and North Essex,East of England,290000,540,28090,4000,1,10,0.528444007126152,-1.0482846144566031
205,Hastings and Rye,South East,290000,441,22948,12000,5,8,-0.7412563754739461,2.21219597449772
206,Havant,South East,290000,495,25761,6300,2,9,0.0076388032205256,0.0329904553984782
207,Hayes and Harlington,London,410000,601,31257,8300,2,8,1.9807034756381807,-0.3399253913756508
208,Hazel Grove,North West,260000,381,19822,8650,4,8,-1.6503345599813724,1.9562790402726085
209,Hemel Hempstead,East of England,377000,482,25064,4550,1,7,0.3637184191592347,-0.0429938545199477
210,Hemsworth,Yorkshire and The Humber,159500,493,25615,4300,3,16,-1.332566407858039,-0.8052991713823922
211,Hendon,London,525000,514,26738,10000,2,5,1.5881832341610953,1.1264506942901706
212,Henley,South East,486000,619,32172,4200,1,7,2.5020861072369343,-1.128206016974565
213,Hereford and South Herefordshire,West Midlands,237500,460,23941,7700,4,10,-0.9209980872803246,0.9041022785964128
214,Hertford and Stortford,East of England,399995,390,20275,4999,1,5,-0.5565716869986426,1.0544164975391337
215,Hertsmere,East of England,535000,478,24851,16000,4,5,1.164305341587382,2.8429524169479032
216,Hexham,North East,235000,415,21559,1200,1,9,-1.3341896106974434,-0.3277566469621007
217,Heywood and Middleton,North West,175000,465,24170,8500,6,14,-1.66721853061129,1.049095460814213
218,High Peak,East Midlands,219745,463,24086,6949,4,11,-1.0699359031661777,0.6533669390756225
219,Hitchin and Harpenden,East of England,510000,632,32848,13300,3,6,3.004770497239612,0.7011315443889278
220,Holborn and St Pancras,London,700000,765,39785,-8000,-1,6,4.918187027028252,-4.235311873745923
221,Hornchurch and Upminster,London,440000,486,25256,12000,3,6,0.800759862393955,1.6990286116939128
222,Hornsey and Wood Green,London,632000,569,29583,8400,1,5,2.72492608815934,0.3180400773932317
223,Horsham,South East,400000,575,29921,6000,2,7,1.592120782516218,-0.3573726093448954
224,Houghton and Sunderland South,North East,137000,474,24638,-600,0,18,-1.6654649008336568,-2.3548095399521123
225,Hove,South East,378174,470,24419,6640,2,6,0.2637712209951929,0.7214961783742169
226,Huddersfield,Yorkshire and The Humber,149975,390,20290,3995,3,14,-2.537444535168369,0.2287934890346821
227,Huntingdon,East of England,285000,527,27383,1000,0,10,0.3308353229116578,-1.6289452390250614
228,Hyndburn,North West,123000,463,24081,3610,3,20,-2.2419237383363906,-1.0635198575959115
229,Ilford North,London,490000,467,24274,12490,3,5,0.8368196141133777,2.1069353316362585
230,Ilford South,London,445500,446,23176,10300,3,5,0.3081069370170991,1.9156001147095836
231,Ipswich,East of England,220000,579,30087,7000,4,14,0.1700819643455589,-0.6377628120176911
232,Isle of Wight,South East,247000,424,22048,9400,5,9,-1.324556303303538,1.839751331737718
233,Islington North,London,620000,640,33296,16000,3,5,3.703706755592226,1.273216514074808
234,Islington South and Finsbury,London,710000,768,39915,9600,1,6,5.549911335263427,-1.2402676762593756
235,Jarrow,North East,135500,432,22469,-500,0,17,-2.12099211203359,-1.8812344438841928
236,Keighley,Yorkshire and The Humber,179000,499,25938,4350,3,14,-1.0020806975149887,-0.6378550453727634
237,Kenilworth and Southam,West Midlands,345000,439,22818,2001,1,7,-0.4274281768870646,-0.0695017132683945
238,Kensington,London,1400000,607,31554,0,0,2,5.827240164986037,0.0421133882365731
239,Kettering,East Midlands,228500,425,22079,5700,3,10,-1.3734947493805425,0.6525310914456349
240,Kingston and Surbiton,London,489250,594,30904,5850,1,6,2.3598850609513,-0.5820677231428725
241,Kingston upon Hull East,Yorkshire and The Humber,125000,431,22412,3100,3,18,-2.4951303267621445,-0.6648407974928027
242,Kingston upon Hull North,Yorkshire and The Humber,132000,518,26931,2200,2,20,-1.4267369246440018,-2.0028299911860605
243,Kingston upon Hull West and Hessle,Yorkshire and The Humber,130000,440,22875,2000,2,18,-2.2787367451633926,-1.1605735493613332
244,Kingswood,South West,292000,445,23124,8900,4,8,-0.6981188345899915,1.4784189971318409
245,Knowsley,North West,159950,503,26161,6490,5,16,-1.3629564464003543,-0.0476149257868797
246,Lancaster and Fleetwood,North West,160000,445,23124,2300,2,14,-1.73426207954798,-0.7473810686300898
247,Leeds Central,Yorkshire and The Humber,145000,487,25319,5000,4,17,-1.6506648179789984,-0.4998431859672255
248,Leeds East,Yorkshire and The Humber,187750,433,22506,6050,4,12,-1.705937450328135,0.6518853480633059
249,Leeds North East,Yorkshire and The Humber,284000,477,24794,10000,4,9,-0.3459389355819123,1.2441880467830593
250,Leeds North West,Yorkshire and The Humber,260000,450,23390,6800,3,9,-0.7960797207499651,0.726347109062794
251,Leeds West,Yorkshire and The Humber,170050,499,25964,6910,5,15,-1.2685732627990125,0.1533982585919187
252,Leicester East,East Midlands,240000,480,24955,12000,7,10,-0.8553642968876212,2.1468266007847143
253,Leicester South,East Midlands,215750,493,25626,10150,6,12,-0.9035276219357894,1.2806777896081052
254,Leicester West,East Midlands,195000,434,22578,10600,7,12,-1.854722713490548,2.101408803967548
255,Leigh,North West,165000,436,22682,5651,4,14,-1.9424981512581856,0.3481343509467779
256,Lewes,South East,375000,513,26671,8350,3,7,0.6713540813353294,0.7527967625951577
257,Lewisham East,London,440000,630,32739,8001,2,7,2.534556761928662,-0.4964653822947207
258,Lewisham West and Penge,London,435000,467,24305,5000,1,6,0.4790265175194305,0.3354663169630767
259,"Lewisham, Deptford",London,465825,663,34471,7165,2,7,3.0151759149855306,-0.8653995343255854
260,Leyton and Wanstead,London,525000,578,30040,13000,3,6,2.3363028734555,1.161041983425393
261,Lichfield,West Midlands,262500,543,28231,5300,2,11,0.3083588720476221,-0.7567310480835249
262,Lincoln,East Midlands,181500,472,24534,6300,4,14,-1.3886115518101192,0.1485075687652218
263,"Liverpool, Riverside",North West,170000,556,28886,8500,7,17,-0.9064431984848405,0.2330085383748603
264,"Liverpool, Walton",North West,115000,507,26338,5600,6,23,-2.2819414072142514,-0.6475559561438659
265,"Liverpool, Wavertree",North West,160000,457,23785,4000,3,15,-1.718504677742847,-0.4398648296880569
266,"Liverpool, West Derby",North West,140000,464,24138,3000,2,17,-1.791249272444593,-1.1266934010715262
267,Loughborough,East Midlands,226000,508,26432,7200,4,12,-0.5399623166109792,0.2081798821223552
268,Louth and Horncastle,East Midlands,200000,484,25173,6500,4,13,-1.066846162309654,0.1902847950363286
269,Ludlow,West Midlands,255000,481,25012,6000,3,10,-0.5360456511389275,0.2396433902485332
270,Luton North,East of England,290000,505,26239,6450,3,9,0.0054270058413235,0.2397120447477223
271,Luton South,East of England,276000,503,26177,10200,5,9,-0.1547739242394985,1.2972908077324403
272,Macclesfield,North West,260000,536,27851,4000,2,11,0.1451210558925366,-0.8792898668764015
273,Maidenhead,South East,520000,613,31897,14000,3,6,2.828214076185024,0.9800599953209312
274,Maidstone and The Weald,South East,326000,541,28111,7200,2,9,0.7670641330227187,-0.1868906717810568
275,Makerfield,North West,160000,426,22136,6000,5,14,-2.211305462099204,0.7502968364092512
276,Maldon,East of England,370000,531,27607,7000,2,7,0.9602750490522663,0.126000812534773
277,Manchester Central,North West,215000,613,31886,8000,5,15,0.422348898398165,-0.6303461869229784
278,"Manchester, Gorton",North West,185000,553,28746,7575,5,16,-0.5761853752126835,-0.2968574733463242
279,"Manchester, Withington",North West,290000,454,23587,6000,2,8,-0.4558101022547137,0.4490145609938816
280,Mansfield,East Midlands,161550,536,27877,5710,4,17,-0.9202434796375312,-0.8084441965506659
281,Meon Valley,South East,355000,517,26905,8000,3,8,0.5514677549095841,0.5425622694795674
282,Meriden,West Midlands,299973,387,20103,5645,2,7,-1.2223221185232187,1.0998242851410451
283,Mid Bedfordshire,East of England,350000,472,24534,4800,1,7,0.1524795218494433,0.0380480774780649
284,Mid Derbyshire,East Midlands,238500,451,23431,8700,4,10,-0.9931626499061388,1.128806947952146
285,Mid Dorset and North Poole,South West,365000,479,24918,10425,3,7,0.2935595410190105,1.3266255767286066
286,Mid Norfolk,East of England,260000,609,31647,5000,2,12,1.0541262219260945,-1.476981809869795
287,Mid Sussex,South East,395000,541,28106,9010,3,7,1.133019152604238,0.6311937506505005
