Country Name,Mens Points,Womens Points,Alpha-3 code,Percentage Difference,Gender Inequality Index
Luxembourg,1235.36,1150.79,LUX,6.845777749,0.044
Madagascar,1193.78,691.0,MDG,42.11663791,0.556
Malawi,1144.77,942.66,MWI,17.65507482,0.554
Malaysia,1057.59,1231.94,MYS,-16.48559461,0.228
Maldives,1018.25,952.73,MDV,6.434569114,0.348
Mali,1442.88,1273.24,MLI,11.75704147,0.613
Malta,974.68,1231.0,MLT,-26.29786186,0.167
Mauritius,932.02,363.36,MUS,61.01371215,0.347
Mexico,1649.57,1628.95,MEX,1.250022733,0.309
Moldova,944.96,1170.7,MDA,-23.88884186,0.205
Mongolia,913.55,1111.95,MNG,-21.71747578,0.313
Montenegro,1354.59,1251.28,MNE,7.626661942,0.119
Morocco,1558.35,1315.41,MAR,15.58956589,0.425
Mozambique,1165.41,815.14,MOZ,30.05551694,0.537
Myanmar,1011.91,1517.95,MMR,-50.00839996,0.498
Namibia,1164.13,1020.53,NAM,12.3353921,0.445
Nepal,950.45,1196.73,NPL,-25.91193645,0.452
Netherlands,1679.41,2002.99,NLD,-19.26748084,0.025
New Zealand,1198.96,1741.94,NZL,-45.28758257,0.088
Nicaragua,1079.18,1157.63,NIC,-7.269408254,0.424
Niger,1155.23,877.93,NER,24.00387802,0.611
Nigeria,1504.7,1535.09,NGA,-2.019671695,0.68
North Macedonia,1375.2,1082.42,MKD,21.28999418,0.134
Norway,1488.57,1889.96,NOR,-26.96480515,0.016
Panama,1389.27,1425.65,PAN,-2.618641445,0.392
Papua New Guinea,997.6,1512.43,PNG,-51.60685646,0.725
Paraguay,1440.13,1510.53,PRY,-4.888447571,0.445
Peru,1562.24,1334.47,PER,14.57970606,0.38
Philippines,1115.13,1479.91,PHL,-32.71188113,0.419
Poland,1546.18,1647.92,POL,-6.5800877,0.109
Portugal,1678.65,1688.06,PRT,-0.560569505,0.067
Republic of Ireland,1442.48,1695.26,IRL,-17.52398647,0.074
Romania,1427.84,1574.3,ROU,-10.25745182,0.282
Russia,1493.42,1717.04,RUS,-14.97368456,0.203
Rwanda,1095.04,894.87,RWA,18.27969755,0.388
Samoa,894.26,1212.01,WSM,-35.53217185,0.418
Senegal,1584.59,1258.35,SEN,20.58829098,0.53
Serbia,1549.53,1630.68,SRB,-5.237071886,0.131
Sierra Leone,1169.71,1073.89,SLE,8.191774029,0.633
Singapore,1004.75,1088.77,SGP,-8.362279174,0.04
Slovakia,1439.99,1541.41,SVK,-7.043104466,0.18
Slovenia,1372.48,1536.95,SVN,-11.98341688,0.071
South Africa,1350.55,1464.36,ZAF,-8.426937174,0.405
South Sudan,983.99,649.69,SSD,33.9739225,0.587
Spain,1716.93,1983.13,ESP,-15.50441777,0.057
Sri Lanka,825.25,968.0,LKA,-17.29778855,0.383
St. Lucia,965.66,982.0,LCA,-1.692106953,0.381
St. Vincent and the Grenadines,939.97,950.85,VCT,-1.157483749,0.39
Suriname,1072.24,1089.15,SUR,-1.577072297,0.427
Sweden,1563.44,2050.18,SWE,-31.13263061,0.023
Switzerland,1621.43,1775.36,CHE,-9.493471812,0.018
Tajikistan,1179.1,1033.87,TJK,12.31702146,0.285
Tanzania,1121.91,965.82,TZA,13.91288071,0.56
Thailand,1170.69,1555.0,THA,-32.82764865,0.333
Timor-Leste,860.06,973.91,TLS,-13.23744855,0.378
Togo,1130.22,1138.33,TGO,-0.717559413,0.58
Tonga,861.81,1221.48,TON,-41.73425697,0.631
Trinidad and Tobago,1205.85,1318.11,TTO,-9.309615624,0.344
Tunisia,1507.86,1298.6,TUN,13.87794623,0.259
Turkiye,1475.13,1374.84,TUR,6.798722824,0.272
Turkmenistan,1100.47,1075.41,TKM,2.277208829,0.177
Uganda,1264.56,924.09,UGA,26.92398937,0.53
Ukraine,1542.79,1643.46,UKR,-6.525191374,0.2
United Arab Emirates,1346.09,1181.72,ARE,12.210922,0.049
Uruguay,1640.95,1374.14,URY,16.25948384,0.235
USA,1635.01,2111.47,USA,-29.14110617,0.179
Uzbekistan,1306.63,1523.83,UZB,-16.62291544,0.227
Venezuela,1405.17,1494.4,VEN,-6.350121338,0.492
Vietnam,1218.84,1643.66,VNM,-34.85445177,0.296
Zambia,1270.8,1280.19,ZMB,-0.738904627,0.54
Zimbabwe,1138.56,1115.59,ZWE,2.017460652,0.532
