id,OpponentName,start,end,PersonId,Time (seconds),id.1,Gender,Age Group,Favorite Activity,Height,zipcode,state,Event
1,Fast animal,2018-08-25 14:36:21.094 +00:00,2018-08-25 14:36:24.182 +00:00,1,3.0,1,male,Pre-Teen,Gaming,48.0,47408,IN,Makevention 2018
2,Fast person,2018-08-25 14:37:45.454 +00:00,2018-08-25 14:37:48.436 +00:00,2,3.0,2,other,Teen,Art,78.0,47408,IN,Makevention 2018
3,Fast animal,2018-08-25 14:38:51.384 +00:00,2018-08-25 14:38:59.454 +00:00,3,8.0,3,other,Pre-Teen,Gaming,48.0,47408,IN,Makevention 2018
4,Cartoon character,2018-08-25 14:39:39.368 +00:00,2018-08-25 14:39:42.618 +00:00,4,3.0,4,other,Pre-Teen,Cooking,57.0,47408,IN,Makevention 2018
5,Cartoon character,2018-08-25 14:40:53.440 +00:00,2018-08-25 14:40:56.766 +00:00,5,3.0,5,male,Pre-Teen,Art,78.0,47408,IN,Makevention 2018
6,Fast animal,2018-08-25 14:42:19.272 +00:00,2018-08-25 14:42:22.366 +00:00,6,3.0,6,other,Retired,Sports,7.0,47408,IN,Makevention 2018
8,Cartoon character,2018-08-25 14:45:02.090 +00:00,2018-08-25 14:45:05.176 +00:00,8,3.0,8,other,Adult,Gaming,73.0,47408,IN,Makevention 2018
9,Fast person,2018-08-25 14:46:21.412 +00:00,2018-08-25 14:46:24.354 +00:00,9,3.0,9,female,Pre-Teen,Sports,48.0,47408,IN,Makevention 2018
11,Fast animal,2018-08-25 14:49:23.288 +00:00,2018-08-25 14:49:26.784 +00:00,11,3.0,11,other,Pre-Teen,Gaming,48.0,47408,IN,Makevention 2018
12,Fast person,2018-08-25 14:51:32.568 +00:00,2018-08-25 14:51:35.790 +00:00,12,3.0,12,other,Pre-Teen,Gaming,48.0,47408,IN,Makevention 2018
13,Fast animal,2018-08-25 14:54:24.952 +00:00,2018-08-25 14:54:32.178 +00:00,13,7.0,13,other,Pre-Teen,Art,50.0,47408,IN,Makevention 2018
16,Fast animal,2018-08-25 14:57:49.906 +00:00,2018-08-25 14:58:03.450 +00:00,16,14.0,16,male,Pre-Teen,Art,50.0,47408,IN,Makevention 2018
17,Fast animal,2018-08-25 14:59:08.986 +00:00,2018-08-25 14:59:13.028 +00:00,17,4.0,17,other,Pre-Teen,Art,50.0,47408,IN,Makevention 2018
21,Fast person,2018-08-25 15:17:49.542 +00:00,2018-08-25 15:17:52.660 +00:00,21,3.0,21,male,Pre-Teen,Gaming,48.0,47408,IN,Makevention 2018
23,Fast animal,2018-08-25 15:18:48.206 +00:00,2018-08-25 15:18:51.388 +00:00,23,3.0,23,female,Pre-Teen,Gaming,48.0,47408,IN,Makevention 2018
24,Fast animal,2018-08-25 15:24:20.996 +00:00,2018-08-25 15:24:23.062 +00:00,24,2.0,24,male,Pre-Teen,Gaming,48.0,47408,IN,Makevention 2018
25,Fast animal,2018-08-25 15:29:49.840 +00:00,2018-08-25 15:29:59.248 +00:00,25,9.0,25,female,Adult,Other,68.0,47408,IN,Makevention 2018
26,Cartoon character,2018-08-25 15:30:56.162 +00:00,2018-08-25 15:31:00.832 +00:00,26,5.0,26,other,Adult,Other,68.0,47408,IN,Makevention 2018
31,Fast animal,2018-08-25 15:53:01.886 +00:00,2018-08-25 15:53:04.938 +00:00,31,3.0,31,female,Pre-Teen,Gaming,48.0,47408,IN,Makevention 2018
38,Cartoon character,2018-08-25 16:04:46.424 +00:00,2018-08-25 16:04:47.800 +00:00,38,1.0,38,other,Pre-Teen,Gaming,48.0,47408,IN,Makevention 2018
39,Fast animal,2018-08-25 16:05:34.276 +00:00,2018-08-25 16:05:37.652 +00:00,39,3.0,39,male,Pre-Teen,Gaming,48.0,47408,IN,Makevention 2018
40,Fast animal,2018-08-25 16:07:31.494 +00:00,2018-08-25 16:07:34.464 +00:00,40,3.0,40,other,Teen,Other,67.0,47408,IN,Makevention 2018
41,Fast person,2018-08-25 16:08:27.826 +00:00,2018-08-25 16:08:30.828 +00:00,41,3.0,41,male,Pre-Teen,Gaming,48.0,47408,IN,Makevention 2018
42,Fast person,2018-08-25 16:09:01.868 +00:00,2018-08-25 16:09:07.348 +00:00,42,5.0,42,female,Pre-Teen,Gaming,48.0,47408,IN,Makevention 2018
43,Fast animal,2018-08-25 16:09:44.920 +00:00,2018-08-25 16:09:47.974 +00:00,43,3.0,43,female,Pre-Teen,Gaming,48.0,47408,IN,Makevention 2018
44,Fast animal,2018-08-25 16:10:40.994 +00:00,2018-08-25 16:10:45.470 +00:00,44,4.0,44,other,Pre-Teen,Gaming,48.0,47408,IN,Makevention 2018
45,Fast animal,2018-08-25 16:13:36.286 +00:00,2018-08-25 16:13:39.694 +00:00,45,3.0,45,female,Pre-Teen,Gaming,48.0,47408,IN,Makevention 2018
48,Slow person,2018-08-25 16:21:32.040 +00:00,2018-08-25 16:21:35.690 +00:00,48,4.0,48,other,Retired,Other,37.0,47408,IN,Makevention 2018
49,Slow person,2018-08-25 16:21:58.476 +00:00,2018-08-25 16:22:02.550 +00:00,49,4.0,49,other,Pre-Teen,Other,37.0,47408,IN,Makevention 2018
51,Slow person,2018-08-25 17:00:38.318 +00:00,2018-08-25 17:00:44.470 +00:00,51,6.0,51,male,Retired,Other,30.0,47408,IN,Makevention 2018
52,Slow person,2018-08-25 17:01:18.044 +00:00,2018-08-25 17:01:21.026 +00:00,52,3.0,52,other,Pre-Teen,Gaming,58.0,47408,IN,Makevention 2018
53,Fast animal,2018-08-25 17:01:52.404 +00:00,2018-08-25 17:02:01.788 +00:00,53,9.0,53,male,Pre-Teen,Cooking,56.0,47408,IN,Makevention 2018
54,Fast animal,2018-08-25 17:02:41.150 +00:00,2018-08-25 17:02:44.196 +00:00,54,3.0,54,female,Teen,Art,64.0,47408,IN,Makevention 2018
55,Fast animal,2018-08-25 17:03:34.320 +00:00,2018-08-25 17:03:37.242 +00:00,55,3.0,55,other,Pre-Teen,Gaming,1234567890.0,47408,IN,Makevention 2018
65,Fast animal,2018-08-25 17:14:33.604 +00:00,2018-08-25 17:14:35.990 +00:00,65,2.0,65,male,Retired,Other,67.0,47408,IN,Makevention 2018
67,Fast animal,2018-08-25 17:16:50.812 +00:00,2018-08-25 17:16:54.856 +00:00,67,4.0,67,other,Pre-Teen,Gaming,56.0,47408,IN,Makevention 2018
80,Fast animal,2018-08-25 17:57:12.250 +00:00,2018-08-25 17:57:19.172 +00:00,80,7.0,80,male,Adult,Gaming,52.0,47408,IN,Makevention 2018
81,Fast animal,2018-08-25 17:57:41.402 +00:00,2018-08-25 17:57:44.968 +00:00,81,4.0,81,female,Adult,Other,52.0,47408,IN,Makevention 2018
86,Fast animal,2018-08-25 18:38:33.008 +00:00,,86,,86,other,Adult,Other,66.0,47408,IN,Makevention 2018
88,Slow person,2018-08-25 18:40:54.814 +00:00,2018-08-25 18:41:01.286 +00:00,88,6.0,88,female,Adult,Other,66.0,47408,IN,Makevention 2018
94,Fast animal,2018-08-25 19:36:51.876 +00:00,,94,,94,female,Pre-Teen,Cooking,64.0,47408,IN,Makevention 2018
95,Slow animal,2018-08-25 19:37:31.128 +00:00,2018-08-25 19:37:33.902 +00:00,95,3.0,95,other,Pre-Teen,Other,64.0,47408,IN,Makevention 2018
68,Fast animal,2018-08-25 17:18:32.936 +00:00,2018-08-25 17:18:36.808 +00:00,68,4.0,68,male,Retired,Gaming,1.0,47581,IN,Makevention 2018
69,Fast person,2018-08-25 17:19:43.608 +00:00,2018-08-25 17:19:47.366 +00:00,69,4.0,69,female,Adult,Gaming,97.0,47586,IN,Makevention 2018
66,Cartoon character,2018-08-25 17:16:13.990 +00:00,2018-08-25 17:16:15.952 +00:00,66,2.0,66,other,Teen,Sports,7.0,48768,MI,Makevention 2018
27,Fast person,2018-08-25 15:31:38.640 +00:00,2018-08-25 15:31:42.290 +00:00,27,4.0,27,other,Adult,Art,72.0,88001,NM,Makevention 2018
43,None,2019-08-22 18:09:25.983 +00:00,2019-08-22 18:09:28.599 +00:00,43,3.0,43,Unkown,Teen,Cooking,58.0,2349,MA,Makevention 2019
41,None,2019-08-22 17:33:00.909 +00:00,2019-08-22 17:33:01.917 +00:00,41,1.0,41,Unkown,Adult,Gaming,74.0,12784,NY,Makevention 2019
42,None,2019-08-22 17:34:53.707 +00:00,2019-08-22 17:35:03.371 +00:00,42,10.0,42,Unkown,Retired,Sports,94.0,40826,KY,Makevention 2019
182,None,2019-08-24 19:52:04.372 +00:00,2019-08-24 19:52:05.994 +00:00,182,2.0,182,Unkown,Adult,Gaming,67.0,45245,OH,Makevention 2019
17,None,2019-08-20 15:45:53.410 +00:00,2019-08-20 15:45:56.058 +00:00,17,3.0,17,Unkown,Pre-Teen,Cooking,45.0,46253,IN,Makevention 2019
20,None,2019-08-20 18:23:50.294 +00:00,2019-08-20 18:23:51.115 +00:00,20,1.0,20,Unkown,Adult,Art,58.0,46254,IN,Makevention 2019
30,None,2019-08-21 14:39:16.468 +00:00,2019-08-21 14:39:18.938 +00:00,30,2.0,30,Unkown,Retired,Art,71.0,46254,IN,Makevention 2019
105,None,2019-08-24 16:46:22.603 +00:00,2019-08-24 16:46:23.995 +00:00,105,1.0,105,Unkown,Pre-Teen,Cooking,66.0,47017,IN,Makevention 2019
28,None,2019-08-21 14:08:40.545 +00:00,2019-08-21 14:08:43.923 +00:00,28,3.0,28,Unkown,Kid,Other,71.0,47041,IN,Makevention 2019
34,None,2019-08-21 16:01:18.153 +00:00,2019-08-21 16:01:21.276 +00:00,34,3.0,34,Unkown,Adult,Gaming,62.0,47265,IN,Makevention 2019
110,None,2019-08-24 17:16:10.090 +00:00,2019-08-24 17:16:14.769 +00:00,110,5.0,110,Unkown,Retired,Art,60.0,47265,IN,Makevention 2019
123,None,2019-08-24 17:38:15.739 +00:00,2019-08-24 17:38:22.948 +00:00,123,7.0,123,Unkown,Teen,Gaming,57.0,47265,IN,Makevention 2019
124,None,2019-08-24 17:39:11.197 +00:00,2019-08-24 17:39:13.633 +00:00,124,2.0,124,Unkown,Teen,Gaming,57.0,47265,IN,Makevention 2019
125,None,2019-08-24 17:40:09.354 +00:00,2019-08-24 17:40:11.471 +00:00,125,2.0,125,Unkown,Teen,Gaming,57.0,47265,IN,Makevention 2019
137,None,2019-08-24 18:07:44.167 +00:00,2019-08-24 18:07:48.348 +00:00,137,4.0,137,Unkown,Kid,Cooking,36.0,47265,IN,Makevention 2019
138,None,2019-08-24 18:09:15.481 +00:00,2019-08-24 18:09:17.854 +00:00,138,2.0,138,Unkown,Adult,Sports,61.0,47265,IN,Makevention 2019
139,None,2019-08-24 18:16:27.307 +00:00,2019-08-24 18:16:28.444 +00:00,139,1.0,139,Unkown,Kid,Other,96.0,47265,IN,Makevention 2019
140,None,2019-08-24 18:17:24.541 +00:00,2019-08-24 18:17:26.660 +00:00,140,2.0,140,Unkown,Teen,Gaming,57.0,47265,IN,Makevention 2019
142,None,2019-08-24 18:21:00.113 +00:00,2019-08-24 18:21:01.717 +00:00,142,2.0,142,Unkown,Teen,Gaming,57.0,47265,IN,Makevention 2019
143,None,2019-08-24 18:21:39.955 +00:00,2019-08-24 18:21:41.767 +00:00,143,2.0,143,Unkown,Teen,Gaming,57.0,47265,IN,Makevention 2019
144,None,2019-08-24 18:22:15.694 +00:00,2019-08-24 18:22:17.272 +00:00,144,2.0,144,Unkown,Teen,Gaming,57.0,47265,IN,Makevention 2019
145,None,2019-08-24 18:22:53.644 +00:00,2019-08-24 18:22:55.373 +00:00,145,2.0,145,Unkown,,Gaming,57.0,47265,IN,Makevention 2019
146,None,2019-08-24 18:24:04.601 +00:00,2019-08-24 18:24:11.184 +00:00,146,7.0,146,Unkown,Adult,Gaming,57.0,47265,IN,Makevention 2019
148,None,2019-08-24 18:26:34.935 +00:00,2019-08-24 18:26:36.714 +00:00,148,2.0,148,Unkown,Teen,Gaming,57.0,47265,IN,Makevention 2019
149,None,2019-08-24 18:27:32.078 +00:00,2019-08-24 18:27:33.653 +00:00,149,2.0,149,Unkown,Kid,Other,55.0,47265,IN,Makevention 2019
150,None,2019-08-24 18:28:08.809 +00:00,2019-08-24 18:28:09.595 +00:00,150,1.0,150,Unkown,Teen,Gaming,57.0,47265,IN,Makevention 2019
151,None,2019-08-24 18:28:51.022 +00:00,2019-08-24 18:28:51.954 +00:00,151,1.0,151,Unkown,Kid,Other,55.0,47265,IN,Makevention 2019
155,None,2019-08-24 18:33:57.627 +00:00,2019-08-24 18:33:59.307 +00:00,155,2.0,155,Unkown,Teen,Gaming,57.0,47265,IN,Makevention 2019
157,None,2019-08-24 18:35:28.465 +00:00,2019-08-24 18:35:28.763 +00:00,157,0.0,157,Unkown,Teen,Gaming,57.0,47265,IN,Makevention 2019
159,None,2019-08-24 18:37:20.507 +00:00,2019-08-24 18:37:22.349 +00:00,159,2.0,159,Unkown,Teen,Gaming,57.0,47265,IN,Makevention 2019
162,None,2019-08-24 18:40:00.235 +00:00,2019-08-24 18:40:02.040 +00:00,162,2.0,162,Unkown,Teen,Cooking,74.0,47265,IN,Makevention 2019
7,None,2019-08-19 17:21:38.710 +00:00,,7,,7,Unkown,Pre-Teen,Cooking,65.0,47401,IN,Makevention 2019
8,None,2019-08-19 17:22:58.194 +00:00,,8,,8,Unkown,Pre-Teen,Cooking,43.0,47401,IN,Makevention 2019
9,None,2019-08-19 17:30:15.523 +00:00,2019-08-19 17:30:20.985 +00:00,9,5.0,9,Unkown,Pre-Teen,Cooking,61.0,47401,IN,Makevention 2019
10,None,2019-08-19 17:44:42.464 +00:00,2019-08-19 17:44:44.757 +00:00,10,2.0,10,Unkown,Pre-Teen,Cooking,46.0,47401,IN,Makevention 2019
11,None,2019-08-19 18:15:14.991 +00:00,2019-08-19 18:15:17.737 +00:00,11,3.0,11,Unkown,Teen,,55.0,47401,IN,Makevention 2019
12,None,2019-08-19 18:22:22.684 +00:00,2019-08-19 18:22:27.131 +00:00,12,4.0,12,Unkown,Pre-Teen,Cooking,46.0,47401,IN,Makevention 2019
13,None,2019-08-19 18:26:43.440 +00:00,2019-08-19 18:26:45.210 +00:00,13,2.0,13,Unkown,Teen,Cooking,41.0,47401,IN,Makevention 2019
14,None,2019-08-19 19:43:21.953 +00:00,2019-08-19 19:43:24.604 +00:00,14,3.0,14,Unkown,Pre-Teen,Cooking,45.0,47401,IN,Makevention 2019
15,None,2019-08-19 19:46:20.184 +00:00,2019-08-19 19:46:22.611 +00:00,15,2.0,15,Unkown,Pre-Teen,,49.0,47401,IN,Makevention 2019
16,None,2019-08-20 15:43:33.949 +00:00,2019-08-20 15:43:36.972 +00:00,16,3.0,16,Unkown,Teen,Cooking,52.0,47401,IN,Makevention 2019
18,None,2019-08-20 18:20:54.892 +00:00,2019-08-20 18:20:56.680 +00:00,18,2.0,18,Unkown,Adult,Sports,51.0,47401,IN,Makevention 2019
19,None,2019-08-20 18:21:38.310 +00:00,2019-08-20 18:21:40.180 +00:00,19,2.0,19,Unkown,Adult,Art,47.0,47401,IN,Makevention 2019
21,None,2019-08-20 20:31:20.525 +00:00,2019-08-20 20:31:23.371 +00:00,21,3.0,21,Unkown,Kid,Art,77.0,47401,IN,Makevention 2019
22,None,2019-08-20 20:32:42.554 +00:00,2019-08-20 20:32:45.840 +00:00,22,3.0,22,Unkown,Pre-Teen,Gaming,56.0,47401,IN,Makevention 2019
23,None,2019-08-20 20:34:09.091 +00:00,2019-08-20 20:34:11.402 +00:00,23,2.0,23,Unkown,Pre-Teen,Sports,51.0,47401,IN,Makevention 2019
24,None,2019-08-20 20:36:32.006 +00:00,2019-08-20 20:36:34.129 +00:00,24,2.0,24,Unkown,Pre-Teen,Cooking,50.0,47401,IN,Makevention 2019
25,None,2019-08-20 20:55:47.037 +00:00,2019-08-20 20:55:49.935 +00:00,25,3.0,25,Unkown,Pre-Teen,Cooking,47.0,47401,IN,Makevention 2019
26,None,2019-08-21 12:07:07.110 +00:00,2019-08-21 12:07:09.991 +00:00,26,3.0,26,Unkown,Adult,Gaming,66.0,47401,IN,Makevention 2019
27,None,2019-08-21 13:50:08.539 +00:00,2019-08-21 13:50:11.166 +00:00,27,3.0,27,Unkown,Teen,Cooking,49.0,47401,IN,Makevention 2019
29,None,2019-08-21 14:12:13.930 +00:00,2019-08-21 14:12:17.015 +00:00,29,3.0,29,Unkown,Adult,Gaming,70.0,47401,IN,Makevention 2019
31,None,2019-08-21 14:43:56.030 +00:00,2019-08-21 14:43:59.142 +00:00,31,3.0,31,Unkown,Adult,Gaming,69.0,47401,IN,Makevention 2019
35,None,2019-08-21 17:39:26.989 +00:00,2019-08-21 17:39:30.257 +00:00,35,3.0,35,Unkown,Adult,Gaming,70.0,47401,IN,Makevention 2019
36,None,2019-08-21 19:13:58.171 +00:00,2019-08-21 19:13:59.904 +00:00,36,2.0,36,Unkown,Kid,Cooking,50.0,47401,IN,Makevention 2019
37,None,2019-08-21 19:14:54.700 +00:00,2019-08-21 19:14:56.230 +00:00,37,2.0,37,Unkown,Adult,Gaming,58.0,47401,IN,Makevention 2019
38,None,2019-08-22 11:53:48.822 +00:00,2019-08-22 11:53:51.791 +00:00,38,3.0,38,Unkown,Adult,Gaming,71.0,47401,IN,Makevention 2019
39,None,2019-08-22 15:38:38.757 +00:00,2019-08-22 15:38:41.732 +00:00,39,3.0,39,Unkown,Adult,Gaming,70.0,47401,IN,Makevention 2019
45,None,2019-08-22 18:17:35.912 +00:00,2019-08-22 18:17:36.805 +00:00,45,1.0,45,Unkown,Adult,Sports,72.0,47401,IN,Makevention 2019
47,None,2019-08-23 12:06:44.614 +00:00,2019-08-23 12:06:47.554 +00:00,47,3.0,47,Unkown,Adult,Gaming,70.0,47401,IN,Makevention 2019
48,None,2019-08-23 13:15:57.199 +00:00,2019-08-23 13:16:01.000 +00:00,48,4.0,48,Unkown,Adult,Gaming,70.0,47401,IN,Makevention 2019
49,None,2019-08-24 13:42:30.656 +00:00,2019-08-24 13:42:33.534 +00:00,49,3.0,49,Unkown,Adult,Gaming,70.0,47401,IN,Makevention 2019
50,None,2019-08-24 13:57:09.580 +00:00,2019-08-24 13:57:12.194 +00:00,50,3.0,50,Unkown,Adult,Gaming,70.0,47401,IN,Makevention 2019
51,None,2019-08-24 14:08:35.140 +00:00,2019-08-24 14:08:37.849 +00:00,51,3.0,51,Unkown,Adult,Gaming,70.0,47401,IN,Makevention 2019
52,None,2019-08-24 14:16:00.007 +00:00,2019-08-24 14:16:01.942 +00:00,52,2.0,52,Unkown,Adult,Gaming,70.0,47401,IN,Makevention 2019
53,None,2019-08-24 14:17:02.733 +00:00,2019-08-24 14:17:04.655 +00:00,53,2.0,53,Unkown,Adult,Gaming,70.0,47401,IN,Makevention 2019
54,None,2019-08-24 14:22:26.151 +00:00,2019-08-24 14:22:27.579 +00:00,54,1.0,54,Unkown,Adult,Sports,71.0,47401,IN,Makevention 2019
55,None,2019-08-24 14:39:01.832 +00:00,2019-08-24 14:39:03.824 +00:00,55,2.0,55,Unkown,Adult,Gaming,70.0,47401,IN,Makevention 2019
56,None,2019-08-24 14:41:55.590 +00:00,2019-08-24 14:41:57.436 +00:00,56,2.0,56,Unkown,Teen,Cooking,65.0,47401,IN,Makevention 2019
57,None,2019-08-24 14:43:03.690 +00:00,2019-08-24 14:43:04.651 +00:00,57,1.0,57,Unkown,Adult,Gaming,70.0,47401,IN,Makevention 2019
