Unnamed: 0,Type,GHG emissions covered [MtCO2e],Year of implementation,Value [billion US$],Proportion of global GHG emissions covered,Value 1,Value 2
42,ETS,169.1768076,2013,0.152180309,0.33,-0.1191803007512351,-0.0595344581069345
43,ETS,553.439848,2015,11.04344594,1.08,1.0365785389372426,-0.1989576879989573
44,Carbon tax,0.376643586,2004,0.018312464,0.0,-0.5546103349341122,1.0299179453131737
45,Carbon tax,0.14610362,2008,0.002175089,0.0,-0.5256496529902894,0.5584927580500754
46,Carbon tax,6.801985106,2021,0.294838465,0.01,-0.408141432668885,-0.9694956643226056
50,ETS,6.072,2018,0.004,0.01,-0.4394891509990392,-0.6204994225977242
51,Carbon tax,352.6073585,2014,0.314092485,0.69,0.2901049204285548,-0.2089392525378882
52,ETS,320.5521441,2020,0.0,0.63,0.2578307242001615,-0.91474498458613
55,Carbon tax,25.96280946,2021,1.197978551,0.05,-0.3395285826350468,-0.9592894207307076
56,ETS,7.05,2021,0.28172954,0.01,-0.4082478793359423,-0.9697201195209918
57,Carbon tax,5.499,2020,0.077325767,0.01,-0.4231787353771044,-0.8549185784228753
58,ETS,41.61230129,2008,1.8154728,0.08,-0.3848264222948407,0.5787218893908931
60,ETS,4.5881,2019,0.183347986,0.01,-0.4285525295658703,-0.7354050135647332
61,Carbon tax,5.0149,2019,0.073116109,0.01,-0.431239595172157,-0.7371388233212327
63,Carbon tax,1.3351,2019,0.02089019,0.0,-0.4422364883901221,-0.7371255842550947
64,Carbon tax,44.73403107,1991,1.714514469,0.09,-0.5049073536907712,2.5789995023253534
65,ETS,14.025,2019,0.315978261,0.03,-0.403509840867466,-0.7351907627983669
66,ETS,0.0,2017,0.0,0.0,-0.4591107363281411,-0.5017237750226002
67,ETS,41.125,2022,1.314737852,0.08,-0.2958063664379599,-1.0781241292263373
68,ETS,27.09,2021,0.0,0.05,-0.3725242901137821,-0.9778069559967936
71,Carbon tax,15.93618198,1990,0.001110362,0.03,-0.6255494909981797,2.6759818145668017
72,Carbon tax,25.03861083,2015,0.525885138,0.05,-0.4042274470392359,-0.2627362727201325
73,Carbon tax,0.9688,2019,0.013773078,0.0,-0.4428354688361366,-0.737201052505445
74,ETS,60.918,2013,1.665057545,0.12,-0.3090576045294162,-0.0162767482353758
75,ETS,67.342,2009,1.22232,0.13,-0.3389025233555096,0.4470466979317846
76,ETS,8.16,2011,0.127804419,0.02,-0.4800912455754786,0.2053323099904052
78,ETS,10.231,2019,0.408847506,0.02,-0.4104862897228646,-0.7329368088600084
81,ETS,78.482705,2013,1.4657514,0.15,-0.2791841688708243,-0.0223923106401834
83,ETS,13.1718,2013,0.020179279,0.03,-0.4573852974888368,-0.0328604767755934
84,Carbon tax,56.41688507,2019,0.141006929,0.11,-0.3184701507950222,-0.7456074127536378
85,Carbon tax,10.64899126,1996,0.081728039,0.02,-0.5899830416500661,1.971387989278658
86,Carbon tax,459.1671443,2019,0.119524906,0.9,0.5528850076813707,-0.820775088083316
87,Carbon tax,6.231775,2014,0.121572,0.01,-0.4656293794662306,-0.147508613330982
88,Carbon tax,25.83529432,1991,2.4347209,0.05,-0.5268754206853348,2.593720115218733
89,ETS,5.059056761,2008,0.28901093,0.01,-0.506620265714747,0.5619713134376865
90,Carbon tax,15.74989369,2008,1.268261011,0.03,-0.4560440541746561,0.5750821360442193
95,ETS,53.056773,2013,0.72655218,0.1,-0.3554132952594162,-0.0290233673942408
96,ETS,13.26,2010,0.053469722,0.03,-0.4785922195923265,0.3210419125350717
98,Carbon tax,97.38434524,2013,0.904572539,0.19,-0.2526712486365646,-0.0346689100254395
99,ETS,129.8457937,2021,12.56197732,0.25,0.2078460394080712,-0.803746807012418
101,Carbon tax,197.4845544,2011,0.042386062,0.39,-0.0733898621806237,0.1689046082742165
102,Carbon tax,4.38135106,2022,0.601539394,0.01,-0.3945796711332196,-1.0823570666718991
104,ETS,64.93333333,2023,0.0,0.13,-0.2725661202671942,-1.2207122752818054
