rowid,Season,Team,Jersey Number,Full Name,First Name,Last Name,Year,Position,Games Played,Games Started,Goals,Assists,Points,Shots,Shooting Percentage,Shots on Goal,Shots on Goal Percentage,Game Winning Goals,Powerplay Goals,Penalty Kill Goals,Ground Balls,Turnovers,Caused Turnovers,Faceoffs Won,Faceoffs Taken,Faceoff Percentage,pen,Penalties,Goalie Games Played,Goalie Games Started,Goalie Minutes,Goals Allowed,GAA,Saves,Save Percentage,otg,NCAA id
38,2023,Air Force Falcons,35,Baylor Hunt,Baylor,Hunt,Fr,D,3,0,0,0,0,1,0.0,0,0.0,0,0,0,1,1,1,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2810586
39,2023,Air Force Falcons,7,Will Stax,Will,Stax,Jr,SSDM,3,0,0,0,0,0,0.0,0,0.0,0,0,0,1,0,2,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2473190
40,2023,Air Force Falcons,47,Jim Breen,Jim,Breen,Fr,D,1,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2810592
41,2023,Air Force Falcons,52,Mason Meagher,Mason,Meagher,Fr,D,1,0,0,0,0,0,0.0,0,0.0,0,0,0,2,0,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2810595
42,2023,Air Force Falcons,23,Jack Stewart,Jack,Stewart,Jr,SSDM,1,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2518907
43,2023,Air Force Falcons,19,Samuel Gee,Samuel,Gee,So,ATT,1,0,0,0,0,0,0.0,0,0.0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2663456
44,2023,Air Force Falcons,43,Ryan Stadelmaier,Ryan,Stadelmaier,Fr,ATT,1,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2810590
45,2023,Air Force Falcons,54,Nolan Parlette,Nolan,Parlette,Fr,GK,1,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,5:45,3,31.304,0,0.0,0,2810597
46,2023,Air Force Falcons,50,Spencer Norris,Spencer,Norris,Fr,SSDM,1,0,0,0,0,1,0.0,1,1.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2810594
47,2023,Army West Point Black Knights,41,Gunnar Fellows,Gunnar,Fellows,Fr,ATT,17,17,23,6,29,72,0.319,41,0.569,2,3,1,20,17,3,0,0,0.0,4,150,0,0,,0,0.0,0,0.0,0,2823834
48,2023,Army West Point Black Knights,33,Christian Fournier,Christian,Fournier,So,LSM,17,0,0,1,1,8,0.0,5,0.625,0,0,0,49,9,21,0,0,0.0,4,120,0,0,,0,0.0,0,0.0,0,2664459
49,2023,Army West Point Black Knights,79,Ryan Nixon,Ryan,Nixon,So,M,17,0,0,0,0,2,0.0,1,0.5,0,0,0,20,4,10,0,0,0.0,2,60,0,0,,0,0.0,0,0.0,0,2664451
50,2023,Army West Point Black Knights,20,AJ Pilate,AJ,Pilate,So,D,17,17,0,1,1,2,0.0,1,0.5,0,0,0,35,10,17,0,0,0.0,4,180,0,0,,0,0.0,0,0.0,0,2664449
51,2023,Army West Point Black Knights,10,Will Coletti,Will,Coletti,So,FO,17,0,7,4,11,23,0.304,16,0.696,2,0,0,158,11,2,252,413,0.61,4,120,0,0,,0,0.0,0,0.0,0,2664445
52,2023,Army West Point Black Knights,40,Eamon Murphy,Eamon,Murphy,Jr,DM,17,0,2,1,3,6,0.333,2,0.333,0,0,0,26,4,6,0,0,0.0,8,270,0,0,,0,0.0,0,0.0,0,2478850
53,2023,Army West Point Black Knights,90,Jacob Morin,Jacob,Morin,Jr,M,17,17,36,6,42,116,0.31,73,0.629,2,6,0,16,12,1,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2333344
54,2023,Army West Point Black Knights,24,Reese Burek,Reese,Burek,Sr,M,17,17,35,26,61,121,0.289,70,0.579,1,1,0,36,29,10,0,0,0.0,2,90,0,0,,0,0.0,0,0.0,0,2333228
55,2023,Army West Point Black Knights,4,Evan Plunkett,Evan,Plunkett,Fr,M,17,16,21,25,46,81,0.259,42,0.519,0,0,0,22,20,1,0,0,0.0,3,180,0,0,,0,0.0,0,0.0,0,2823891
56,2023,Army West Point Black Knights,98,Keagan Treacy,Keagan,Treacy,Fr,D,16,0,0,0,0,0,0.0,0,0.0,0,0,0,7,1,3,0,0,0.0,2,120,0,0,,0,0.0,0,0.0,0,2823890
57,2023,Army West Point Black Knights,99,John Sullivan,John,Sullivan,Fr,D,16,14,0,0,0,0,0.0,0,0.0,0,0,0,34,6,7,0,0,0.0,3,150,0,0,,0,0.0,0,0.0,0,2823837
58,2023,Army West Point Black Knights,0,Bailey O'Connor,Bailey,O'Connor,Jr,M,16,12,16,6,22,42,0.381,28,0.667,1,0,0,5,11,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2478854
59,2023,Army West Point Black Knights,7,Ryan Sposito,Ryan,Sposito,Sr,M,16,2,10,7,17,31,0.323,20,0.645,1,0,0,7,10,4,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2333234
60,2023,Army West Point Black Knights,47,Andrew Kelly,Andrew,Kelly,Sr,M,16,1,5,1,6,16,0.312,8,0.5,0,0,0,4,7,1,0,0,0.0,1,30,0,0,,0,0.0,0,0.0,0,2333231
61,2023,Army West Point Black Knights,35,Christian Mazur,Christian,Mazur,So,DM,16,0,1,0,1,7,0.143,3,0.429,0,0,0,26,11,6,0,0,0.0,1,30,0,0,,0,0.0,0,0.0,0,2664453
62,2023,Army West Point Black Knights,22,Cal Lambert,Cal,Lambert,Fr,FO,15,0,8,2,10,12,0.667,11,0.917,0,5,0,5,3,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2823886
63,2023,Army West Point Black Knights,28,Paul Johnson,Paul,Johnson,Jr,ATT,15,15,28,14,42,78,0.359,52,0.667,3,0,0,22,21,1,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2333342
64,2023,Army West Point Black Knights,2,Knox Dent,Knox,Dent,Sr,GK,15,15,0,0,0,2,0.0,0,0.0,0,0,0,33,9,5,0,0,0.0,0,0,15,15,845:19,134,9.511,153,0.533,0,2333229
65,2023,Army West Point Black Knights,36,Ned Lynch,Ned,Lynch,Jr,D,14,12,0,0,0,0,0.0,0,0.0,0,0,0,13,2,9,0,0,0.0,1,60,0,0,,0,0.0,0,0.0,0,2478839
66,2023,Army West Point Black Knights,19,Johnny Devino,Johnny,Devino,So,M,12,0,0,0,0,4,0.0,3,0.75,0,0,0,10,0,4,0,0,0.0,1,60,0,0,,0,0.0,0,0.0,0,2664462
67,2023,Army West Point Black Knights,81,Dawson Clark,Dawson,Clark,Fr,ATT,11,0,5,2,7,19,0.263,13,0.684,0,2,0,3,3,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2823889
68,2023,Army West Point Black Knights,8,Deacon Donaldson,Deacon,Donaldson,Sr,D,11,8,0,0,0,2,0.0,0,0.0,0,0,0,19,3,6,0,0,0.0,4,210,0,0,,0,0.0,0,0.0,0,2333230
69,2023,Army West Point Black Knights,25,Joey Stillings,Joey,Stillings,Jr,LSM,11,0,2,0,2,4,0.5,2,0.5,0,0,0,5,5,5,0,0,0.0,5,180,0,0,,0,0.0,0,0.0,0,2333235
70,2023,Army West Point Black Knights,14,Avi Mehl,Avi,Mehl,Fr,ATT,10,0,3,3,6,13,0.231,7,0.538,1,3,0,1,1,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2823833
71,2023,Army West Point Black Knights,32,John Manero,John,Manero,So,M,10,0,2,3,5,8,0.25,5,0.625,0,0,0,4,0,1,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2664454
72,2023,Army West Point Black Knights,11,Alex Gekas,Alex,Gekas,Jr,M,8,0,0,1,1,11,0.0,3,0.273,0,0,0,1,9,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2478890
73,2023,Army West Point Black Knights,21,Dylan D'Agostino,Dylan,D'Agostino,So,M,8,0,0,1,1,5,0.0,2,0.4,0,0,0,4,4,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2659264
74,2023,Army West Point Black Knights,29,Finn McCullough,Finn,McCullough,So,ATT,8,2,7,1,8,17,0.412,10,0.588,0,0,0,2,5,2,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2664452
75,2023,Army West Point Black Knights,60,Matt Chess,Matt,Chess,Jr,GK,7,2,0,0,0,1,0.0,0,0.0,0,0,0,6,1,1,0,0,0.0,0,0,7,2,158:56,19,7.173,31,0.62,0,2478887
76,2023,Army West Point Black Knights,17,Stevie Grabher,Stevie,Grabher,Sr,FO,6,0,0,0,0,0,0.0,0,0.0,0,0,0,6,1,0,10,15,0.667,0,0,0,0,,0,0.0,0,0.0,0,2333341
77,2023,Army West Point Black Knights,26,Mike Tangredi,Mike,Tangredi,Jr,M,6,0,2,0,2,4,0.5,2,0.5,0,0,0,1,1,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2478874
78,2023,Army West Point Black Knights,12,Trevor Kelly,Trevor,Kelly,Jr,M,4,0,1,0,1,2,0.5,2,1.0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2478668
79,2023,Army West Point Black Knights,77,Ryan Sellew,Ryan,Sellew,So,ATT,4,3,3,1,4,6,0.5,6,1.0,0,1,0,0,4,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2664447
80,2023,Army West Point Black Knights,27,Kyle Atherton,Kyle,Atherton,So,D,4,0,0,0,0,0,0.0,0,0.0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2659243
81,2023,Army West Point Black Knights,30,Brian King,Brian,King,So,D,3,0,0,0,0,0,0.0,0,0.0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2664455
82,2023,Army West Point Black Knights,1,Sean Byrne,Sean,Byrne,Fr,GK,3,0,0,0,0,0,0.0,0,0.0,0,0,0,1,0,0,0,0,0.0,0,0,2,0,5:51,0,0.0,0,0.0,0,2823490
83,2023,Army West Point Black Knights,43,Billy Adams,Billy,Adams,So,M,3,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2659242
84,2023,Army West Point Black Knights,54,Cole Biggins,Cole,Biggins,Jr,D,3,0,0,0,0,0,0.0,0,0.0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2478881
85,2023,Army West Point Black Knights,66,Mark Schroeder,Mark,Schroeder,So,D,3,0,0,0,0,0,0.0,0,0.0,0,0,0,2,2,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2664448
86,2023,Army West Point Black Knights,85,Patrick Dunleavy,Patrick,Dunleavy,So,M,2,0,0,0,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2664461
87,2023,Army West Point Black Knights,23,Evan Richardson,Evan,Richardson,Fr,GK,2,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,2,0,6:43,2,17.866,2,0.5,0,2823887
88,2023,Army West Point Black Knights,37,Alec Vaccaro,Alec,Vaccaro,So,FO,2,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,2,0.0,0,0,0,0,,0,0.0,0,0.0,0,2664446
89,2023,Army West Point Black Knights,48,Jack Szalankiewicz,Jack,Szalankiewicz,Jr,LSM,2,0,0,0,0,0,0.0,0,0.0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2478871
90,2023,Army West Point Black Knights,18,Alex Petrignani,Alex,Petrignani,Fr,M,2,0,0,0,0,0,0.0,0,0.0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2823885
91,2023,Army West Point Black Knights,6,Brayden Duncan,Brayden,Duncan,Jr,ATT,2,0,1,0,1,1,1.0,1,1.0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2478667
92,2023,Army West Point Black Knights,16,Patrick Ferguson,Patrick,Ferguson,Fr,D,2,0,0,0,0,0,0.0,0,0.0,0,0,0,1,0,1,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2823884
93,2023,Army West Point Black Knights,31,Bennett Ong,Bennett,Ong,So,GK,2,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,2:22,0,0.0,0,0.0,0,2664450
94,2023,Army West Point Black Knights,91,Luke Stratton,Luke,Stratton,Fr,D,2,0,0,0,0,0,0.0,0,0.0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2823836
95,2023,Army West Point Black Knights,55,Hunter Mazur,Hunter,Mazur,Jr,FO,2,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,1,1,1.0,0,0,0,0,,0,0.0,0,0.0,0,2333232
96,2023,Army West Point Black Knights,42,CJ Monturio,CJ,Monturio,Fr,M,1,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,1,60,0,0,,0,0.0,0,0.0,0,2823888
97,2023,Army West Point Black Knights,58,Brandon Gibson,Brandon,Gibson,Jr,DM,1,0,0,0,0,0,0.0,0,0.0,0,0,0,2,0,1,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2478882
98,2023,Army West Point Black Knights,15,Mitch Gutgsell,Mitch,Gutgsell,So,GK,1,0,0,0,0,0,0.0,0,0.0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2664457
99,2023,Army West Point Black Knights,88,Casey Reynolds,Casey,Reynolds,So,M,1,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2664432
100,2023,Army West Point Black Knights,34,Austin Groce,Austin,Groce,So,D,1,0,0,0,0,0,0.0,0,0.0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2664458
101,2023,Army West Point Black Knights,13,Jackson Tyler,Jackson,Tyler,Sr,M,1,0,0,0,0,0,0.0,0,0.0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2333346
102,2023,Army West Point Black Knights,45,Tim Johnson,Tim,Johnson,So,D,1,0,0,0,0,0,0.0,0,0.0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2664456
103,2023,Bellarmine Knights,99,Brady Long,Brady,Long,So,D,17,17,1,1,2,4,0.25,2,0.5,0,0,0,31,8,10,0,0,0.0,10,540,0,0,,0,0.0,0,0.0,0,2653818
104,2023,Bellarmine Knights,10,Justin Wescoat,Justin,Wescoat,So,M,17,7,12,7,19,66,0.182,31,0.47,0,0,0,11,23,2,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2653802
105,2023,Bellarmine Knights,2,Nicholas Sheremetta,Nicholas,Sheremetta,So,D,17,17,0,0,0,1,0.0,1,1.0,0,0,0,19,3,8,0,0,0.0,7,450,0,0,,0,0.0,0,0.0,0,2653800
106,2023,Bellarmine Knights,25,Wilson Murphree,Wilson,Murphree,Jr,M,17,0,10,5,15,27,0.37,17,0.63,1,0,0,9,7,1,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2481127
107,2023,Bellarmine Knights,88,Max Coopman,Max,Coopman,Jr,D,17,0,0,0,0,0,0.0,0,0.0,0,0,0,5,1,7,0,0,0.0,6,450,0,0,,0,0.0,0,0.0,0,2481125
108,2023,Bellarmine Knights,52,Kyle Playsted,Kyle,Playsted,Jr,ATT,17,16,40,39,79,97,0.412,60,0.619,0,7,0,17,25,4,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2475378
109,2023,Bellarmine Knights,5,Tayo Oladunmoye,Tayo,Oladunmoye,Jr,M,17,17,12,7,19,51,0.235,30,0.588,0,2,0,9,17,1,0,0,0.0,1,60,0,0,,0,0.0,0,0.0,0,2475377
110,2023,Bellarmine Knights,28,Christian DellaRocco,Christian,DellaRocco,Jr,ATT,17,17,50,10,60,127,0.394,80,0.63,3,1,0,15,16,6,0,0,0.0,2,90,0,0,,0,0.0,0,0.0,0,2475375
111,2023,Bellarmine Knights,66,Pat Anderson,Pat,Anderson,Sr,M,17,0,11,15,26,43,0.256,26,0.605,0,0,0,10,13,1,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2333368
112,2023,Bellarmine Knights,77,Jesse Roth,Jesse,Roth,Sr,M,17,4,13,7,20,44,0.295,22,0.5,1,0,1,14,16,4,0,0,0.0,2,120,0,0,,0,0.0,0,0.0,0,2332062
113,2023,Bellarmine Knights,22,Benny O'Rourk,Benny,O'Rourk,Sr,M,17,17,40,20,60,119,0.336,76,0.639,3,2,0,30,20,8,0,0,0.0,4,180,0,0,,0,0.0,0,0.0,0,2332059
114,2023,Bellarmine Knights,49,Grant Guthrie,Grant,Guthrie,Fr,FO,17,0,1,1,2,7,0.143,3,0.429,0,0,0,75,8,1,127,270,0.47,1,30,0,0,,0,0.0,0,0.0,0,2802810
115,2023,Bellarmine Knights,35,Bobby Gabriel,Bobby,Gabriel,Sr,D,17,0,0,0,0,0,0.0,0,0.0,0,0,0,14,4,8,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2332036
116,2023,Bellarmine Knights,33,Christopher Reynolds,Christopher,Reynolds,Fr,D,17,0,0,0,0,1,0.0,0,0.0,0,0,0,13,4,5,0,0,0.0,5,210,0,0,,0,0.0,0,0.0,0,2802817
117,2023,Bellarmine Knights,16,Jacob Berggren,Jacob,Berggren,Sr,M,17,16,1,0,1,11,0.091,2,0.182,0,0,0,62,12,23,0,0,0.0,5,270,0,0,,0,0.0,0,0.0,0,1998882
118,2023,Bellarmine Knights,19,Brennan McDermott,Brennan,McDermott,So,M,16,0,2,0,2,3,0.667,3,1.0,0,0,0,14,1,2,0,0,0.0,4,180,0,0,,0,0.0,0,0.0,0,2653809
119,2023,Bellarmine Knights,47,Tommy Fialkowski,Tommy,Fialkowski,Jr,D,16,0,0,0,0,0,0.0,0,0.0,0,0,0,7,0,5,0,0,0.0,3,180,0,0,,0,0.0,0,0.0,0,2481123
120,2023,Bellarmine Knights,45,JC Higginbotham,JC,Higginbotham,Sr,GK,16,14,0,0,0,1,0.0,0,0.0,0,0,0,19,7,6,0,0,0.0,0,0,16,14,788:27,150,11.415,157,0.511,0,2332038
121,2023,Bellarmine Knights,21,Denton Macdonald,Denton,Macdonald,Jr,M,16,16,12,4,16,24,0.5,19,0.792,0,0,0,42,11,15,0,0,0.0,4,300,0,0,,0,0.0,0,0.0,0,2481128
122,2023,Bellarmine Knights,51,Lukas Sinon,Lukas,Sinon,Jr,M,15,0,9,3,12,22,0.409,15,0.682,3,1,0,5,12,1,0,0,0.0,0,0,0,0,,0,0.0,0,0.0,0,2481122
