Unnamed: 0,index,Year,Country,GDP_CAP,refugees_asylum,continent
98,2822,2020,Niger,564.8220018,236578,Africa
99,2854,2020,Nigeria,2074.613928,68843,Africa
100,2884,2020,North Macedonia,5965.450232,324,Europe
101,2916,2020,Norway,67329.67779,50736,Europe
102,2937,2020,Oman,16707.62301,638,Asia
103,2969,2020,Pakistan,1322.315036,1448734,Asia
104,3002,2020,Panama,12569.17154,15454,North America
105,3034,2020,Papua New Guinea,2446.066306,10889,Oceania
106,3066,2020,Paraguay,5353.348065,3138,South America
107,3098,2020,Peru,6056.343903,541824,South America
108,3130,2020,Philippines,3224.422551,1106,Asia
109,3161,2020,Poland,15816.9894,6373,Europe
110,3193,2020,Portugal,22242.40642,3559,Europe
111,3216,2020,Qatar,52315.66008,444,Asia
112,3247,2020,Romania,13047.43206,5823,Europe
113,3273,2020,Russian Federation,10169.08691,21073,Europe
114,3305,2020,Rwanda,774.6892594,139956,Africa
115,3340,2020,Saudi Arabia,19539.56581,9764,Asia
116,3372,2020,Senegal,1490.203137,16274,Africa
117,3404,2020,Sierra Leone,493.4787775,342,Africa
118,3454,2020,Slovenia,25545.241,1100,Europe
119,3473,2020,Somalia,416.2177747,24449,Africa
120,3502,2020,South Africa,5741.643129,250190,Africa
121,3539,2020,Spain,26959.67544,207009,Europe
122,3570,2020,Sri Lanka,3893.841515,1232,Asia
123,3602,2020,Sudan,608.3325195,1056311,Africa
124,3612,2020,Suriname,4796.533314,2007,South America
125,3644,2020,Sweden,52837.90398,266975,Europe
126,3676,2020,Switzerland,85656.32267,122345,Europe
127,3706,2020,Tajikistan,852.3336702,5986,Asia
128,3738,2020,Thailand,6990.935503,97031,Asia
129,3777,2020,Togo,897.1945754,11458,Africa
130,3792,2020,Trinidad and Tobago,13871.79822,23105,North America
131,3824,2020,Tunisia,3497.68141,6280,Africa
132,3861,2020,Turks and Caicos Islands,20882.26127,8,North America
133,3893,2020,Uganda,846.7672013,1446369,Africa
134,3921,2020,Ukraine,3751.740723,4608,Europe
135,3950,2020,United Arab Emirates,37629.17417,8544,Asia
136,3982,2020,Uruguay,15619.54266,11295,South America
137,4011,2020,Uzbekistan,1749.655815,13,Asia
138,4047,2020,Zambia,956.8313639,70363,Africa
139,4079,2020,Zimbabwe,1372.696674,21190,Africa
