taxon,sample_id,abundance,growth_rate
Terrisporobacter,Healthy2,0.1552004334,0.376373227
Veillonella,Healthy2,0.0479414951,0.1162620414
Acidaminococcus,Healthy3,0.0035933207,0.0040957135
Actinomyces,Healthy3,0.0027478334,0.0031932295
Alistipes,Healthy3,0.0103572183,0.0118474952
Anaerostipes,Healthy3,0.0372014373,0.0373842149
Bacteroides,Healthy3,0.1299936588,0.1330043396
Barnesiella,Healthy3,0.0035933207,0.012541102
Bifidobacterium,Healthy3,0.0173324878,0.018837038
Bilophila,Healthy3,0.0004227436,0.0047540854
Blautia,Healthy3,0.461424646,0.4581321338
Butyricicoccus,Healthy3,0.0076093849,0.011060235
Collinsella,Healthy3,0.0519974635,0.0516885696
Dialister,Healthy3,0.0469245403,0.0509059114
Dorea,Healthy3,0.0384696681,0.0391302043
Erysipelatoclostridium,Healthy3,0.0019023462,0.0021562723
Faecalibacterium,Healthy3,0.0771507081,0.0762787403
Haemophilus,Healthy3,0.0071866413,0.0083191984
Holdemanella,Healthy3,0.0426971042,0.0426374549
Lachnoclostridium,Healthy3,0.0016909744,0.0018803988
Lachnospira,Healthy3,0.0029592052,0.0069992856
Lactobacillus,Healthy3,0.0012682308,0.0013461202
Leuconostoc,Healthy3,0.0025364616,0.0029649198
Marvinbryantia,Healthy3,0.0012682308,0.004957507
Methanobrevibacter,Healthy3,0.0004227436,0.0004809109
Odoribacter,Healthy3,0.001056859,0.0012500596
Parasutterella,Healthy3,0.0012682308,0.0068156038
Roseburia,Healthy3,0.0050729233,0.0054776488
Streptococcus,Healthy3,0.0073980131,0.0076978372
Subdoligranulum,Healthy3,0.0336081167,0.0335556635
Veillonella,Healthy3,0.0008454872,0.0009636602
Actinomyces,Healthy4,0.0008714597,0.0018135991
Adlercreutzia,Healthy4,0.0030501089,0.0150186815
Akkermansia,Healthy4,0.0263616558,0.0561105564
Alistipes,Healthy4,0.0021786492,0.0045339977
Anaerococcus,Healthy4,0.0006535948,0.0013601993
Anaerofustis,Healthy4,0.0004357298,0.0061303854
Anaerostipes,Healthy4,0.0688453159,0.1432743263
Bacteroides,Healthy4,0.1551198257,0.3228206339
Bifidobacterium,Healthy4,0.0178649237,0.0371787809
Blautia,Healthy4,0.2189542484,0.4556667654
Collinsella,Healthy4,0.0015250545,0.0031737984
Dialister,Healthy4,0.0119825708,0.0249369872
Dorea,Healthy4,0.0806100218,0.1677579137
Erysipelatoclostridium,Healthy4,0.0041394336,0.0086145956
Faecalibacterium,Healthy4,0.1021786492,0.2126444905
Holdemanella,Healthy4,0.05708061,0.1187907389
Intestinibacter,Healthy4,0.1235294118,0.2570776677
Odoribacter,Healthy4,0.0176470588,0.0367253812
Parabacteroides,Healthy4,0.0074074074,0.0154155921
Parasutterella,Healthy4,0.0037037037,0.013929701
Phascolarctobacterium,Healthy4,0.0004357298,0.003626444
Pseudomonas,Healthy4,0.0006535948,0.0013601993
Roseburia,Healthy4,0.0274509804,0.0571283706
Streptococcus,Healthy4,0.0052287582,0.0108815944
Subdoligranulum,Healthy4,0.0612200436,0.1274053345
Veillonella,Healthy4,0.0004357298,0.0009067996
Weissella,Healthy4,0.0004357298,0.0049025934
Alistipes,Healthy5,0.0188958874,0.042782636
Anaerofustis,Healthy5,0.0016672842,0.0087200221
Anaerostipes,Healthy5,0.046683957,0.1056982771
Bacteroides,Healthy5,0.0655798444,0.1484809131
Barnesiella,Healthy5,0.001852538,0.0133901673
Bifidobacterium,Healthy5,0.1313449426,0.2973812637
Bilophila,Healthy5,0.0172286032,0.0390076975
Blautia,Healthy5,0.100778066,0.2281740585
Butyricicoccus,Healthy5,0.0072248981,0.0178182314
Collinsella,Healthy5,0.0292701,0.066271142
Dorea,Healthy5,0.0124120044,0.0281023197
Eggerthella,Healthy5,0.0011115228,0.0025166256
Erysipelatoclostridium,Healthy5,0.0016672842,0.0037749385
Eubacterium,Healthy5,0.0129677658,0.0293606325
Faecalibacterium,Healthy5,0.2006298629,0.4542509289
Faecalitalea,Healthy5,0.0011115228,0.0095326288
Flavonifractor,Healthy5,0.0038903298,0.0118651071
Holdemania,Healthy5,0.0016672842,0.0057893201
Lachnoclostridium,Healthy5,0.003705076,0.0083887522
Lachnospira,Healthy5,0.0057428677,0.0177684637
Marvinbryantia,Healthy5,0.0016672842,0.0051199761
Methanobrevibacter,Healthy5,0.0003705076,0.0008388752
Parabacteroides,Healthy5,0.0044460911,0.0100665026
Paraprevotella,Healthy5,0.0125972582,0.0285217573
Phascolarctobacterium,Healthy5,0.1372730641,0.3108032672
Roseburia,Healthy5,0.1004075584,0.2273351833
Slackia,Healthy5,0.003705076,0.0083887522
Streptococcus,Healthy5,0.0566876621,0.1283479079
Veillonella,Healthy5,0.017413857,0.0394271351
Actinomyces,Healthy6,0.0006397953,0.0004888279
Alistipes,Healthy6,0.2077735125,0.1582634775
Anaerostipes,Healthy6,0.0132757518,0.0101243227
Anaerotruncus,Healthy6,0.0009596929,0.0035792359
Bacteroides,Healthy6,0.5196737044,0.3958793325
Bifidobacterium,Healthy6,0.0023992322,0.0018405244
Bilophila,Healthy6,0.0103966731,0.0094437587
Blautia,Healthy6,0.0118362124,0.0090338732
Butyricicoccus,Healthy6,0.0020793346,0.0066885154
Butyricimonas,Healthy6,0.0131158029,0.0099991509
Dorea,Healthy6,0.006078055,0.004640781
Eggerthella,Healthy6,0.0003198976,0.0002532188
Erysipelatoclostridium,Healthy6,0.0212731926,0.0162053422
Eubacterium,Healthy6,0.0004798464,0.0003702306
Flavonifractor,Healthy6,0.0023992322,0.0067357002
Fusobacterium,Healthy6,0.0222328855,0.0169392115
Holdemanella,Healthy6,0.0003198976,0.0025216447
Hungatella,Healthy6,0.0027191299,0.0020713943
Intestinibacter,Healthy6,0.0142354447,0.0109259947
Lachnoclostridium,Healthy6,0.009596929,0.0073175165
Lachnospira,Healthy6,0.0014395393,0.0048551629
Odoribacter,Healthy6,0.0057581574,0.0043876486
Parabacteroides,Healthy6,0.0441458733,0.0336321423
Phascolarctobacterium,Healthy6,0.0780550224,0.0594694185
Streptococcus,Healthy6,0.0023992322,0.0018277201
Terrisporobacter,Healthy6,0.0063979527,0.0087205286
Akkermansia,Healthy8,0.1108450704,0.1348757358
Alistipes,Healthy8,0.108028169,0.131448144
Anaerostipes,Healthy8,0.0166197183,0.0202227914
Bacteroides,Healthy8,0.3811267606,0.4637531653
Bifidobacterium,Healthy8,0.0105633803,0.0128534691
Bilophila,Healthy8,0.0032394366,0.0082526126
Blautia,Healthy8,0.0726760563,0.0884318674
Butyricimonas,Healthy8,0.0045070423,0.0054841468
Collinsella,Healthy8,0.008028169,0.0097686365
Dorea,Healthy8,0.004084507,0.0049700081
Erysipelatoclostridium,Healthy8,0.0025352113,0.0030848326
Faecalibacterium,Healthy8,0.0243661972,0.0296486687
Flavonifractor,Healthy8,0.0054929577,0.0107578178
Intestinibacter,Healthy8,0.0043661972,0.0071086505
Lachnoclostridium,Healthy8,0.0007042254,0.0008568979
Lachnospira,Healthy8,0.0008450704,0.0085073593
Parabacteroides,Healthy8,0.0115492958,0.0140531262
Parasutterella,Healthy8,0.0102816901,0.0204620134
Phascolarctobacterium,Healthy8,0.1522535211,0.1852613347
Roseburia,Healthy8,0.01,0.0121679508
Streptococcus,Healthy8,0.001971831,0.0023993142
Subdoligranulum,Healthy8,0.055915493,0.0680376965
Acinetobacter,Healthy7,0.0081833061,0.0090714037
Actinomyces,Healthy7,0.0088379705,0.0097005791
Alistipes,Healthy7,0.0027823241,0.003168423
Anaerostipes,Healthy7,0.1639934534,0.1560353867
Bacillus,Healthy7,0.012111293,0.0123802212
Bacteroides,Healthy7,0.0855973813,0.0839159028
Blautia,Healthy7,0.4654664484,0.4428159955
Dorea,Healthy7,0.0314238953,0.0302799429
Eggerthella,Healthy7,0.001309329,0.0015283028
Enterococcus,Healthy7,0.0065466448,0.0067931053
Erysipelatoclostridium,Healthy7,0.0166939444,0.0175561008
Faecalibacterium,Healthy7,0.0597381342,0.0565884242
Flavonifractor,Healthy7,0.0032733224,0.0086162675
Granulicatella,Healthy7,0.0032733224,0.0037294915
Lactobacillus,Healthy7,0.0027823241,0.002829882
Lactococcus,Healthy7,0.0003273322,0.0003971096
Listeria,Healthy7,0.0091653028,0.0096683768
Methanobrevibacter,Healthy7,0.0003273322,0.0003847056
Neisseria,Healthy7,0.0135842881,0.0146645079
Phascolarctobacterium,Healthy7,0.0039279869,0.0054621352
Porphyromonas,Healthy7,0.0078559738,0.0087135231
Pseudomonas,Healthy7,0.0076923077,0.0084821827
Roseburia,Healthy7,0.016202946,0.0164132723
Rothia,Healthy7,0.0004909984,0.0005956231
Staphylococcus,Healthy7,0.0291325696,0.0279225738
Streptococcus,Healthy7,0.0265139116,0.0253764668
Subdoligranulum,Healthy7,0.0011456628,0.0040816311
Tyzzerella,Healthy7,0.0116202946,0.0136945391
