item_id,description,division,spanYears,year,up,down,level,all,up12,down12,level12,all12,up_ch_median,down_ch_median,up_ch12_median,down_ch12_median,up_ch_mean,up_ch12_mean,down_ch_mean,down_ch12_mean,up_sh,down_sh,up_sh12,down_sh12,group,yearMax,rankRise,rankRiseLatest,inflationRank,up_sh12_longRun,up_ch12_longRunMean,division_sh
212719,BANANAS-PER KG,1,35,2022,396,98,3272,3766,1619,203,523,2345,0.047947466,-0.048780516,0.068493083,-0.012658291,0.063544929,0.085078932,-0.075421587,-0.066230245,0.10515136,0.026022306,0.69040513,0.086567163,101,2022,149,149,149,0.37522301,0.15794317,Food & drink
520331,BASIC MANICURE,12,19,2022,48,13,901,962,165,38,260,463,0.15384616,-0.16666667,0.13636366,-0.16666667,0.16167642,0.20820688,-0.15599762,-0.14998871,0.04989605,0.013513514,0.35637149,0.082073435,1201,2022,499,499,499,0.25696132,0.15152858,Misc
440240,BASIC WILL FOR A SINGLE PERSON,12,21,2022,23,5,707,735,167,12,370,549,0.2,-0.1,0.2,-0.11111111,0.23466182,0.26194143,-0.094273508,-0.07962963,0.031292517,0.0068027209,0.30418944,0.021857923,1207,2022,545,545,545,0.37557185,0.23485136,Misc
210212,BASMATI RICE 500G-1KG,1,20,2022,239,65,984,1288,668,96,262,1026,0.10810807,-0.13793106,0.15625,-0.2258064,0.12157913,0.1892449,-0.15715419,-0.22579515,0.185559,0.050465837,0.65107214,0.093567252,101,2022,179,179,179,0.35973307,0.2655603,Food & drink
430228,BATH SHEET,5,22,2022,321,188,2121,2630,888,287,993,2168,0.2,-0.19999997,0.2,-0.22727273,0.23783211,0.29958081,-0.20546089,-0.36470479,0.12205323,0.071482889,0.40959409,0.13238007,502,2022,447,447,447,0.28303689,0.32299346,Household
210416,BEEF ROASTING JOINT PER KG,1,3,2022,291,100,1093,1484,724,157,162,1043,0.083402835,-0.13429812,0.14271426,-0.083333336,0.14866678,0.22160339,-0.16160382,-0.1286836,0.19609164,0.067385443,0.69415146,0.15052733,101,2022,145,145,145,0.57103932,0.21427946,Food & drink
630342,BEGINNER'S ACOUSTIC GUITAR,9,19,2022,50,26,597,673,171,89,208,468,0.10056618,-0.092804499,0.14678898,-0.1375,0.15290612,0.21323784,-0.10778414,-0.17793806,0.074294202,0.038632985,0.36538461,0.19017094,902,2022,492,492,492,0.34435976,0.21539582,Recreation & culture
210323,BISCUITS HALF CHOC 260-400G,1,6,2022,559,403,1083,2045,1042,563,284,1889,0.31999999,-0.26035506,0.25,-0.21875001,0.31287575,0.27080017,-0.277823,-0.21693304,0.27334964,0.19706601,0.55161458,0.29804128,101,2022,296,296,296,0.33957422,0.3706919,Food & drink
310207,BITTER-4CANS-440-500ML,2,26,2022,147,64,922,1133,635,77,223,935,0.057142872,-0.012499988,0.070460699,-0.013513501,0.050755378,0.094125435,-0.028036753,-0.031541068,0.12974404,0.056487203,0.67914438,0.082352944,201,2022,162,162,162,0.4215343,0.11002457,Alcohol & tobacco
430530,BLACK INKJET CARTRIDGE,9,20,2022,310,103,1712,2125,1206,323,325,1854,0.083333336,-0.18272729,0.090909094,-0.12,0.15600429,0.14543372,-0.15398447,-0.15476479,0.14588235,0.048470587,0.65048546,0.17421791,905,2022,181,181,181,0.44816262,0.22137275,Recreation & culture
430529,BLEACH 750ML,5,20,2022,211,73,1037,1321,703,137,280,1120,0.13043477,-0.16666667,0.20000005,-0.16666667,0.14327286,0.23583682,-0.1166728,-0.12978499,0.15972748,0.055261165,0.62767857,0.12232143,506,2022,201,201,201,0.36991829,0.16697611,Household
630233,BLU RAY DISC (FILM) FROM CHART,9,13,2022,25,16,167,208,53,22,82,157,0.5,-0.33333334,0.5,-0.33333334,0.58114284,0.54492366,-0.33368057,-0.35757577,0.1201923,0.07692308,0.33757961,0.14012739,901,2022,512,512,512,0.30120778,0.3426463,Recreation & culture
212733,BLUEBERRIES PUNNET OR PER KG,1,5,2022,706,527,2453,3686,1249,614,930,2793,0.12528133,-0.11553345,0.19965723,-0.16700001,0.20054953,0.44891584,-0.16154994,-0.21782668,0.19153553,0.14297341,0.44718939,0.2198353,101,2022,408,408,408,0.36259377,0.62737465,Food & drink
520252,BODY M'RISING LOTION 200-400ML,12,5,2022,546,425,1304,2275,901,443,797,2141,0.5,-0.33375001,0.11111111,-0.3125,0.4400059,0.33137858,-0.3046155,-0.279309,0.23999999,0.18681319,0.42083138,0.20691265,1201,2022,433,433,433,0.36371738,0.50782233,Misc
630435,BOOK - FICTION - HARD COVER,9,12,2022,473,383,803,1659,724,509,130,1363,0.18761726,-0.18812501,0.26666668,-0.17705883,0.26465696,0.3922115,-0.21202733,-0.20507906,0.28511152,0.23086196,0.53118122,0.37344095,905,2022,313,313,313,0.41777313,0.33578143,Recreation & culture
630437,BOOK - TEENAGE FICTION,9,11,2022,151,119,1132,1402,557,210,413,1180,0.12515645,-0.18020022,0.12519079,-0.2490613,0.15827118,0.20075294,-0.19331697,-0.30581021,0.10770328,0.084878743,0.47203389,0.1779661,905,2022,372,372,372,0.27762231,0.2182869,Recreation & culture
630439,BOOK FICTION P/BACK TOP 10,9,7,2022,119,87,1738,1944,568,91,965,1624,0.11123471,-0.16685206,0.20026703,-0.16685206,0.21580268,0.25511962,-0.21084543,-0.20710473,0.061213993,0.044753086,0.34975371,0.056034483,905,2022,503,503,503,0.30984163,0.21674527,Recreation & culture
630434,BOOK ILLUSTRATED FOR UNDER 5,9,17,2022,43,27,1286,1356,358,47,799,1204,0.17676763,-0.15021455,0.17676763,-0.1599327,0.18613739,0.25372478,-0.16859525,-0.17093775,0.031710915,0.019911505,0.29734218,0.039036546,905,2022,549,549,549,0.19936942,0.29469386,Recreation & culture
630425,BOOK-NON-FICTION-HARD-COVER,9,26,2022,342,351,796,1489,405,579,141,1125,0.29899997,-0.21157897,0.21357141,-0.27649769,0.38623527,0.2928701,-0.22266433,-0.29998457,0.22968435,0.23572868,0.36000001,0.51466668,905,2022,495,495,495,0.43259996,0.31491369,Recreation & culture
630426,BOOK-NON-FICTION-PAPER-BACK,9,26,2022,243,238,764,1245,592,249,209,1050,0.17667845,-0.1501433,0.25031289,-0.2002002,0.36235502,0.4654575,-0.20952375,-0.22063917,0.19518073,0.19116466,0.56380951,0.23714286,905,2022,272,272,272,0.34337354,0.29844135,Recreation & culture
630422,BOOK-REFERENCE (EG ATLAS/DICT),9,27,2022,10,10,111,131,52,32,43,127,0.26210913,-0.17067307,0.25000006,-0.23446861,0.38728982,0.39844447,-0.16976704,-0.27061617,0.076335877,0.076335877,0.40944883,0.2519685,905,2022,448,448,448,0.28938961,0.36853218,Recreation & culture
430133,BOOKCASE/FREESTAND SHELV UNIT,5,20,2022,329,235,1435,1999,1173,231,212,1616,0.15503876,-0.20000002,0.2,-0.16759777,0.19984163,0.34197098,-0.19416922,-0.22454041,0.1645823,0.11755878,0.72586632,0.14294554,501,2022,117,117,117,0.39012599,0.38806605,Household
310423,BOTTLE OF CHAMPAGNE 75 CL,2,17,2022,233,158,643,1034,660,138,104,902,0.14705883,-0.15789473,0.095238097,-0.19574469,0.18359946,0.1726964,-0.17639576,-0.18059394,0.22533849,0.15280464,0.73170733,0.15299335,201,2022,112,112,112,0.5496152,0.15437138,Alcohol & tobacco
310306,BOTTLE OF MIXER 125-200ML,1,26,2022,129,49,2470,2648,275,238,457,970,0.068181753,-0.083333351,0.097561002,-0.10101012,0.10401172,0.18929389,-0.12102277,-0.14335659,0.048716012,0.018504532,0.28350514,0.24536082,102,2022,554,554,554,0.42085829,0.12483179,Food & drink
310315,BOTTLE OF WINE 70-75CL,11,29,2022,343,42,2769,3154,780,69,350,1199,0.050125312,-0.042328045,0.06278614,-0.12505211,0.064358257,0.098262146,-0.076218195,-0.12312741,0.10875079,0.013316424,0.65054214,0.057547957,1101,2022,180,180,180,0.49664402,0.10162558,Restaurants & Hotels
212021,BOTTLE STILL WATER 500ML,1,13,2022,296,96,1281,1673,736,289,293,1318,0.13157898,-0.13100684,0.18421051,-0.31999999,0.15553692,0.27054358,-0.1551125,-0.31059286,0.17692767,0.05738195,0.55842185,0.21927163,102,2022,281,281,281,0.36990398,0.24112611,Food & drink
220117,BOTTLED MINERAL WATER,11,18,2022,240,17,2205,2462,729,27,113,869,0.031999968,-0.026666641,0.078947358,-0.10000002,0.065191858,0.10528702,-0.063338391,-0.13743038,0.09748172,0.0069049555,0.83889526,0.031070195,1101,2022,43,43,43,0.46020132,0.11317103,Restaurants & Hotels
310111,BOTTLED PREMIUM LAGER 4.3-7.5%,11,19,2022,361,48,2143,2552,760,56,81,897,0.035842344,-0.079577833,0.072976403,-0.088937163,0.054766074,0.10664269,-0.10205324,-0.12789473,0.14145768,0.018808777,0.8472687,0.062430322,1101,2022,37,37,37,0.67510223,0.062183607,Restaurants & Hotels
630309,BOXED BOARD GAME: NOT TRAVEL,9,35,2022,207,174,1005,1386,349,505,246,1100,0.24999997,-0.19999999,0.13043478,-0.16666667,0.28217632,0.21918233,-0.20620219,-0.21431035,0.14935064,0.12554112,0.31727272,0.45909092,903,2022,531,531,531,0.44607881,0.24201176,Recreation & culture
510507,BOY'S SHOES,3,35,2022,254,99,2023,2376,1109,204,640,1953,0.052631579,-0.078431375,0.15396459,-0.10769231,0.11532012,0.21157619,-0.12024095,-0.140036,0.10690235,0.041666668,0.56784433,0.10445469,302,2022,267,267,267,0.40225375,0.23987919,Clothing and footwear
510328,BOYS JEANS (5-13 YEARS),3,21,2022,311,269,1987,2567,732,712,676,2120,0.25000003,-0.20000002,0.2857143,-0.15789473,0.36102143,0.42021129,-0.23021939,-0.19693279,0.12115309,0.10479159,0.34528303,0.33584905,301,2022,506,506,506,0.37496987,0.39573759,Clothing and footwear
510348,BOYS T-SHIRT 3-13 YEARS,3,7,2022,287,273,1447,2007,837,360,622,1819,0.24999999,-0.1923077,0.33222219,-0.19999999,0.34312052,0.57907045,-0.19620395,-0.22403029,0.1429995,0.13602391,0.46014294,0.19791093,301,2022,387,387,387,0.41580385,0.44999021,Clothing and footwear
510407,"BRA, CUP SIZE A-D RANGE",3,35,2022,250,149,2233,2632,897,521,754,2172,0.24999996,-0.25,0.2,-0.1875,0.3082394,0.34390977,-0.26966441,-0.27403882,0.0949848,0.056610942,0.41298342,0.23987108,301,2022,440,440,440,0.38570485,0.29646397,Clothing and footwear
212223,BRAND CHOC SWEETS 90-185G BAG,1,11,2022,272,180,1367,1819,843,135,421,1399,0.28000003,-0.21875001,0.25,-0.21875001,0.364838,0.26434845,-0.26403219,-0.23810402,0.14953271,0.098955467,0.60257328,0.096497498,101,2022,224,224,224,0.26838681,0.43169177,Food & drink
310405,BRANDY 70CL BOTTLE,2,35,2022,198,184,788,1170,322,240,404,966,0.25,-0.2,0.11882353,-0.1953125,0.24889277,0.18361774,-0.19697428,-0.20011665,0.16923077,0.15726496,0.33333334,0.24844721,201,2022,515,515,515,0.50003487,0.10742794,Alcohol & tobacco
210213,BREAKFAST CEREAL 1,1,17,2022,369,296,1287,1952,873,405,462,1740,0.31999999,-0.24242423,0.15577887,-0.16666667,0.26229775,0.27885234,-0.22723337,-0.17246494,0.18903689,0.15163934,0.50172412,0.23275863,101,2022,339,339,339,0.43360025,0.22576959,Food & drink
210214,BREAKFAST CEREAL 2,1,17,2022,393,266,1302,1961,873,537,336,1746,0.16000004,-0.14285715,0.16666667,-0.1638796,0.19297607,0.36028355,-0.15683483,-0.21915242,0.20040795,0.13564508,0.5,0.30756015,101,2022,341,341,341,0.45738605,0.18354976,Food & drink
210219,BREAKFAST CEREAL GLUTEN FREE,1,3,2022,214,151,1450,1815,617,314,654,1585,0.10000002,-0.16666667,0.19999997,-0.14499997,0.15969297,0.29374063,-0.16693839,-0.14054754,0.11790634,0.083195589,0.38927445,0.19810726,101,2022,472,472,472,0.26061964,0.28546965,Food & drink
220328,BURGER IN A BUN EAT IN OR TAKE,11,3,2022,354,30,2198,2582,1419,97,425,1941,0.10020041,-0.090991899,0.14285715,-0.10606058,0.11885363,0.20327005,-0.10581075,-0.17157029,0.13710302,0.0116189,0.73106647,0.04997424,1101,2022,113,113,113,0.56938154,0.19331047,Restaurants & Hotels
211306,BUTTER 250G SPEC COO,1,10,2022,668,183,1387,2238,1805,60,190,2055,0.11428574,-0.10256413,0.18243241,-0.024390221,0.13377945,0.20469679,-0.107775,-0.031779319,0.29848078,0.081769437,0.87834549,0.02919708,101,2022,25,25,25,0.44720694,0.15093046,Food & drink
211207,"CANNED FISH, TUNA, 130G-200G",1,34,2022,187,102,946,1235,372,144,438,954,0.2,-0.33333334,0.15625,-0.20999998,0.27041575,0.18745479,-0.26998764,-0.21701418,0.151417,0.082591094,0.3899371,0.1509434,101,2022,470,470,470,0.4100692,0.17281689,Food & drink
212807,CANNED FRUIT-400-450G,1,27,2022,337,70,1806,2213,1393,98,232,1723,0.10000002,-0.083333351,0.10000002,-0.10000002,0.12486339,0.14713141,-0.11963791,-0.13590045,0.15228197,0.031631269,0.80847359,0.056877539,101,2022,56,56,56,0.37528676,0.16877659,Food & drink
211007,CANNED MEAT-STEWED STEAK,1,35,2022,120,25,847,992,412,83,253,748,0.095238075,-0.054054067,0.095238075,-0.19871792,0.10990667,0.11200292,-0.12352809,-0.23703861,0.12096774,0.025201613,0.55080211,0.11096257,101,2022,297,297,297,0.39469513,0.15154572,Food & drink
212910,CANNED SOUP-390-425G,1,35,2022,213,49,1099,1361,813,48,286,1147,0.12499996,-0.081632696,0.24999996,-0.052631591,0.22119783,0.27523878,-0.12792382,-0.14123204,0.15650257,0.036002938,0.70880556,0.041848298,101,2022,132,132,132,0.51917297,0.11723667,Food & drink
212608,CANNED SWEETCORN 198-340G,1,35,2022,405,64,2037,2506,1600,77,258,1935,0.12857148,-0.066666685,0.15384619,-0.13333337,0.14668226,0.18283354,-0.10489551,-0.14374293,0.16161214,0.025538707,0.82687336,0.039793283,101,2022,48,48,48,0.39659816,0.1283222,Food & drink
212601,CANNED TOMATOES 390-400G,1,35,2022,414,216,2790,3420,2185,487,322,2994,0.12499996,-0.20408168,0.12499996,-0.19999999,0.19888031,0.21783234,-0.18329939,-0.20090637,0.12105263,0.063157894,0.72979289,0.16265865,101,2022,115,115,115,0.42444378,0.24165083,Food & drink
510535,CANVAS FASHION ADULT SHOE/TRAI,3,9,2022,191,127,1748,2066,582,384,587,1553,0.2,-0.28011206,0.29288709,-0.2490613,0.33887452,0.47422329,-0.30608118,-0.24257192,0.092449181,0.061471444,0.37475854,0.24726336,302,2022,483,483,483,0.31162524,0.5036965,Clothing and footwear
610237,CAR BULB 12 VOLT SPECIFY WATTS,7,10,2022,139,88,972,1199,287,422,315,1024,0.15075375,-0.2599442,0.24418609,-0.23666668,0.15532656,0.58959228,-0.23431364,-0.24633069,0.11592994,0.073394492,0.28027344,0.41210938,702,2022,558,558,558,0.28539246,0.3026405,Transport
610227,"CAR MOT TEST FEE, VAT EXEMPT",7,24,2022,78,10,2945,3033,605,89,2115,2809,0.12219386,-0.070370361,0.125,-0.10665449,0.13559729,0.14413251,-0.073241033,-0.098512404,0.025717111,0.0032970656,0.21537913,0.031683873,702,2022,576,576,576,0.36497006,0.11759474,Transport
620315,CAR PARK CHARGES,7,19,2022,56,12,1811,1879,396,86,1023,1505,0.11111111,-0.1287879,0.12916668,-0.13095239,0.18700315,0.25617272,-0.15791997,-0.17889655,0.029803086,0.0063863755,0.26312292,0.057142857,702,2022,564,564,564,0.28970563,0.24839808,Transport
610236,CAR REPAIRS LOCAL GARAGE,7,17,2022,40,5,821,866,405,28,287,720,0.090326339,-0.074074075,0.090909094,-0.090909094,0.1089975,0.14315806,-0.10648147,-0.10900181,0.046189375,0.0057736719,0.5625,0.03888889,702,2022,276,276,276,0.37396649,0.12711851,Transport
610235,CAR REPAIRS MAIN DEALER,7,17,2022,47,9,600,656,302,26,198,526,0.090909094,-0.042553216,0.1,-0.047619049,0.092889205,0.11742956,-0.043168753,-0.059446465,0.07164634,0.013719512,0.57414448,0.049429659,702,2022,260,260,260,0.49535233,0.092915773,Transport
610231,CAR SERVICE- LOCAL GARAGE,7,19,2022,56,13,753,822,369,68,234,671,0.073214293,-0.053201985,0.125,-0.15530303,0.097368628,0.19621441,-0.097321011,-0.20033838,0.068126522,0.015815085,0.54992551,0.10134128,702,2022,300,300,300,0.44876647,0.17673263,Transport
610232,CAR SERVICE- MAIN DEALER,7,19,2022,46,9,566,621,278,51,156,485,0.079496697,-0.032258064,0.16331914,-0.13846155,0.12813126,0.19476242,-0.12857324,-0.17084542,0.074074075,0.014492754,0.57319587,0.10515464,702,2022,261,261,261,0.52246553,0.17734405,Transport
610204,"CAR TYRE, STATE SIZE",7,35,2022,214,106,1116,1436,825,230,64,1119,0.056112286,-0.055902779,0.14412594,-0.055245489,0.085560136,0.18115856,-0.07465212,-0.096237041,0.14902507,0.073816158,0.73726541,0.20554066,702,2022,105,105,105,0.50349224,0.15604702,Transport
610238,CAR WASH HAND OR AUTOMATIC,7,9,2022,23,2,922,947,131,12,365,508,0.25,-0.26041669,0.2506265,-0.17708334,0.2628713,0.29054478,-0.26041669,-0.19513889,0.024287222,0.0021119325,0.25787401,0.023622047,702,2022,566,566,566,0.1869037,0.34238327,Transport
630340,CARBON FIBRE FISHING ROD,9,19,2022,25,6,555,586,126,24,278,428,0.11112869,-0.10001212,0.1351534,-0.11466418,0.13593091,0.17867851,-0.13410503,-0.11651804,0.042662118,0.010238908,0.29439253,0.056074765,903,2022,550,550,550,0.30014187,0.23889622,Recreation & culture
410518,CARPENTER HOURLY RATE,4,18,2022,18,3,867,888,164,2,683,849,0.16927084,-0.125,0.2,-0.11805555,0.2121391,0.22265562,-0.13078704,-0.11805555,0.020270269,0.0033783785,0.19316843,0.0023557127,403,2022,580,580,580,0.19179979,0.15124202,Housing & utilities
430233,CARPET TUFTED 100% MANMADE FIB,5,9,2022,313,162,1376,1851,904,172,170,1246,0.1157601,-0.20007409,0.15007503,-0.18607543,0.319994,0.26880538,-0.29317397,-0.21836133,0.16909778,0.087520257,0.72552168,0.13804173,501,2022,118,118,118,0.46849898,0.25952375,Household
430234,CARPET TUFTED MIN 80% WOOL FIB,5,9,2022,327,188,1281,1796,822,194,175,1191,0.11560693,-0.20004216,0.11540681,-0.19171372,0.17697714,0.19878329,-0.18915924,-0.20625487,0.18207127,0.10467706,0.69017631,0.16288833,501,2022,150,150,150,0.47472954,0.16370609,Household
212218,CARTON/BOX OF CHOCS 150-400GM,1,27,2022,136,86,566,788,169,114,254,537,0.44444445,-0.33333334,0.42857143,-0.37369519,0.42666504,0.51745158,-0.30910903,-0.32627854,0.17258883,0.10913706,0.31471136,0.2122905,101,2022,533,533,533,0.31621435,0.27525249,Food & drink
430624,CAT FOOD POUCH-IND-85G-100G,9,14,2022,236,117,912,1265,646,228,120,994,0.13793111,-0.12500003,0.16666658,-0.25493231,0.14214484,0.27819735,-0.13526043,-0.24781027,0.18656127,0.092490122,0.64989942,0.22937626,903,2022,183,183,183,0.41811547,0.19120188,Recreation & culture
630231,CD ALBUM (NOT CHART),9,15,2022,8,7,89,104,25,6,49,80,0.69999999,-0.5,0.66666669,-0.5002085,0.66250002,0.77066666,-0.38528138,-0.5002085,0.07692308,0.067307696,0.3125,0.075000003,901,2022,534,534,534,0.27760497,0.66343319,Recreation & culture
630230,CD ALBUM (TOP 40),9,15,2022,19,16,111,146,24,21,54,99,0.25,-0.30000001,0.14285715,-0.2,0.3581036,0.32499999,-0.26489899,-0.27510822,0.13013698,0.10958904,0.24242425,0.21212122,901,2022,571,571,571,0.36202019,0.31084037,Recreation & culture
410637,CERAMI TILES 15X15-25X50CM BOX,4,8,2022,264,41,852,1157,685,159,148,992,0.17454486,-0.19260207,0.2515645,-0.27891546,0.21470508,0.41857663,-0.15962723,-0.29862645,0.22817631,0.035436474,0.69052422,0.16028225,403,2022,148,148,148,0.36672577,0.3962611,Housing & utilities
210215,CEREAL BAR,1,13,2022,264,273,1513,2050,397,400,1055,1852,0.44000006,-0.44444445,0.32000005,-0.24999999,0.55507773,0.45394349,-0.38007221,-0.29354444,0.12878048,0.13317074,0.21436284,0.21598272,101,2022,577,577,577,0.31833309,0.41590926,Food & drink
630369,CHARCOAL BBQ NOT DISPOSABLE,9,10,2022,82,105,385,572,279,106,23,408,0.33333334,-0.31428573,0.5,-0.26945204,0.42267221,1.0163769,-0.3201873,-0.32191566,0.14335664,0.18356644,0.68382353,0.25980392,903,2022,155,155,155,0.42874312,0.8267768,Recreation & culture
211501,CHEDDAR-HOME PRODUCED PER KG,1,35,2022,440,38,785,1263,791,149,101,1041,0.086956523,-0.12151409,0.20627262,-0.22137406,0.10514166,0.25686359,-0.13495566,-0.21587422,0.34837687,0.030087095,0.75984633,0.1431316,101,2022,88,88,88,0.51810998,0.14308557,Food & drink
211506,"CHEESE SPREAD, 125g-200g TUB",1,25,2022,260,176,630,1066,423,121,409,953,0.5,-0.33333334,0.3025209,-0.33333334,0.40851554,0.35594329,-0.33123675,-0.3089895,0.24390244,0.16510318,0.44386148,0.12696747,101,2022,411,411,411,0.36760607,0.23237373,Food & drink
