L1,L2,COUNTRY,BECNURBPTCH,BECPTCHDENS,BECEFFMESHSIZE,BECAWAVGPTCHAREA,BECAWMNSHPINDX,BECAWMNNNGH,BECADCRCTYAVG,BECADINTDENS,BECADSTTDENS,BECADSTTLGAVG,BECADSTTPNODEAVG,TRANS_PROF,TRANS_PROB,URBAN_PROF,URBAN_PROB,LAT,LONG,SECPOV,AREA,POP,CNSMINPRM,CNSMINPRF,CNSUNEMPLM,CNSUNEMPLF,BRT,SUBWAY,CONGESTION
Buenos Aires,Comuna 3,Argentina,1,0.1567,638.01,638.01,1.1361,0.0,1.002154226,73.42152953,15797.16671,119.814998,3.775423729,1,1.0,4,1.0,-34.61573394,-58.40339966,,638.01,191323,84.4634822,82.88996359,3.891140913,5.648233054,1,1,0.323
Buenos Aires,Comuna 1,Argentina,9,0.4958,1120.3671,1414.4143,2.3688,60.0248,1.02125757,84.59737057,14366.53879,96.01910986,3.376881397,1,1.0,3,0.836691756,-34.60787578,-58.37215554,,1437.84,243946,78.27458934,79.39000759,3.751943687,6.616907522,1,1,0.3117
Buenos Aires,Almirante Brown,Argentina,72,0.5577,5365.4112,8238.0015,4.53,61.2989,1.006893372,62.33474636,12149.78104,109.3067526,3.416069541,1,1.0,5,1.0,-34.836714,-58.36759794,,8408.6136,557028,80.95395268,78.84409998,5.108545332,10.05003882,0,0,0.1453
Buenos Aires,Avellaneda,Argentina,32,0.5591,3417.2147,4356.9864,3.0293,60.571,1.018795551,71.20695733,13464.96509,106.8224908,3.366038603,1,1.0,5,0.949182812,-34.67854042,-58.34120958,,4489.0208,345751,82.55305042,79.83044917,5.01452455,8.665212624,0,0,0.1733
Buenos Aires,Berazategui,Argentina,176,0.7996,1215.63,4639.446,2.4932,62.5616,1.024248342,27.32568739,5823.533953,120.5662725,3.354361371,4,0.929,3,0.994791976,-34.81895299,-58.15534301,,5767.2032,326107,80.25314485,77.89988642,5.63258422,10.46540993,0,0,0.1394
Buenos Aires,Berisso,Argentina,72,0.4949,217.3327,1704.7864,5.8011,63.2306,1.028180167,13.67277505,3027.78068,126.6312668,3.244832338,3,1.0,3,0.997734662,-34.91112841,-57.82904663,,1854.6264,89071,82.82868666,80.14431976,4.69489215,8.942831456,0,0,0.1162
Buenos Aires,Comuna 10,Argentina,1,0.0807,1239.3,1239.3,1.6596,0.0,1.0083592,110.5191465,18956.26184,97.3435364,3.564412811,3,1.0,4,1.0,-34.62981114,-58.50302503,,1239.3,169372,86.67075858,83.55868973,3.579651244,6.693855232,1,0,0.1219
Buenos Aires,Comuna 11,Argentina,1,0.0715,1397.7,1397.7,1.772,0.0,1.002768048,106.9134371,18807.93031,98.30096973,3.677290837,3,1.0,4,1.0,-34.60810796,-58.49731576,,1397.7,189760,86.25382262,84.90919403,3.790565466,5.521375921,1,0,0.1379
Buenos Aires,Comuna 8,Argentina,93,4.3047,465.6634,738.5208,2.5488,60.4632,1.026387065,73.20766764,13770.14921,110.6946137,3.243100411,1,1.0,3,0.999999999,-34.67585421,-58.46212451,,1362.2361,219638,81.7843393,78.49554048,5.12071082,9.28328295,1,0,0.1387
Buenos Aires,Comuna 9,Argentina,4,0.2538,1531.4872,1551.6932,1.775,84.8549,1.004996813,102.3171975,18322.67866,102.113189,3.594627595,3,1.0,4,0.999905155,-34.6533247,-58.49899342,,1555.29,168681,85.17930062,81.65409482,4.464493721,7.442811502,1,0,0.1576
Buenos Aires,Cañuelas,Argentina,396,0.3328,4.1791,364.234,3.7226,107.5962,1.041872356,1.87801643,868.6423311,262.6289596,3.202093398,3,0.976,1,0.999973911,-35.14651675,-58.69107898,,1365.2892,52058,77.47352428,77.60127956,3.40939962,8.018200202,0,0,0.041
Buenos Aires,Ensenada,Argentina,95,0.8344,121.0411,876.6141,4.6192,69.3673,1.042656256,15.52798048,3528.034128,130.631792,3.168336673,3,0.996,3,0.567052864,-34.84403792,-57.97973953,,1572.0315,57122,82.57320144,80.93329064,5.109442606,8.663366337,0,0,0.0822
Buenos Aires,Escobar,Argentina,502,1.6612,415.0117,2176.4097,3.9045,67.364,1.032900844,18.45431133,3964.023375,127.3280429,3.055841648,3,0.964,3,0.95032378,-34.32976745,-58.77121232,,5762.3576,215255,78.87677394,77.38562661,4.736496339,9.912866107,0,0,0.1314
Buenos Aires,Esteban Echeverría,Argentina,126,1.0397,2239.0606,4804.0065,4.278,60.9738,1.016068253,42.18724608,8779.852389,116.0352366,3.347217235,4,1.0,3,0.932385227,-34.83225777,-58.47698673,,5648.1264,300782,79.72281943,77.93485593,5.255620627,10.48029256,0,0,0.1717
Buenos Aires,Exaltación de la Cruz,Argentina,730,1.1498,1.434,87.449,3.226,114.1588,1.041469751,2.805421405,1236.794127,258.9192513,3.115169964,3,0.955,1,0.999945932,-34.2970495,-59.15630678,,1041.126,29888,78.15185764,77.20718892,2.428571429,6.483330773,0,0,0.0174
Buenos Aires,Ezeiza,Argentina,352,1.4806,405.6376,2527.5182,5.3981,64.406,1.034653375,16.94044988,4361.16344,144.3456419,3.312014619,3,0.971,3,0.997945387,-34.87714713,-58.56486881,,3815.4688,163284,75.02377871,75.32003101,4.493939527,12.27166276,0,0,0.0876
Buenos Aires,Florencio Varela,Argentina,172,0.9033,1021.8091,3689.3246,3.5086,68.1294,1.010689657,36.30026294,7423.977106,115.2220397,3.381328253,4,0.997,3,0.998343692,-34.87870242,-58.2587758,,5273.5544,426741,75.21356746,75.25950212,6.238096887,12.07582253,0,0,0.1088
Buenos Aires,General Rodríguez,Argentina,376,1.0517,52.1562,772.9066,4.738,66.6734,1.030781316,12.90827188,3272.975697,143.9381733,3.365388559,3,1.0,1,0.844494272,-34.65315421,-58.98681849,,2412.4536,87340,78.93247489,78.83742193,3.433712041,9.730729964,0,0,0.0827
Buenos Aires,General San Martín,Argentina,22,0.3893,4151.7672,4796.4008,1.9107,60.2553,1.023455013,83.19018039,15623.89425,104.7535142,3.508401639,1,1.0,5,0.999921004,-34.55373193,-58.56445181,,4891.051,418016,82.05036424,78.76640436,3.911508017,7.929780886,0,0,0.155
Buenos Aires,Hurlingham,Argentina,42,1.1873,1598.6003,2321.7302,2.8433,61.0083,1.014555751,70.95435181,13475.02183,107.1577546,3.376725103,1,1.0,3,0.999489245,-34.60022595,-58.64979238,,2435.6682,182605,82.04206305,79.03995244,4.930146851,9.365925644,0,0,0.1473
Buenos Aires,Ituzaingó,Argentina,47,1.2336,2901.9364,3256.5816,2.3692,60.0989,1.011260413,81.70123612,15911.12482,109.7323446,3.4524248,1,1.0,3,0.877553824,-34.63705318,-58.68888162,,3394.9792,169037,82.18460072,79.98106203,4.593966563,8.939626566,0,0,0.1109
Buenos Aires,José C. Paz,Argentina,116,2.3159,2949.4518,3696.9448,3.1277,60.068,1.006373527,97.82900519,16674.40421,95.225523,3.404821121,1,1.0,3,0.982191982,-34.51297867,-58.77777035,,3996.1768,267275,76.71704041,75.12052338,4.85431717,9.984411536,0,0,0.1102
Buenos Aires,La Matanza,Argentina,289,0.8803,7933.3924,15776.9919,6.5192,61.1865,1.012285447,58.45506899,11065.29271,104.8318025,3.42813606,1,1.0,5,1.0,-34.77121478,-58.62532915,,16507.7089,1777528,78.3381541,76.55645119,5.449669323,10.77685278,0,0,0.1817
Buenos Aires,La Plata,Argentina,853,0.9569,1180.0796,8489.5942,7.5939,66.4869,1.023198327,17.02258211,4257.751376,138.4137349,3.341714632,3,0.978,5,1.0,-35.00510088,-58.01886239,,12391.2751,659574,84.79780488,84.02968527,3.894570351,7.105627519,0,0,0.1293
Buenos Aires,Lanús,Argentina,3,0.0596,4984.4839,5006.7001,1.5529,60.0003,1.005284035,92.65820551,17151.00826,101.6677534,3.56876939,1,1.0,5,0.976057548,-34.70665219,-58.39483775,,5007.78,463555,82.81970313,80.09300391,4.764074146,8.703323087,0,0,0.1629
Buenos Aires,Lomas de Zamora,Argentina,3,0.0338,8599.2392,8690.4296,1.7827,67.114,1.009813929,83.08205805,15774.07852,105.2711161,3.446499171,1,1.0,5,1.0,-34.7560257,-58.42418556,,8775.54,621438,81.22301164,78.48254383,4.338777181,8.528210973,1,0,0.1897
Buenos Aires,Luján,Argentina,576,0.7385,25.0837,743.244,4.315,81.878,1.050179138,5.449043701,1794.656889,190.8829663,3.074468085,1,0.999,1,0.999747664,-34.57038884,-59.15753679,,2632.4352,106885,78.52223683,79.94185412,3.654975782,8.469098636,0,0,0.0534
Buenos Aires,Malvinas Argentinas,Argentina,49,0.7756,5552.6439,5854.5767,2.6035,60.0131,1.009178201,81.06624119,14090.87682,102.1307735,3.236533529,1,1.0,5,1.0,-34.48837782,-58.71215284,,5991.5681,324358,80.05085168,77.95875722,5.468193878,9.486277478,0,0,0.1432
Buenos Aires,Marcos Paz,Argentina,294,0.6963,15.5332,506.9764,4.2934,90.4446,1.012749721,4.653454485,1523.424705,184.8463079,3.383070301,1,0.995,1,0.903573449,-34.81494089,-58.84785883,,1293.6588,54335,73.33281668,79.77526897,4.029587883,9.366070484,0,0,0.0794
Buenos Aires,Merlo,Argentina,234,1.345,2795.775,6290.3473,4.454,60.7372,1.006094132,48.88750411,10181.02355,114.7247993,3.515533543,1,1.0,5,0.976082011,-34.71196333,-58.74197447,,7732.2492,531608,81.56745896,80.04043519,5.380107494,10.15079002,0,0,0.1812
Buenos Aires,Moreno,Argentina,457,2.4521,3174.3658,6464.5189,7.2498,61.8353,1.012011496,56.74879771,11202.91509,111.4300951,3.335451977,1,1.0,5,0.999936741,-34.61175829,-58.81108608,,9151.5621,454415,81.25573116,80.11866497,5.535991429,11.04813295,0,0,0.1311
Buenos Aires,Morón,Argentina,14,0.2532,4421.7825,4932.3124,1.7863,360.9641,1.006257939,86.03902261,14945.58687,98.1411013,3.48372093,1,1.0,4,1.0,-34.65025541,-58.62000875,,4957.6506,324276,86.08278715,82.89061231,4.404265663,8.412587953,0,0,0.1797
Buenos Aires,Pilar,Argentina,848,2.2145,478.1088,1894.0018,6.8924,62.7741,1.032112959,23.80171032,5338.447365,129.0099496,3.039071456,4,0.858,5,0.999995719,-34.44986386,-58.90328509,,9666.4368,299551,81.52828023,80.4793581,4.165063486,8.311595148,0,0,0.1147
Buenos Aires,Presidente Perón,Argentina,112,0.9279,46.297,485.5552,3.3222,73.2421,1.011581398,15.87332673,3817.33631,135.1686058,3.368471954,3,0.994,2,0.995491448,-34.93103222,-58.39841019,,1150.8336,81166,80.57898506,79.61745552,5.948409529,9.459080718,0,0,0.0575
Buenos Aires,Quilmes,Argentina,33,0.3586,6112.1935,7463.1763,2.3484,60.1275,1.012594862,83.38364415,14931.83305,98.92398338,3.453719617,1,1.0,5,1.0,-34.73599902,-58.2767306,,7536.9591,586461,83.95175217,81.34858822,5.321319794,9.294272181,0,0,0.1611
Buenos Aires,San Ferdo,Argentina,29,0.0291,46.8277,2126.7091,2.9181,63.9305,1.0304564,2.124220015,358.4050913,95.32813009,3.240323267,3,0.99,1,0.54118146,-34.15242102,-58.5463191,,2192.4,164450,83.15522751,80.56553727,4.167821434,7.668259915,0,0,0.13
Buenos Aires,San Isidro,Argentina,19,0.3656,4818.9115,4987.3324,1.8272,60.0126,1.081261894,11.560677,3603.052948,178.0940164,2.418300654,2,0.916,5,0.999998468,-34.48817084,-58.53776276,,5021.4606,295894,88.77696828,85.39943191,5.466037671,6.780379414,0,0,0.2017
Buenos Aires,San Miguel,Argentina,63,0.7673,2400.7878,4326.2171,3.9893,61.1551,1.020744183,106.9432265,17875.52231,96.81532788,3.247763864,3,1.0,3,0.935864567,-34.55318654,-58.69215201,,4556.3427,278021,83.93178641,82.20165231,4.102861173,8.784090909,0,0,0.1056
Buenos Aires,San Vicente,Argentina,241,0.3664,5.7974,325.5374,3.9565,92.4773,1.022772007,4.70954867,1439.848727,171.197584,3.293978749,1,0.997,1,0.552591587,-35.07191018,-58.43235723,,1171.3564,59510,81.85712375,81.39209299,4.866620853,10.49594229,0,0,0.0519
Buenos Aires,Tigre,Argentina,322,0.8194,1851.3321,7713.7305,5.978,61.5145,1.029015812,16.72202808,3383.744319,115.5673636,3.131085637,3,0.996,5,0.99946613,-34.38327824,-58.59981823,,9430.9292,376517,83.94215402,81.86345837,4.241440104,8.814977239,0,0,0.1282
Buenos Aires,Tres de Febrero,Argentina,19,0.4112,3259.3223,3840.9086,2.0983,61.1922,1.010267992,89.70982217,15601.03253,98.56464346,3.435532062,1,1.0,5,0.802942716,-34.59678967,-58.57955064,,3921.03,343337,85.91823796,82.43089237,4.089473578,7.595060044,0,0,0.1833
Buenos Aires,Vicente López,Argentina,5,0.1467,3317.2982,3361.3206,1.9558,60.0,1.016413093,111.2761773,19064.89115,96.48542362,3.393422354,3,1.0,4,0.981033502,-34.52788587,-58.5050626,,3363.84,272385,90.43965558,87.12570564,3.59789669,5.166535186,1,0,0.19
Catamarca,Capital,Argentina,83,0.2095,229.3611,2785.3426,4.3633,63.1925,1.022993373,12.58795343,2118.79881,95.16441369,3.337218045,3,1.0,3,0.999248757,-28.42641747,-65.84281827,,3261.7838,163830,81.81573117,82.08345954,5.143351102,10.3844761,0,0,0.0794
Catamarca,Fray Mamerto Esquiú,Argentina,99,0.5497,9.6113,259.5071,3.9466,73.2082,1.070377343,4.361201515,1229.487519,165.1305311,2.729187563,1,0.772,2,0.990634898,-28.34259062,-65.74367714,,667.0818,12210,81.65239031,82.04961384,4.620355412,10.38562664,0,0,0.0319
Catamarca,Valle Viejo,Argentina,83,0.1391,5.5021,445.0434,4.0822,113.4698,1.108780153,1.275095015,427.3542884,200.6726578,2.792956243,2,0.87,1,0.991134567,-28.60874074,-65.71482521,,737.6376,27932,81.45285505,82.93359417,4.736691471,8.975609756,0,0,0.032
Comodoro Rivadavia,Escalante,Argentina,568,0.0398,2.867,972.1899,3.1574,126.1183,1.145693103,0.713703547,300.1013716,247.1014059,3.077508406,3,1.0,1,0.999999993,-45.28721853,-67.71268546,,4210.584,187919,81.48374808,80.36304201,4.138844727,7.487746094,0,0,0.0768
Concordia,Concordia,Argentina,559,0.1692,15.6216,1507.0606,3.2215,120.7034,1.039522546,1.482737308,534.2830284,203.1538674,3.252843558,3,0.999,1,0.999999968,-31.29251096,-58.23806914,,3424.0427,172660,71.79866218,74.07500427,3.234237177,6.517476844,0,0,0.0822
Cordoba,Capital,Argentina,780,1.3991,7031.5029,17330.9107,7.2972,62.7569,1.028339066,47.38697851,8650.087641,104.765152,3.258200909,4,1.0,5,1.0,-31.41773852,-64.18476345,,22618.674,1370587,85.73337646,84.3527075,5.088766078,9.233211611,1,0,0.1479
Cordoba,Colón,Argentina,1062,0.4419,30.4388,1036.0732,5.7827,84.9576,1.084179543,3.704714158,1262.63801,196.9589676,3.012215221,1,0.945,1,0.994326117,-31.14728711,-64.15276596,,7060.2822,228332,81.28053075,81.60118403,3.873831242,9.051676926,0,0,0.0717
Corrientes,Capital,Argentina,310,0.5519,314.7543,3684.5797,4.0633,69.7805,1.029976352,12.47693395,2323.68778,104.8579514,3.275943396,3,1.0,3,0.980363489,-27.52156066,-58.76472971,,4798.521,367003,77.51408191,77.69869997,5.242696374,8.854507672,0,0,0.1603
Formosa,Formosa,Argentina,358,0.056,8.5908,1749.9509,4.4193,83.5585,1.034859383,0.797145523,242.8415087,170.2638235,3.303046692,3,1.0,1,0.999939005,-25.94127745,-58.37658289,,3139.302,263235,77.21505169,77.10339521,4.151543059,6.731612506,0,0,0.0728
Jujuy,Dr. Manuel Belgrano,Argentina,202,0.0991,22.6174,1373.0946,4.6372,73.3727,1.105340994,3.469819886,737.8546249,124.1881456,3.088942308,4,0.992,1,0.996815198,-24.08806983,-65.43338604,,3357.0986,269079,80.51703035,78.34836493,4.085741355,7.528897757,0,0,0.1088
Jujuy,Palpalá,Argentina,82,0.1684,6.4762,380.5541,4.1098,75.834,1.056387211,3.804886505,817.1189891,129.2141424,3.159033719,4,0.997,2,0.978840553,-23.0,-67.0,,828.446,53437,79.6663946,74.50724959,5.006248048,9.112605771,0,0,0.0268
La Rioja,Capital,Argentina,260,0.0198,8.2127,2547.9585,4.9404,93.0326,1.059243985,0.462043657,135.6680254,168.7502487,3.197036141,3,1.0,1,0.999929988,-29.45935361,-66.37110661,,4224.324,185581,80.69416632,82.08683067,5.281645967,9.029574122,0,0,0.1202
Mar del Plata,General Pueyrredón,Argentina,765,0.5313,601.6461,8367.7196,6.727,68.6611,1.021755182,10.80174931,2583.852802,130.0727092,3.502960747,3,1.0,5,1.0,-37.96700953,-57.74032581,,10351.9035,624389,80.21473199,79.7747354,4.67409229,8.798722857,0,0,0.165
Mendoza,Capital,Argentina,57,1.1692,323.2939,952.5081,2.6763,63.7873,1.053053254,40.30237475,6966.80432,102.1724689,3.095,4,1.0,3,0.999826276,-32.87856718,-68.90216376,,1654.6473,117732,82.83929446,83.72890385,4.618480413,7.4925147,0,0,0.0974
Mendoza,Godoy Cruz,Argentina,43,0.5058,771.1177,2510.5112,2.4313,63.4414,1.023072979,38.42192635,6189.480186,95.19624646,3.118413755,4,0.993,3,0.999682316,-32.92848079,-68.90213725,,2611.1707,196208,84.74071113,82.18999779,5.720255237,8.893425701,0,0,0.1034
Mendoza,Guaymallén,Argentina,404,2.424,1637.5741,4303.1401,4.9269,65.2435,1.031494987,35.18948809,7283.273118,119.7300405,3.058104887,4,0.998,3,0.991542784,-32.88844994,-68.74271948,,6342.4768,289409,80.6040203,78.21527253,5.610793635,10.77780539,0,0,0.1736
Mendoza,Las Heras,Argentina,414,0.0472,5.335,1428.2414,3.6683,110.1676,1.096262434,0.403271845,140.5578591,202.3562726,2.958253817,3,0.948,1,0.999999527,-32.52363838,-69.2760836,,3274.0362,207786,79.98125121,78.32359844,5.729000843,11.74092258,0,0,0.0929
Mendoza,Luján de Cuyo,Argentina,741,0.1545,14.2219,1411.6428,4.4506,109.2873,1.080104539,0.845726361,297.2558709,206.8097531,2.744396382,2,0.73,1,0.999998272,-33.0372494,-69.47150576,,4831.0977,122187,78.94344553,78.24737986,4.414256323,7.886393659,0,0,0.0511
Mendoza,Maipú,Argentina,1086,1.6219,79.5165,1044.2334,3.7151,87.2159,1.038628767,73.64383456,8909.495707,72.90259476,3.001153607,4,1.0,5,0.891182699,-32.98662568,-68.66991962,,5098.8786,175780,77.38555224,74.84708539,4.349338901,9.797297297,0,0,0.0763
Neuquen-Plottier-Cipolletti,Confluencia,Argentina,831,0.1151,22.8247,2048.3137,4.2891,113.4401,1.05426549,2.222826444,633.0392204,165.0038585,3.180324114,4,0.687,1,0.999998436,-38.83262689,-68.80183321,,8047.7364,376436,80.65072233,79.88039735,5.569826141,8.113931889,0,0,0.1408
Neuquen-Plottier-Cipolletti,General Roca,Argentina,1413,0.0962,4.6746,816.0855,3.5239,144.6284,1.044927874,0.87765082,304.3296512,200.1862706,3.153521127,3,1.0,1,0.999999995,-38.53166449,-67.55903223,,8412.4368,326008,76.33923958,76.64202808,5.330428791,8.580158767,0,0,0.0869
Parana,Paraná,Argentina,1037,0.2024,31.8222,2159.3612,4.6096,125.1056,1.055095249,1.923134523,741.2670626,221.35619,3.186517477,3,0.98,1,0.999999752,-31.69885208,-60.04458145,,7550.0859,345428,79.97764561,78.79365882,3.700949298,7.284446909,0,0,0.0914
Posadas,Capital,Argentina,299,0.3148,228.1105,3648.62,4.4801,66.7548,1.034850804,10.40797162,2114.155755,116.9991932,3.206640007,3,1.0,3,0.99251575,-27.55094123,-55.85615573,,5938.4689,328137,76.64182484,75.55896123,4.89735161,8.238431373,0,0,0.105
Rawson-Trelew,Rawson,Argentina,295,0.0721,7.7229,1129.2471,3.3843,93.4898,1.050955029,1.488284221,439.9283915,169.8468797,3.245297446,3,1.0,1,0.999986185,-43.13777704,-65.06963674,,2798.2815,132849,77.4883122,78.08095005,5.141301602,9.15422196,0,0,0.0476
Resistencia,Libertad,Argentina,73,0.0701,0.119,62.0657,2.9482,312.6556,1.104078541,0.609285582,572.5622799,548.6766954,2.753731343,2,0.949,6,0.999999985,-27.35078991,-59.26177318,,199.5309,12415,71.15375494,70.72626788,4.5410937,10.11111111,0,0,0.0282
Resistencia,San Ferdo,Argentina,373,0.1037,76.3491,4571.7541,6.9062,67.2295,1.061304886,2.790607256,678.1483198,136.0467656,3.130128651,4,0.894,3,0.51512341,-27.7213342,-59.1152665,,6009.7387,400052,77.27422477,77.21288934,5.365385768,7.765692098,0,0,0.1805
Rio Cuarto,Río Cuarto,Argentina,1872,0.1008,5.7039,1361.2845,3.7062,227.3486,1.054369861,0.54541381,376.3284591,398.0332856,3.276028606,3,1.0,1,1.0,-33.33379454,-64.49537492,,7784.712,251770,78.21120748,78.3777454,3.377390448,8.020573817,0,0,0.0649
Rio Gallegos,Güer Aike,Argentina,338,0.0101,0.8082,1181.4987,2.4029,154.0664,1.089342567,0.173555126,119.3546411,392.2807204,3.268082389,3,1.0,1,1.0,-51.41374423,-70.56430009,,2297.1494,114030,79.89908801,80.99564033,4.040156709,5.945086481,0,0,0.009
Rosario,Rosario,Argentina,972,0.5231,947.8386,9384.1,5.8493,68.7877,1.027293298,12.00088255,2955.729965,139.2917989,3.317260159,3,1.0,5,1.0,-33.13190205,-60.70743527,,18768.1536,1218187,80.8579889,79.30061752,4.747098881,8.957470276,1,0,0.126
Rosario,San Lorenzo,Argentina,671,0.3328,42.2598,1417.3521,4.9754,93.1147,1.033536936,3.742020792,1425.173145,216.5206132,3.279897285,1,0.868,1,0.999962168,-32.94928221,-60.96400852,,6012.0258,160055,81.34615367,78.46712986,4.767865771,9.56507732,0,0,0.1292
Salta,Capital,Argentina,292,0.1653,220.0761,4891.9231,6.1384,70.5922,1.046712233,6.496421997,1238.104893,110.8414001,3.230543797,1,1.0,3,0.634321044,-24.89310489,-65.27195957,,7945.3784,546856,80.44860705,79.26508898,5.492933613,10.3468239,0,0,0.0499
Salta,Cerrillos,Argentina,186,0.3478,1.357,108.3071,2.3813,164.9788,1.052836212,1.584119845,604.17838,226.9711554,2.953204476,3,0.994,6,0.999888492,-24.99442614,-65.40304782,,670.0464,36363,72.06933785,73.67294202,3.405875952,8.228853964,0,0,0.0762
Salta,La Caldera,Argentina,88,0.0837,0.0568,25.2357,2.7606,113.0288,1.150459544,0.563583648,258.6214568,261.0306176,2.620300752,2,0.988,6,0.999760712,-24.56075544,-65.44657084,,236.5176,7886,77.3625857,77.14542787,3.110492108,7.025316456,0,0,0.0171
San Carlos de Bariloche,Bariloche,Argentina,410,0.0741,4.1441,740.2788,4.4184,75.001,1.110049011,0.887878457,301.2607368,193.8260961,2.98767789,3,0.99,1,0.999811257,-41.50518965,-71.53044494,,3098.165,135338,75.84181117,74.74686995,5.47673249,9.783790699,0,0,0.085
San Juan,9 de Julio,Argentina,72,0.4804,0.2191,24.5202,1.9487,223.6055,1.020564531,1.50248225,1002.668442,384.7426822,2.81754386,3,1.0,6,0.999997161,-31.64645576,-68.38986955,,133.92,9480,67.85364055,69.86570527,8.21858864,20.89249493,0,0,0.0097
San Juan,Capital,Argentina,1,0.0374,2669.6751,2673.36,1.3913,0.0,1.027486426,100.1084541,17417.25165,102.1399464,3.171302578,3,1.0,4,1.0,-31.53501677,-68.53508316,,2673.36,111997,86.91504904,85.29079197,5.916995774,7.319126143,0,0,0.0954
San Juan,Chimbas,Argentina,91,1.441,276.3234,1037.2475,4.6992,68.4498,1.035503513,26.20189002,5181.484901,114.5861084,2.819236346,4,0.939,3,0.999679539,-31.48944212,-68.52281402,,1682.2806,88997,77.96280937,79.55604803,5.575547761,15.53297233,0,0,0.0863
San Juan,Pocito,Argentina,511,0.8988,5.4753,207.6467,3.4963,114.199,1.018850113,1.740655931,787.1469209,257.776881,2.8697411,3,0.98,1,0.999991307,-31.74760476,-68.58510758,,1499.1207,54059,72.19545344,73.85166166,4.566770074,12.53118935,0,0,0.0355
San Juan,Rawson,Argentina,247,0.8559,97.6859,1335.8539,2.2963,84.1909,1.014363441,7.402518592,1899.577019,148.9894531,3.031350482,1,1.0,1,0.998975423,-31.68891959,-68.46796226,,2110.4174,117007,81.67068203,80.93652869,5.90223174,12.53678067,0,0,0.1187
San Juan,Rivadavia,Argentina,117,0.9731,81.0202,601.1337,2.8286,73.6978,1.047447442,17.34115234,3246.521452,108.3630275,2.803272451,3,0.99,2,0.953377724,-31.55631487,-68.64314094,,1620.45,84505,85.25656423,85.09479242,6.136830316,10.36437725,0,0,0.0917
