Year,Type,Value
1977,Income tax,17453.0
1978,Income tax,18785.0
1979,Income tax,20355.0
1980,Income tax,23376.0
1981,Income tax,26958.0
1982,Income tax,29786.0
1983,Income tax,31023.0
1984,Income tax,32064.0
1985,Income tax,33965.0
1986,Income tax,39283.0
1987,Income tax,40040.0
1988,Income tax,43268.0
1989,Income tax,46546.0
1990,Income tax,57614.0
1991,Income tax,58951.0
1992,Income tax,61021.0
1993,Income tax,60987.0
1994,Income tax,65717.0
1995,Income tax,71121.0
1996,Income tax,71206.0
1997,Income tax,72525.0
1998,Income tax,85903.0
1999,Income tax,93079.0
2000,Income tax,101925.0
2001,Income tax,107661.0
2002,Income tax,108525.0
2003,Income tax,110203.0
2004,Income tax,117369.0
2005,Income tax,127803.0
2006,Income tax,136611.0
2007,Income tax,147309.0
2008,Income tax,149228.0
2009,Income tax,138023.0
2010,Income tax,144502.0
2011,Income tax,149353.0
2012,Income tax,146474.0
2013,Income tax,152668.0
2014,Income tax,156187.0
2015,Income tax,163291.455
2016,Income tax,169076.438
2017,Income tax,177402.521
2018,Income tax,184957.349
2019,Income tax,191303.446
2020,Income tax,186966.269
2021,Income tax,218020.502
1965,Employee National Insurance,770.0
1966,Employee National Insurance,808.0
1967,Employee National Insurance,854.0
1968,Employee National Insurance,953.0
1969,Employee National Insurance,992.0
1970,Employee National Insurance,1171.0
1971,Employee National Insurance,1237.0
1972,Employee National Insurance,1468.0
1973,Employee National Insurance,1693.0
1974,Employee National Insurance,1991.0
1975,Employee National Insurance,2562.0
1976,Employee National Insurance,3114.0
1977,Employee National Insurance,3520.0
1978,Employee National Insurance,3690.0
1979,Employee National Insurance,4284.0
1980,Employee National Insurance,5228.0
1981,Employee National Insurance,6552.0
1982,Employee National Insurance,8016.0
1983,Employee National Insurance,9413.0
1984,Employee National Insurance,10200.0
1985,Employee National Insurance,11220.0
1986,Employee National Insurance,12625.0
1987,Employee National Insurance,12513.0
1988,Employee National Insurance,13564.0
1989,Employee National Insurance,14140.0
1990,Employee National Insurance,13296.0
1991,Employee National Insurance,13828.0
1992,Employee National Insurance,14104.0
1993,Employee National Insurance,14748.0
1994,Employee National Insurance,17357.0
1995,Employee National Insurance,18646.0
1996,Employee National Insurance,19149.0
1997,Employee National Insurance,21558.0
1998,Employee National Insurance,22528.0
1999,Employee National Insurance,23573.0
2000,Employee National Insurance,24175.0
2001,Employee National Insurance,25236.0
2002,Employee National Insurance,25357.0
2003,Employee National Insurance,29055.0
2004,Employee National Insurance,32805.0
2005,Employee National Insurance,35159.0
2006,Employee National Insurance,37052.0
2007,Employee National Insurance,36585.0
2008,Employee National Insurance,38186.0
2009,Employee National Insurance,37184.0
2010,Employee National Insurance,38703.0
2011,Employee National Insurance,40626.0
2012,Employee National Insurance,41159.0
2013,Employee National Insurance,41481.0
2014,Employee National Insurance,42556.0
2015,Employee National Insurance,44488.0
2016,Employee National Insurance,47295.0
2017,Employee National Insurance,50397.0
2018,Employee National Insurance,52203.0
2019,Employee National Insurance,56222.0
2020,Employee National Insurance,56847.0
2021,Employee National Insurance,61073.0
1965,Self employed National Insurance,75.0
1966,Self employed National Insurance,79.0
1967,Self employed National Insurance,82.0
1968,Self employed National Insurance,94.0
1969,Self employed National Insurance,99.0
1970,Self employed National Insurance,114.0
1971,Self employed National Insurance,120.0
1972,Self employed National Insurance,144.0
1973,Self employed National Insurance,169.0
1974,Self employed National Insurance,193.0
1975,Self employed National Insurance,195.0
1976,Self employed National Insurance,228.0
1977,Self employed National Insurance,277.0
1978,Self employed National Insurance,319.0
1979,Self employed National Insurance,264.0
1980,Self employed National Insurance,317.0
1981,Self employed National Insurance,355.0
1982,Self employed National Insurance,482.0
1983,Self employed National Insurance,552.0
1984,Self employed National Insurance,600.0
1985,Self employed National Insurance,745.0
1986,Self employed National Insurance,725.0
1987,Self employed National Insurance,755.0
1988,Self employed National Insurance,942.0
1989,Self employed National Insurance,1048.0
1990,Self employed National Insurance,1177.0
1991,Self employed National Insurance,1206.0
1992,Self employed National Insurance,1281.0
1993,Self employed National Insurance,1472.0
1994,Self employed National Insurance,1469.0
1995,Self employed National Insurance,1541.0
1996,Self employed National Insurance,1771.0
1997,Self employed National Insurance,1848.0
1998,Self employed National Insurance,1729.0
1999,Self employed National Insurance,1883.0
2000,Self employed National Insurance,2049.0
2001,Self employed National Insurance,2183.0
2002,Self employed National Insurance,2318.0
2003,Self employed National Insurance,2595.0
2004,Self employed National Insurance,2727.0
2005,Self employed National Insurance,2825.0
2006,Self employed National Insurance,2930.0
2007,Self employed National Insurance,2860.0
2008,Self employed National Insurance,3053.0
2009,Self employed National Insurance,2850.0
2010,Self employed National Insurance,2756.0
2011,Self employed National Insurance,2641.0
2012,Self employed National Insurance,2560.0
2013,Self employed National Insurance,2585.0
2014,Self employed National Insurance,2672.0
2015,Self employed National Insurance,3194.0
2016,Self employed National Insurance,3295.0
2017,Self employed National Insurance,3580.0
2018,Self employed National Insurance,3848.0
2019,Self employed National Insurance,4356.0
2020,Self employed National Insurance,4101.0
2021,Self employed National Insurance,4105.0
1965,Employers NI,831.0
1966,Employers NI,906.0
1967,Employers NI,976.0
1968,Employers NI,1101.0
1969,Employers NI,1136.0
1970,Employers NI,1354.0
1971,Employers NI,1453.0
1972,Employers NI,1708.0
1973,Employers NI,2054.0
1974,Employers NI,2791.0
1975,Employers NI,4068.0
1976,Employers NI,5066.0
1977,Employers NI,5694.0
1978,Employers NI,6069.0
1979,Employers NI,6889.0
1980,Employers NI,8210.0
1981,Employers NI,8814.0
1982,Employers NI,9344.0
1983,Employers NI,10536.0
1984,Employers NI,11269.0
1985,Employers NI,12245.0
1986,Employers NI,13540.0
1987,Employers NI,14395.0
1988,Employers NI,16176.0
1989,Employers NI,18145.0
1990,Employers NI,19984.0
1991,Employers NI,21159.0
1992,Employers NI,21621.0
1993,Employers NI,23038.0
1994,Employers NI,23240.0
1995,Employers NI,24210.0
1996,Employers NI,25579.0
1997,Employers NI,27200.0
1998,Employers NI,28731.0
1999,Employers NI,31286.0
2000,Employers NI,34028.0
2001,Employers NI,35706.0
2002,Employers NI,35735.0
2003,Employers NI,39890.0
2004,Employers NI,43692.0
2005,Employers NI,46475.0
2006,Employers NI,49568.0
2007,Employers NI,53765.0
2008,Employers NI,57080.0
2009,Employers NI,54411.0
2010,Employers NI,55887.0
2011,Employers NI,58174.0
2012,Employers NI,60600.0
2013,Employers NI,62019.0
2014,Employers NI,63892.0
2015,Employers NI,66491.0
2016,Employers NI,71373.0
2017,Employers NI,76472.0
2018,Employers NI,79327.0
2019,Employers NI,82728.0
2020,Employers NI,84042.0
2021,Employers NI,89367.0
1965,Capital gains,3.0
1966,Capital gains,7.0
1967,Capital gains,22.0
1968,Capital gains,51.0
1969,Capital gains,156.0
1970,Capital gains,264.0
1971,Capital gains,245.0
1972,Capital gains,276.0
1973,Capital gains,377.0
1974,Capital gains,496.0
1975,Capital gains,488.0
1976,Capital gains,420.0
1977,Capital gains,403.0
1978,Capital gains,416.0
1979,Capital gains,529.0
1980,Capital gains,492.0
1981,Capital gains,487.0
1982,Capital gains,592.0
1983,Capital gains,643.0
1984,Capital gains,694.0
1985,Capital gains,855.0
1986,Capital gains,971.0
1987,Capital gains,1230.0
1988,Capital gains,2172.0
1989,Capital gains,2002.0
1990,Capital gains,1892.0
1991,Capital gains,1359.0
1992,Capital gains,1073.0
1993,Capital gains,785.0
1994,Capital gains,821.0
1995,Capital gains,852.0
1996,Capital gains,972.0
1997,Capital gains,482.0
1998,Capital gains,1460.0
1999,Capital gains,1971.0
2000,Capital gains,2211.0
2001,Capital gains,3400.0
2002,Capital gains,2820.0
2003,Capital gains,1526.0
2004,Capital gains,2296.0
2005,Capital gains,2332.0
2006,Capital gains,2874.0
2007,Capital gains,3848.0
2008,Capital gains,5288.0
2009,Capital gains,7815.0
2010,Capital gains,2517.0
2011,Capital gains,3600.0
2012,Capital gains,4334.0
2013,Capital gains,3902.0
2014,Capital gains,3914.0
2015,Capital gains,5582.0
2016,Capital gains,7060.0
2017,Capital gains,8560.0
2018,Capital gains,7797.0
2019,Capital gains,9187.0
2020,Capital gains,10253.0
2021,Capital gains,12109.0
1965,Corporation tax,484.0
1966,Corporation tax,141.0
1967,Corporation tax,1171.0
1968,Corporation tax,1287.0
1969,Corporation tax,1358.0
1970,Corporation tax,1658.0
1971,Corporation tax,1527.0
1972,Corporation tax,1429.0
1973,Corporation tax,1939.0
1974,Corporation tax,2847.0
1975,Corporation tax,2310.0
1976,Corporation tax,2168.0
1977,Corporation tax,3037.0
1978,Corporation tax,3839.0
1979,Corporation tax,4884.0
1980,Corporation tax,6783.0
1981,Corporation tax,8471.0
1982,Corporation tax,10492.0
1983,Corporation tax,12069.0
1984,Corporation tax,13997.0
1985,Corporation tax,16854.0
1986,Corporation tax,15345.0
1987,Corporation tax,16264.0
1988,Corporation tax,18808.0
1989,Corporation tax,23433.0
1990,Corporation tax,20070.0
1991,Corporation tax,16736.0
1992,Corporation tax,12976.0
1993,Corporation tax,12578.0
1994,Corporation tax,15398.0
1995,Corporation tax,20174.0
1996,Corporation tax,24726.0
1997,Corporation tax,32001.0
1998,Corporation tax,34020.0
1999,Corporation tax,32743.0
2000,Corporation tax,38061.0
2001,Corporation tax,34255.0
2002,Corporation tax,31274.0
2003,Corporation tax,31467.353
2004,Corporation tax,38076.248
2005,Corporation tax,47013.72
2006,Corporation tax,50269.379
2007,Corporation tax,50158.692
2008,Corporation tax,45856.295
2009,Corporation tax,38822.952
2010,Corporation tax,45751.504
2011,Corporation tax,45216.0
2012,Corporation tax,43222.0
2013,Corporation tax,43199.0
2014,Corporation tax,45026.0
2015,Corporation tax,43824.0
2016,Corporation tax,54611.0
2017,Corporation tax,54561.0
2018,Corporation tax,54691.0
2019,Corporation tax,51253.0
2020,Corporation tax,50077.0
2021,Corporation tax,61360.0
1965,Property taxes,1591.0
1966,Property taxes,1742.0
1967,Property taxes,1875.0
1968,Property taxes,2074.0
1969,Property taxes,2265.0
1970,Property taxes,2378.0
1971,Property taxes,2679.0
1972,Property taxes,3162.0
1973,Property taxes,3166.0
1974,Property taxes,3686.0
1975,Property taxes,4746.0
1976,Property taxes,5363.0
1977,Property taxes,6057.0
1978,Property taxes,6641.0
1979,Property taxes,7902.0
1980,Property taxes,9774.0
1981,Property taxes,12386.0
1982,Property taxes,13850.0
1983,Property taxes,13981.0
1984,Property taxes,14603.0
1985,Property taxes,16007.0
1986,Property taxes,18101.0
1987,Property taxes,20393.0
1988,Property taxes,22356.0
1989,Property taxes,23676.0
1990,Property taxes,16538.0
1991,Property taxes,15374.0
1992,Property taxes,15284.0
1993,Property taxes,21194.0
1994,Property taxes,23808.0
1995,Property taxes,25033.0
1996,Property taxes,27218.0
1997,Property taxes,29641.0
1998,Property taxes,32543.0
1999,Property taxes,35988.0
2000,Property taxes,41134.0
2001,Property taxes,42247.0
2002,Property taxes,44644.0
2003,Property taxes,46555.0
2004,Property taxes,50393.0
2005,Property taxes,53838.0
2006,Property taxes,59656.0
2007,Property taxes,63392.0
2008,Property taxes,60086.0
2009,Property taxes,58413.0
2010,Property taxes,61768.0
2011,Property taxes,63405.0
2012,Property taxes,65320.0
2013,Property taxes,70889.0
2014,Property taxes,74593.0
2015,Property taxes,76427.0
2016,Property taxes,81212.0
2017,Property taxes,85545.0
2018,Property taxes,88654.0
2019,Property taxes,90329.0
2020,Property taxes,80134.0
2021,Property taxes,88393.0
1965,Inheritance tax,287.0
1966,Inheritance tax,308.0
1967,Inheritance tax,317.0
1968,Inheritance tax,380.0
1969,Inheritance tax,450.0
1970,Inheritance tax,383.0
1971,Inheritance tax,404.0
1972,Inheritance tax,483.0
1973,Inheritance tax,419.0
1974,Inheritance tax,380.0
1975,Inheritance tax,307.0
1976,Inheritance tax,390.0
1977,Inheritance tax,393.0
1978,Inheritance tax,372.0
1979,Inheritance tax,418.0
1980,Inheritance tax,479.0
1981,Inheritance tax,1010.0
1982,Inheritance tax,701.0
1983,Inheritance tax,690.0
1984,Inheritance tax,750.0
1985,Inheritance tax,923.0
1986,Inheritance tax,1025.0
1987,Inheritance tax,1089.0
1988,Inheritance tax,1107.0
1989,Inheritance tax,1182.0
1990,Inheritance tax,1321.0
1991,Inheritance tax,1263.0
1992,Inheritance tax,1227.0
1993,Inheritance tax,1279.0
1994,Inheritance tax,1438.0
1995,Inheritance tax,1441.0
1996,Inheritance tax,1621.0
1997,Inheritance tax,1601.0
1998,Inheritance tax,1795.0
1999,Inheritance tax,1951.0
2000,Inheritance tax,2215.0
2001,Inheritance tax,2396.0
2002,Inheritance tax,2381.0
2003,Inheritance tax,2416.0
2004,Inheritance tax,2871.0
2005,Inheritance tax,3150.0
2006,Inheritance tax,3575.0
2007,Inheritance tax,3867.0
2008,Inheritance tax,3257.0
2009,Inheritance tax,2401.0
2010,Inheritance tax,2642.0
2011,Inheritance tax,2936.0
2012,Inheritance tax,3129.0
2013,Inheritance tax,4255.0
2014,Inheritance tax,3886.0
2015,Inheritance tax,4470.0
2016,Inheritance tax,4804.0
2017,Inheritance tax,5381.0
2018,Inheritance tax,5352.0
2019,Inheritance tax,5164.0
2020,Inheritance tax,5252.0
2021,Inheritance tax,6026.0
1965,VAT,0.0
1966,VAT,0.0
1967,VAT,0.0
1968,VAT,0.0
1969,VAT,0.0
1970,VAT,0.0
1971,VAT,0.0
1972,VAT,0.0
1973,VAT,1533.0
1974,VAT,2406.0
1975,VAT,3326.0
1976,VAT,3715.0
1977,VAT,4308.0
1978,VAT,5214.0
1979,VAT,7952.0
1980,VAT,11897.0
1981,VAT,13056.0
1982,VAT,14308.0
1983,VAT,16216.0
1984,VAT,18437.0
1985,VAT,21228.0
1986,VAT,22715.0
1987,VAT,25021.0
1988,VAT,28861.0
1989,VAT,31737.0
1990,VAT,34136.0
1991,VAT,37523.0
1992,VAT,41031.0
1993,VAT,41762.0
1994,VAT,44690.0
1995,VAT,47539.0
1996,VAT,51692.0
1997,VAT,54475.0
1998,VAT,57539.0
1999,VAT,62073.0
2000,VAT,65018.0
2001,VAT,67859.0
2002,VAT,72136.0
2003,VAT,78356.0
2004,VAT,82691.0
2005,VAT,84649.0
2006,VAT,89016.0
2007,VAT,93374.0
2008,VAT,93434.0
2009,VAT,81122.0
2010,VAT,97646.0
2011,VAT,113485.0
2012,VAT,116462.0
2013,VAT,121460.0
2014,VAT,127647.0
2015,VAT,132906.0
2016,VAT,137214.0
2017,VAT,143382.0
2018,VAT,149304.0
2019,VAT,154996.0
2020,VAT,139461.0
2021,VAT,157118.0
1965,Excise duty,2383.0
1966,Excise duty,2549.0
1967,Excise duty,2694.0
1968,Excise duty,2946.0
1969,Excise duty,3298.0
1970,Excise duty,3424.0
1971,Excise duty,3484.0
1972,Excise duty,3746.0
1973,Excise duty,3797.0
1974,Excise duty,4038.0
1975,Excise duty,4725.0
1976,Excise duty,5810.0
1977,Excise duty,6847.0
1978,Excise duty,7173.0
1979,Excise duty,8080.0
1980,Excise duty,8616.0
1981,Excise duty,10607.0
1982,Excise duty,11903.0
1983,Excise duty,12812.0
1984,Excise duty,13893.0
1985,Excise duty,14939.0
1986,Excise duty,16004.0
1987,Excise duty,16728.0
1988,Excise duty,18066.0
1989,Excise duty,18421.0
1990,Excise duty,19707.0
1991,Excise duty,21474.0
1992,Excise duty,22295.0
1993,Excise duty,24020.0
1994,Excise duty,26217.0
1995,Excise duty,28167.0
1996,Excise duty,30174.0
1997,Excise duty,31957.0
1998,Excise duty,34529.0
1999,Excise duty,36517.0
2000,Excise duty,37315.0
2001,Excise duty,36628.0
2002,Excise duty,37469.0
2003,Excise duty,38065.0
2004,Excise duty,39441.0
2005,Excise duty,39287.0
2006,Excise duty,39440.0
2007,Excise duty,40427.0
2008,Excise duty,41719.0
2009,Excise duty,43877.0
2010,Excise duty,45454.0
2011,Excise duty,46164.0
2012,Excise duty,46813.0
2013,Excise duty,46588.0
2014,Excise duty,47124.0
2015,Excise duty,47294.0
2016,Excise duty,47951.0
2017,Excise duty,48697.0
2018,Excise duty,49125.0
2019,Excise duty,49285.0
2020,Excise duty,44880.0
2021,Excise duty,48301.0
1965,Yearly GDP,676536.0
1966,Yearly GDP,687017.0
1967,Yearly GDP,705998.0
1968,Yearly GDP,744483.0
1969,Yearly GDP,758753.0
1970,Yearly GDP,779191.0
1971,Yearly GDP,807283.0
1972,Yearly GDP,841952.0
1973,Yearly GDP,896657.0
1974,Yearly GDP,874193.0
1975,Yearly GDP,861030.0
1976,Yearly GDP,886970.0
1977,Yearly GDP,908576.0
1978,Yearly GDP,946515.0
1979,Yearly GDP,981743.0
1980,Yearly GDP,961530.0
1981,Yearly GDP,954866.0
1982,Yearly GDP,973684.0
1983,Yearly GDP,1014561.0
1984,Yearly GDP,1037295.0
1985,Yearly GDP,1080084.0
1986,Yearly GDP,1114157.0
1987,Yearly GDP,1174273.0
1988,Yearly GDP,1240052.0
1989,Yearly GDP,1270365.0
1990,Yearly GDP,1278416.0
1991,Yearly GDP,1263249.0
1992,Yearly GDP,1267206.0
1993,Yearly GDP,1297628.0
1994,Yearly GDP,1346524.0
1995,Yearly GDP,1381233.0
1996,Yearly GDP,1407583.0
1997,Yearly GDP,1471263.0
1998,Yearly GDP,1517715.0
1999,Yearly GDP,1563460.0
2000,Yearly GDP,1627447.0
2001,Yearly GDP,1662558.0
2002,Yearly GDP,1691998.0
2003,Yearly GDP,1744840.0
2004,Yearly GDP,1785756.0
2005,Yearly GDP,1833406.0
2006,Yearly GDP,1873015.0
2007,Yearly GDP,1921029.0
2008,Yearly GDP,1918064.0
2009,Yearly GDP,1831550.0
2010,Yearly GDP,1876058.0
2011,Yearly GDP,1896087.0
2012,Yearly GDP,1923551.0
2013,Yearly GDP,1958557.0
2014,Yearly GDP,2021225.0
2015,Yearly GDP,2069595.0
2016,Yearly GDP,2114406.0
2017,Yearly GDP,2166073.0
2018,Yearly GDP,2203005.0
2019,Yearly GDP,2238348.0
2020,Yearly GDP,1991439.0
2021,Yearly GDP,2141293.0
1965,Adjusted Total tax revenue,181607.0620774265
1966,Adjusted Total tax revenue,190757.72415739094
1967,Adjusted Total tax revenue,207550.95217187723
1968,Adjusted Total tax revenue,222879.25889543077
1969,Adjusted Total tax revenue,238993.88825409577
1970,Adjusted Total tax revenue,253154.96572634878
1971,Adjusted Total tax revenue,244496.86462716595
1972,Adjusted Total tax revenue,243151.60577867075
1973,Adjusted Total tax revenue,241849.16239033575
1974,Adjusted Total tax revenue,258244.85478490047
1975,Adjusted Total tax revenue,268649.77278497093
1976,Adjusted Total tax revenue,271285.2228722962
1977,Adjusted Total tax revenue,268475.66386487446
1978,Adjusted Total tax revenue,272554.9751812617
1979,Adjusted Total tax revenue,276078.4379616371
1980,Adjusted Total tax revenue,298500.12637157517
1981,Adjusted Total tax revenue,305358.27195461286
1982,Adjusted Total tax revenue,327655.41795413167
1983,Adjusted Total tax revenue,328009.80194931425
1984,Adjusted Total tax revenue,336626.1430707361
1985,Adjusted Total tax revenue,347538.337924979
1986,Adjusted Total tax revenue,366241.47495512536
1987,Adjusted Total tax revenue,373782.78059886704
1988,Adjusted Total tax revenue,400985.1172260465
1989,Adjusted Total tax revenue,409598.3830775289
1990,Adjusted Total tax revenue,410219.90369240637
1991,Adjusted Total tax revenue,387280.35118940397
1992,Adjusted Total tax revenue,374522.7389306892
1993,Adjusted Total tax revenue,371828.7096368537
1994,Adjusted Total tax revenue,392316.828360925
1995,Adjusted Total tax revenue,418112.275384027
1996,Adjusted Total tax revenue,431252.0360424579
1997,Adjusted Total tax revenue,453537.730811699
1998,Adjusted Total tax revenue,488908.5570653558
1999,Adjusted Total tax revenue,511900.3918487911
2000,Adjusted Total tax revenue,546845.3751246226
2001,Adjusted Total tax revenue,552759.7742847387
2002,Adjusted Total tax revenue,552568.0640351879
2003,Adjusted Total tax revenue,571258.7022779342
2004,Adjusted Total tax revenue,609849.6248084113
2005,Adjusted Total tax revenue,639510.6650153473
2006,Adjusted Total tax revenue,663394.8476403896
2007,Adjusted Total tax revenue,682382.5482974077
2008,Adjusted Total tax revenue,662929.7002046452
2009,Adjusted Total tax revenue,610945.0994227754
2010,Adjusted Total tax revenue,638163.8569083553
2011,Adjusted Total tax revenue,651268.1030422719
2012,Adjusted Total tax revenue,639950.3842841
2013,Adjusted Total tax revenue,648088.6366654856
2014,Adjusted Total tax revenue,661232.8951848695
2015,Adjusted Total tax revenue,682395.2261381262
2016,Adjusted Total tax revenue,717349.1120912518
2017,Adjusted Total tax revenue,734303.375728687
2018,Adjusted Total tax revenue,742406.4433603967
2019,Adjusted Total tax revenue,752412.7419199081
2020,Adjusted Total tax revenue,707849.6157787999
2021,Adjusted Total tax revenue,775645.502
1965,Adjusted Income tax,59982.59747920482
1966,Adjusted Income tax,70995.21526902395
1967,Adjusted Income tax,64119.5321461918
1968,Adjusted Income tax,68235.93763592081
1969,Adjusted Income tax,72782.06458759726
1970,Adjusted Income tax,76317.99595691604
1971,Adjusted Income tax,78718.6067349724
1972,Adjusted Income tax,75717.36927642598
1973,Adjusted Income tax,76430.72268818234
1974,Adjusted Income tax,88187.49037620009
1975,Adjusted Income tax,103940.54888994618
1976,Adjusted Income tax,103696.20579418137
1977,Adjusted Income tax,92990.64798733163
1978,Adjusted Income tax,92451.15942181295
1979,Adjusted Income tax,88324.79260513521
1980,Adjusted Income tax,85982.51394356266
1981,Adjusted Income tax,88628.85761576715
1982,Adjusted Income tax,90171.61382555935
1983,Adjusted Income tax,89777.6530581285
1984,Adjusted Income tax,88405.30625610262
1985,Adjusted Income tax,88287.59431583842
1986,Adjusted Income tax,98724.78271766216
1987,Adjusted Income tax,96617.61975428746
1988,Adjusted Income tax,100237.0126879771
1989,Adjusted Income tax,101958.2134805426
1990,Adjusted Income tax,116789.26278529363
1991,Adjusted Income tax,111203.69784790628
1992,Adjusted Income tax,110056.8833361726
1993,Adjusted Income tax,107249.96223300825
1994,Adjusted Income tax,113058.11239818677
1995,Adjusted Income tax,119138.30349558442
1996,Adjusted Income tax,115975.3925116107
1997,Adjusted Income tax,115580.90821828991
1998,Adjusted Income tax,134453.96179977033
1999,Adjusted Income tax,143180.06771148823
2000,Adjusted Income tax,154959.03377791197
2001,Adjusted Income tax,161213.05309668407
2002,Adjusted Income tax,160073.6982932721
2003,Adjusted Income tax,160336.0996548798
2004,Adjusted Income tax,168420.97561062817
2005,Adjusted Income tax,179638.9959467649
2006,Adjusted Income tax,187409.19252512997
2007,Adjusted Income tax,197368.0986682267
2008,Adjusted Income tax,193140.66892287554
2009,Adjusted Income tax,175204.4161703118
2010,Adjusted Income tax,178972.3542051358
2011,Adjusted Income tax,178105.66164406357
2012,Adjusted Income tax,170295.8092615228
2013,Adjusted Income tax,173523.48312237608
2014,Adjusted Income tax,174985.90671614042
2015,Adjusted Income tax,182271.06188035998
2016,Adjusted Income tax,186841.3444161652
2017,Adjusted Income tax,191148.84085091215
2018,Adjusted Income tax,194827.51672423084
2019,Adjusted Income tax,198065.9233383081
2020,Adjusted Income tax,191677.81897879997
2021,Adjusted Income tax,218020.502
1965,Adjusted Employee NI,12776.376226552618
1966,Adjusted Employee NI,12902.414290906736
1967,Adjusted Employee NI,13306.945432040777
1968,Adjusted Employee NI,14182.954976452025
1969,Adjusted Employee NI,14000.350605176745
1970,Adjusted Employee NI,15536.921638655891
1971,Adjusted Employee NI,14996.906904537327
1972,Adjusted Employee NI,16622.266800926176
1973,Adjusted Employee NI,17554.906187911096
1974,Adjusted Employee NI,17791.193974973594
1975,Adjusted Employee NI,18431.318262461387
1976,Adjusted Employee NI,19219.68840206421
1977,Adjusted Employee NI,18754.77458977868
1978,Adjusted Employee NI,18160.488595501185
1979,Adjusted Employee NI,18589.21206192087
1980,Adjusted Employee NI,19229.83328614586
1981,Adjusted Employee NI,21540.777323930055
1982,Adjusted Employee NI,24266.959525471153
1983,Adjusted Employee NI,27240.339368731704
1984,Adjusted Employee NI,28122.94547817636
1985,Adjusted Employee NI,29164.92884509663
1986,Adjusted Employee NI,31728.747341355927
1987,Adjusted Employee NI,30194.212686948027
1988,Adjusted Employee NI,31423.1034505806
1989,Adjusted Employee NI,30973.427117579864
1990,Adjusted Employee NI,26952.303919069393
1991,Adjusted Employee NI,26084.794725125073
1992,Adjusted Employee NI,25437.83750796248
1993,Adjusted Employee NI,25935.403332061025
1994,Adjusted Employee NI,29860.609231938888
1995,Adjusted Employee NI,31234.836503686212
1996,Adjusted Employee NI,31188.56263804782
1997,Adjusted Employee NI,34356.33532395579
1998,Adjusted Employee NI,35260.454831906056
1999,Adjusted Employee NI,36261.49546259534
2000,Adjusted Employee NI,36753.83509032153
2001,Adjusted Employee NI,37788.73136927875
2002,Adjusted Employee NI,37401.41688663903
2003,Adjusted Employee NI,42272.58219352044
2004,Adjusted Employee NI,47074.185729678684
2005,Adjusted Employee NI,49419.24257249287
2006,Adjusted Employee NI,50829.62134411662
2007,Adjusted Employee NI,49017.452360528376
2008,Adjusted Employee NI,49422.82670469969
2009,Adjusted Employee NI,47200.836171340095
2010,Adjusted Employee NI,47935.4405115595
2011,Adjusted Employee NI,48447.10591653149
2012,Adjusted Employee NI,47852.896851284306
2013,Adjusted Employee NI,47147.585632871866
2014,Adjusted Employee NI,47678.105387849646
2015,Adjusted Employee NI,49658.90591723526
2016,Adjusted Employee NI,52264.29825877059
2017,Adjusted Employee NI,54302.09265382096
2018,Adjusted Employee NI,54988.79017537726
2019,Adjusted Employee NI,58209.418464559996
2020,Adjusted Employee NI,58279.5444
2021,Adjusted Employee NI,61073.0
1965,Adjusted Self employed NI,1244.4522298590211
