Unnamed: 0,Airline,Category,Year,Passengers
200,Aegean Airlines,FSC,2013,8.8
201,Aegean Airlines,FSC,2012,8.9
202,Aegean Airlines,FSC,2011,9.9
203,Aegean Airlines,FSC,2010,10.1
204,Aegean Airlines,FSC,2009,10.2
205,Aegean Airlines,FSC,2008,11.3
206,Aegean Airlines,FSC,2007,11.1
207,Aegean Airlines,FSC,2006,10.1
208,UTair Aviation,Hybrid,2021,7.12
209,UTair Aviation,Hybrid,2020,4.9
210,UTair Aviation,Hybrid,2019,8.09
211,UTair Aviation,Hybrid,2018,7.65
212,UTair Aviation,Hybrid,2017,7.3
213,UTair Aviation,Hybrid,2016,6.65
214,UTair Aviation,Hybrid,2015,8.8
215,UTair Aviation,Hybrid,2014,11.2
216,UTair Aviation,Hybrid,2013,10.4
217,UTair Aviation,Hybrid,2012,7.8
218,UTair Aviation,Hybrid,2011,5.8
219,UTair Aviation,Hybrid,2010,5.2
220,UTair Aviation,Hybrid,2009,3.9
221,UTair Aviation,Hybrid,2008,3.2
222,UTair Aviation,Hybrid,2007,2.9
223,UTair Aviation,Hybrid,2006,2.4
224,Norwegian Air Shuttle ASA,LCC,2021,6.19
225,Norwegian Air Shuttle ASA,LCC,2020,6.87
226,Norwegian Air Shuttle ASA,LCC,2019,36.2
227,Norwegian Air Shuttle ASA,LCC,2018,37.34
228,Norwegian Air Shuttle ASA,LCC,2017,33.15
229,Norwegian Air Shuttle ASA,LCC,2016,29.3
230,Norwegian Air Shuttle ASA,LCC,2015,25.8
231,Norwegian Air Shuttle ASA,LCC,2014,24.0
232,Norwegian Air Shuttle ASA,LCC,2013,20.7
233,Norwegian Air Shuttle ASA,LCC,2012,17.7
234,Norwegian Air Shuttle ASA,LCC,2011,15.7
235,Norwegian Air Shuttle ASA,LCC,2010,13.0
236,Norwegian Air Shuttle ASA,LCC,2009,10.8
237,Norwegian Air Shuttle ASA,LCC,2008,9.1
238,Norwegian Air Shuttle ASA,LCC,2007,6.9
239,Norwegian Air Shuttle ASA,LCC,2006,5.1
240,TAP Air Portugal,FSC,2021,5.83
241,TAP Air Portugal,FSC,2020,4.66
242,TAP Air Portugal,FSC,2019,17.05
243,TAP Air Portugal,FSC,2018,15.89
244,TAP Air Portugal,FSC,2017,14.27
245,TAP Air Portugal,FSC,2016,11.72
246,TAP Air Portugal,FSC,2015,11.3
247,TAP Air Portugal,FSC,2014,11.4
248,TAP Air Portugal,FSC,2013,10.7
249,TAP Air Portugal,FSC,2012,10.2
250,TAP Air Portugal,FSC,2011,9.8
251,TAP Air Portugal,FSC,2010,9.1
252,TAP Air Portugal,FSC,2009,8.4
253,TAP Air Portugal,FSC,2008,8.7
254,TAP Air Portugal,FSC,2007,7.9
255,TAP Air Portugal,FSC,2006,6.9
256,Volotea,LCC,2020,3.8
257,Volotea,LCC,2019,7.6
258,Volotea,LCC,2018,6.57
259,Volotea,LCC,2017,4.82
260,Volotea,LCC,2016,4.3
261,Volotea,LCC,2013,1.8
262,Volotea,LCC,2012,1.4
263,Volotea,LCC,2011,0.0
264,Volotea,LCC,2010,0.0
265,Volotea,LCC,2009,0.0
266,Volotea,LCC,2008,0.0
267,Volotea,LCC,2007,0.0
268,Volotea,LCC,2006,0.0
269,LOT Polish Airlines,FSC,2021,4.2
270,LOT Polish Airlines,FSC,2020,3.59
271,LOT Polish Airlines,FSC,2019,11.79
272,LOT Polish Airlines,FSC,2018,10.61
273,LOT Polish Airlines,FSC,2017,6.89
274,LOT Polish Airlines,FSC,2016,5.58
275,LOT Polish Airlines,FSC,2015,6.1
276,LOT Polish Airlines,FSC,2014,5.9
277,LOT Polish Airlines,FSC,2013,6.3
278,LOT Polish Airlines,FSC,2012,5.8
279,LOT Polish Airlines,FSC,2011,5.5
280,LOT Polish Airlines,FSC,2010,5.0
281,LOT Polish Airlines,FSC,2009,4.0
282,LOT Polish Airlines,FSC,2008,4.3
283,LOT Polish Airlines,FSC,2007,3.7
284,LOT Polish Airlines,FSC,2006,0.0
285,Air Europa,LCC,2020,3.13
286,Air Europa,LCC,2019,11.84
287,Air Europa,LCC,2018,10.6
288,Air Europa,LCC,2017,10.6
289,Air Europa,LCC,2016,10.2
290,Air Europa,LCC,2015,8.1
291,Air Europa,LCC,2014,9.0
292,Air Europa,LCC,2013,8.1
293,Air Europa,LCC,2012,8.7
294,Air Europa,LCC,2011,8.9
295,Air Europa,LCC,2010,9.0
296,Air Europa,LCC,2009,9.7
297,Air Europa,LCC,2008,9.9
298,Air Europa,LCC,2007,8.1
299,Air Europa,LCC,2006,59.0
300,Nordwind Airlines,LCC,2021,5.93
301,Nordwind Airlines,LCC,2020,2.94
302,Nordwind Airlines,LCC,2019,5.54
303,Nordwind Airlines,LCC,2018,4.92
304,Nordwind Airlines,LCC,2017,3.55
305,Nordwind Airlines,LCC,2016,1.79
306,Nordwind Airlines,LCC,2015,2.67
307,Nordwind Airlines,LCC,2014,4.47
308,Nordwind Airlines,LCC,2013,3.66
309,Nordwind Airlines,LCC,2012,2.17
310,Nordwind Airlines,LCC,2011,1.72
311,Nordwind Airlines,LCC,2010,1.19
312,Nordwind Airlines,LCC,2009,0.0
313,Nordwind Airlines,LCC,2008,0.0
314,Nordwind Airlines,LCC,2007,0.0
315,Nordwind Airlines,LCC,2006,0.0
