year,hh,nfc,gov,nGDP,hh_bn,bfc_bn,gov_bn,Notes
2004,0.895,1.147,0.455,"12,217.2",10939.60998,12550.7662,5707.60652,
2005,0.929,1.177,0.456,"13,039.2",12115.56005,14264.61083,6506.489263,
2006,0.971,1.2,0.448,"13,815.6",13420.80003,16098.43752,7216.521124,
2007,0.991,1.261,0.452,"14,474.3",14350.59996,18094.98576,8173.219168,
2008,0.963,1.286,0.534,"14,769.9",14218.64998,18288.00059,9766.942813,
2009,0.971,1.285,0.65,"14,478.1",14056.65998,18060.48451,11734.0028,
2010,0.921,1.254,0.736,"15,049.0",13865.11006,17379.98895,12799.88825,
2011,0.88,1.249,0.785,"15,599.7",13734.59006,17150.05572,13467.62422,
2012,0.841,1.263,0.828,"16,254.0",13666.89005,17266.41268,14295.0668,
2013,0.825,1.271,0.851,"16,843.2",13899.12005,17670.50729,15044.22638,
2014,0.799,1.308,0.859,"17,550.7",14017.58003,18333.5747,15752.56892,
2015,0.779,1.347,0.869,"18,206.0",14190.06991,19114.62867,16612.59584,
2016,0.781,1.402,0.894,"18,695.1",14600.35992,20468.03725,18289.55895,
2017,0.777,1.392,0.89,"19,479.6",15145.25007,21082.59096,18759.26203,
2018,0.76,1.401,0.91,"20,527.2",15600.49996,21856.73881,19887.23923,
2019,0.753,1.475,0.931,"21,372.6",16090.6,23736.15801,22100.73126,
2020,0.8,1.535,1.194,"20,893.8",16705.58005,25644.84787,30611.0419,
2021,0.78,1.448,1.153,"22,996.1",17942.92001,25982.01206,29952.3571,
