Player,G-xG
Emmanuel Dennis,0.09
Gerard Deulofeu,0.14
Giovanni Di Lorenzo,-0.01
Moussa Diaby,0.17
Raphael Dias Belloli,-0.03
Rúben Dias,-0.01
Virgil van Dijk,0.02
Axel Disasi,-0.03
Tiago Djaló,0.0
Alexander Djiku,-0.04
Berat Djimsiti,-0.03
Niklas Dorsch,0.03
Gabriel Dos Santos,0.07
Abdoulaye Doucouré,-0.03
Cheick Doucouré,-0.02
Lewis Dunk,-0.01
Jean-Kevin Duverne,0.0
Edin Džeko,-0.01
Nico Elvedi,-0.02
Emerson,-0.02
Wataru Endo,-0.05
Martin Erlic,0.0
Alfonso Espino,0.01
Fabinho,0.05
Wout Faes,0.05
Davide Faraoni,0.04
Nabil Fekir,0.03
Bruno Fernandes,0.05
Fidel,0.07
Seko Fofana,0.01
Pablo Fornals,0.03
Przemysław Frankowski,0.11
Davide Frattesi,-0.08
Remo Freuler,-0.02
Angelo Fulgini,-0.03
Conor Gallagher,0.07
Kévin Gameiro,-0.06
Álvaro García,0.02
David García,0.08
Francisco Garcia,0.01
Rubén García,-0.02
Gerson,0.13
Matthias Ginter,-0.04
Andrei Girotto,0.09
Sergi Gómez,0.0
Nicolás González,-0.12
Anthony Gordon,0.03
Amine Gouiri,-0.05
Jeffrey Gouweleeuw,-0.01
Demarai Gray,0.02
Sebastian Griesbeck,0.01
Vincenzo Grifo,-0.02
Gonçalo Guedes,0.18
Marc Guéhi,0.01
Mattéo Guendouzi,0.01
Hugo Guillamón,0.03
Christian Günter,0.04
Joško Gvardiol,-0.02
Emmanuel Gyasi,0.0
Achraf Hakimi,0.07
Grant Hanley,-0.03
Jack Harrison,0.13
Jordan Henderson,0.02
Rico Henry,0.04
Theo Hernández,0.03
Son Heung-min,0.2
Aaron Hickey,0.12
Nicolas Höfler,0.0
Lucas Höler,-0.05
Franck Honorat,0.19
Branimir Hrgota,-0.05
Pierre Højbjerg,0.0
Roger Ibanez,0.03
Ivan Ilić,-0.04
Ciro Immobile,0.15
Lorenzo Insigne,-0.12
Hiroki Ito,0.02
Daniel James,-0.07
Vitaly Janelt,0.06
Pontus Jansson,0.0
Luis Javier Suárez,-0.07
Raúl Jiménez,-0.04
Joelinton,-0.01
Frenkie de Jong,-0.05
Joselu,0.03
Diogo Jota,-0.04
Vinicius Júnior,0.13
Florian Kainz,0.02
Boubacar Kamara,-0.01
Harry Kane,-0.12
Michael Keane,0.06
Franck Kessié,0.08
Luca Kilian,0.0
Max Kilman,0.0
Joshua Kimmich,0.03
Presnel Kimpembe,0.0
Koke,0.0
Randal Kolo Muani,0.07
Timothée Kolodziejczak,0.0
Ghislain Konan,0.02
Ezri Konsa,0.02
Filip Kostić,0.04
Rominigue Kouamé,-0.05
Kalidou Koulibaly,0.04
Jules Koundé,0.03
Boubakar Kouyaté,-0.03
Andrej Kramarić,-0.18
Lukas Kübler,0.03
Gaëtan Laborde,-0.12
Víctor Laguardia,0.03
Aymeric Laporte,-0.01
Julien Laporte,0.02
Armand Lauriente,-0.06
Darko Lazović,-0.09
Vincent Le Goff,-0.01
Robin Le Normand,0.0
Rafael Leão,0.06
Pierre Lees-Melou,-0.02
Robert Lewandowski,0.04
Philipp Lienhart,0.08
Matthijs de Ligt,0.05
Diego Llorente,0.07
Maxime Lopez,0.02
Anthony Losilla,0.01
José Luis Morales,-0.02
José Luis Palomino,-0.03
Douglas Luiz,0.0
Saša Lukić,0.0
James Maddison,0.14
Pablo Maffeo,-0.02
Giulio Maggiore,-0.04
Harry Maguire,-0.02
Jean-Victor Makengo,-0.05
Nemanja Maksimović,-0.05
Sadio Mané,-0.02
Ricardo Mangas,0.03
Gian Marco Ferrari,-0.02
Marquinhos,0.05
Aarón Martín,0.0
Iñigo Martínez,0.04
Lautaro Martínez,0.1
Adam Marušić,0.02
Joël Matip,0.0
Azor Matusiwa,0.03
Neal Maupay,0.04
Stephy Mavididi,0.01
Konstantinos Mavropanos,0.04
Kylian Mbappé,0.1
Bryan Mbeumo,-0.19
John McGinn,0.05
Kenny McLean,-0.03
Scott McTominay,-0.02
Facundo Medina,-0.01
Brais Méndez,-0.01
Batista Mendy,0.02
Mikel Merino,-0.04
Marco Meyerhöfer,0.01
Nikola Milenković,-0.03
Sergej Milinković-Savić,0.11
Éder Militão,-0.05
Santi Mina,0.0
Tyrone Mings,-0.01
Stefan Mitrović,0.02
Henrikh Mkhitaryan,0.04
Anthony Modeste,0.09
Terem Moffi,-0.15
Johan Mojica,0.04
Nahuel Molina,0.1
Florent Mollet,0.04
Jon Moncayola,-0.01
Álvaro Morata,0.03
Álex Moreno,0.08
Steve Mounié,-0.13
Mason Mount,0.07
João Moutinho,0.03
Thomas Müller,-0.07
Iker Muniain,-0.04
Obite N'Dicka,0.05
Vital N'Simba,0.01
Mickael Nade,0.0
Loum Ndiaye,-0.01
Rúben Neves,0.1
Moussa Niakhate,0.0
Joakim Nilsson,0.06
Christopher Nkunku,0.17
Christian Nørgaard,0.0
Florent Ogier,0.03
Masaya Okugawa,0.12
Mathías Olivera,-0.04
Karim Onisiwo,-0.12
Willi Orban,-0.02
Reece Oxford,0.0
Salih Özcan,-0.01
Gavi Paez,-0.07
Vincent Pajot,0.0
Isaac Palazón Camacho,-0.05
Nicolas Pallois,0.02
Emerson Palmieri,0.0
Lucas Paquetá,-0.07
Daniel Parejo,0.0
Dimitri Payet,-0.01
João Pedro,0.0
Pedrosa,-0.01
Lorenzo Pellegrini,0.01
Ivan Perišić,0.08
Lucas Perrin,0.03
Andrea Pinamonti,0.0
Ethan Pinnock,-0.02
Sebastian Polter,0.06
Grischa Prömel,0.05
Antonio Puertas,0.1
Teemu Pukki,-0.04
Jacob Ramsey,0.08
Giacomo Raspadori,0.09
David Raum,0.05
Marco Reus,-0.07
Declan Rice,0.0
Richarlison,-0.03
Luis Rioja,-0.06
Andrew Robertson,0.04
Enzo Roco,0.0
Rodri,0.14
Rodrigo,0.04
Dani Rodríguez,0.01
Guido Rodríguez,0.01
Oriol Romeu,0.02
Cristiano Ronaldo,0.03
Marten de Roon,0.05
Amir Rrahmani,0.01
Antonio Rüdiger,0.01
Fabián Ruiz Peña,0.2
Allan Saint-Maximin,0.0
Romain Saïss,-0.02
Bukayo Saka,0.02
Mohamed Salah,0.04
Germán Sánchez,0.03
Manuel Sánchez,0.02
Baptiste Santamaria,0.01
Téji Savanier,0.02
Nico Schlotterbeck,0.0
Alessandro Schöpf,-0.05
Bernardo Silva,0.04
Caio Henrique Oliveira Silva,0.04
Thiago Silva,0.07
Giovanni Simeone,0.24
Moses Simon,0.08
Wilfried Singo,0.01
Ibrahima Sissoko,-0.02
Moussa Sissoko,-0.04
Milan Škriniar,0.02
Carlos Soler,0.05
Borna Sosa,0.01
Florian Sotoca,-0.11
Tomáš Souček,0.02
Arnaud Souquet,0.02
Djibril Sow,0.05
Çağlar Söyüncü,-0.01
Petar Stojanović,0.0
Denis Suárez,0.07
Mattias Svanberg,0.04
Jonathan Tah,0.02
Adrien Tameze,0.09
James Tarkowski,-0.03
Aurélien Tchouaméni,0.02
Martin Terrier,0.23
Arthur Theate,0.01
Romain Thomas,0.0
Adrien Thomasson,0.06
Morten Thorsby,-0.01
Youri Tielemans,0.03
Jean-Clair Todibo,-0.04
Karl Toko Ekambi,-0.03
Raúl de Tomás,0.04
Sandro Tonali,0.02
Ivan Toney,-0.03
Pau Torres,0.06
Lucas Torró,-0.02
Hamari Traoré,0.04
Ismaël Traoré,0.01
Leandro Trossard,0.03
Iyenoma Udogie,0.04
Hwang Ui-jo,0.11
Enes Ünal,0.22
Johan Vásquez,0.01
Joël Veltman,0.0
Jordan Veretout,0.0
Kevin Volland,0.04
Walace,-0.01
Kyle Walker-Peters,0.0
James Ward-Prowse,0.1
Ollie Watkins,-0.05
Silvan Widmer,0.05
Iñaki Williams,-0.21
Granit Xhaka,-0.01
Wilfried Zaha,0.16
Davide Zappacosta,-0.05
Martín Zubimendi,0.0
Szymon Żurkowski,0.07
Martin Ødegaard,0.07
