date,division,up,down,level,up_ch,down_ch,total,up_sh,down_sh,level_sh,change_sh,division_s,division_sh,date2,date4,year,month,quarter
2.0,1,1197,813,5523,0.058823559,-0.07692311,7533,0.15890084,0.10792513,0.73317403,0.26682597,Food and non-alcoholic beverages,Food & drink,01-03-1988,1988-03-01,1988.0,3.0,1.0
2.0,2,438,211,2567,0.027063638,-0.026350498,3216,0.13619404,0.065609455,0.79819649,0.20180349,"Alcoholic beverages, tobacco and narcotics",Alcohol & tobacco,01-03-1988,1988-03-01,1988.0,3.0,1.0
2.0,7,155,97,1067,0.0476988,-0.0262,1319,0.11751327,0.073540561,0.80894619,0.19105384,Transport,Transport,01-03-1988,1988-03-01,1988.0,3.0,1.0
2.0,6,110,1,268,0.049043056,-0.04682273,379,0.29023746,0.0026385225,0.70712399,0.29287598,Health,Health,01-03-1988,1988-03-01,1988.0,3.0,1.0
2.0,4,106,51,1137,0.054545488,-0.057780951,1294,0.081916541,0.039412674,0.87867081,0.12132922,"Housing, Water, Electricity, Gas and other fuels",Housing & utilities,01-03-1988,1988-03-01,1988.0,3.0,1.0
2.0,3,569,228,4953,0.11094178,-0.10010015,5750,0.098956525,0.039652172,0.86139131,0.13860869,Clothing and footwear,Clothing and footwear,01-03-1988,1988-03-01,1988.0,3.0,1.0
2.0,12,135,97,1408,0.06405779,-0.071942464,1640,0.082317077,0.059146341,0.8585366,0.14146341,Miscellaneous goods and services,Misc,01-03-1988,1988-03-01,1988.0,3.0,1.0
3.0,3,429,322,5170,0.10181692,-0.099008173,5921,0.072453976,0.054382704,0.87316334,0.12683669,Clothing and footwear,Clothing and footwear,01-04-1988,1988-04-01,1988.0,4.0,2.0
3.0,8,4,0,58,0.0025917087,,62,0.064516127,0.0,0.93548387,0.064516127,Communication,Communication,01-04-1988,1988-04-01,1988.0,4.0,2.0
3.0,2,1711,110,1419,0.023166094,-0.024463512,3240,0.52808642,0.033950616,0.43796295,0.56203705,"Alcoholic beverages, tobacco and narcotics",Alcohol & tobacco,01-04-1988,1988-04-01,1988.0,4.0,2.0
3.0,6,75,2,312,0.049043056,-0.21865571,389,0.19280206,0.0051413882,0.80205655,0.19794345,Health,Health,01-04-1988,1988-04-01,1988.0,4.0,2.0
3.0,5,423,217,3139,0.079223588,-0.079227909,3779,0.11193437,0.057422597,0.830643,0.16935697,"Furnishings, household equipment and maintenance",Household,01-04-1988,1988-04-01,1988.0,4.0,2.0
3.0,4,81,54,1172,0.051648363,-0.043307435,1307,0.061973985,0.041315991,0.89671004,0.10328998,"Housing, Water, Electricity, Gas and other fuels",Housing & utilities,01-04-1988,1988-04-01,1988.0,4.0,2.0
3.0,1,1547,793,5515,0.056438781,-0.0666667,7855,0.19694462,0.10095481,0.70210057,0.29789943,Food and non-alcoholic beverages,Food & drink,01-04-1988,1988-04-01,1988.0,4.0,2.0
3.0,11,1546,74,2687,0.050111644,-0.029850805,4307,0.35895056,0.017181333,0.62386811,0.37613189,Restaurants and Hotels,Restaurants & Hotels,01-04-1988,1988-04-01,1988.0,4.0,2.0
3.0,9,148,81,1948,0.077041604,-0.085455939,2177,0.067983463,0.037207168,0.89480937,0.10519063,Recreation and culture,Recreation & culture,01-04-1988,1988-04-01,1988.0,4.0,2.0
3.0,7,453,36,831,0.051517688,-0.015771307,1320,0.34318182,0.027272727,0.62954545,0.37045455,Transport,Transport,01-04-1988,1988-04-01,1988.0,4.0,2.0
3.0,12,182,73,1401,0.063863285,-0.06122449,1656,0.10990338,0.044082124,0.8460145,0.1539855,Miscellaneous goods and services,Misc,01-04-1988,1988-04-01,1988.0,4.0,2.0
4.0,5,402,167,3453,0.076814592,-0.066182278,4022,0.099950276,0.041521631,0.85852808,0.14147191,"Furnishings, household equipment and maintenance",Household,01-05-1988,1988-05-01,1988.0,5.0,2.0
4.0,4,53,405,877,0.076923005,-0.065700039,1335,0.039700374,0.30337077,0.65692884,0.34307116,"Housing, Water, Electricity, Gas and other fuels",Housing & utilities,01-05-1988,1988-05-01,1988.0,5.0,2.0
4.0,7,96,121,1154,0.046511583,-0.014451341,1371,0.070021883,0.088256747,0.84172136,0.15827863,Transport,Transport,01-05-1988,1988-05-01,1988.0,5.0,2.0
4.0,2,631,234,2397,0.024125429,-0.020319285,3262,0.1934396,0.071735129,0.73482525,0.26517475,"Alcoholic beverages, tobacco and narcotics",Alcohol & tobacco,01-05-1988,1988-05-01,1988.0,5.0,2.0
4.0,1,1342,793,5834,0.060606003,-0.059720278,7969,0.16840255,0.099510603,0.73208684,0.26791316,Food and non-alcoholic beverages,Food & drink,01-05-1988,1988-05-01,1988.0,5.0,2.0
4.0,6,37,3,359,0.047288649,-0.023837045,399,0.092731826,0.0075187972,0.8997494,0.10025062,Health,Health,01-05-1988,1988-05-01,1988.0,5.0,2.0
4.0,9,108,99,2060,0.080476195,-0.07407409,2267,0.047640052,0.043670047,0.90868992,0.091310099,Recreation and culture,Recreation & culture,01-05-1988,1988-05-01,1988.0,5.0,2.0
4.0,12,124,59,1532,0.05823528,-0.068588108,1715,0.072303206,0.034402333,0.89329445,0.10670554,Miscellaneous goods and services,Misc,01-05-1988,1988-05-01,1988.0,5.0,2.0
4.0,8,3,4,68,0.0026755827,-0.11117288,75,0.039999999,0.053333335,0.9066667,0.093333334,Communication,Communication,01-05-1988,1988-05-01,1988.0,5.0,2.0
4.0,3,386,273,5370,0.090950429,-0.10558869,6029,0.064023882,0.045281142,0.89069498,0.10930502,Clothing and footwear,Clothing and footwear,01-05-1988,1988-05-01,1988.0,5.0,2.0
4.0,11,330,104,4005,0.042572476,-0.022497516,4439,0.074341066,0.023428701,0.9022302,0.097769767,Restaurants and Hotels,Restaurants & Hotels,01-05-1988,1988-05-01,1988.0,5.0,2.0
5.0,4,62,66,1169,0.050000001,-0.067307673,1297,0.04780262,0.050886661,0.90131074,0.09868928,"Housing, Water, Electricity, Gas and other fuels",Housing & utilities,01-06-1988,1988-06-01,1988.0,6.0,2.0
5.0,1,1187,856,5671,0.058333278,-0.072898567,7714,0.15387607,0.11096707,0.73515683,0.26484314,Food and non-alcoholic beverages,Food & drink,01-06-1988,1988-06-01,1988.0,6.0,2.0
5.0,6,18,8,361,0.049043056,-0.050000027,387,0.046511628,0.020671835,0.93281657,0.067183465,Health,Health,01-06-1988,1988-06-01,1988.0,6.0,2.0
5.0,3,351,212,5401,0.097691789,-0.11777778,5964,0.05885312,0.035546612,0.90560025,0.094399735,Clothing and footwear,Clothing and footwear,01-06-1988,1988-06-01,1988.0,6.0,2.0
5.0,7,245,74,1043,0.034616858,-0.033731744,1362,0.17988253,0.054331865,0.76578563,0.2342144,Transport,Transport,01-06-1988,1988-06-01,1988.0,6.0,2.0
5.0,11,339,68,4102,0.049999952,-0.033119667,4509,0.075182967,0.015080949,0.9097361,0.090263918,Restaurants and Hotels,Restaurants & Hotels,01-06-1988,1988-06-01,1988.0,6.0,2.0
5.0,9,90,84,2036,0.087121159,-0.090913221,2210,0.040723983,0.038009051,0.92126697,0.078733034,Recreation and culture,Recreation & culture,01-06-1988,1988-06-01,1988.0,6.0,2.0
5.0,2,343,294,2617,0.028571486,-0.022377668,3254,0.10540873,0.090350337,0.80424094,0.19575906,"Alcoholic beverages, tobacco and narcotics",Alcohol & tobacco,01-06-1988,1988-06-01,1988.0,6.0,2.0
5.0,8,3,11,61,0.12507817,-0.080032013,75,0.039999999,0.14666666,0.81333333,0.18666667,Communication,Communication,01-06-1988,1988-06-01,1988.0,6.0,2.0
5.0,5,307,200,3477,0.082096562,-0.077342331,3984,0.077058233,0.050200805,0.87274098,0.12725905,"Furnishings, household equipment and maintenance",Household,01-06-1988,1988-06-01,1988.0,6.0,2.0
5.0,12,162,61,1477,0.078467473,-0.049180377,1700,0.095294118,0.035882354,0.86882353,0.13117647,Miscellaneous goods and services,Misc,01-06-1988,1988-06-01,1988.0,6.0,2.0
6.0,12,203,85,1321,0.082245037,-0.049662244,1609,0.12616532,0.052827843,0.82100683,0.17899317,Miscellaneous goods and services,Misc,01-07-1988,1988-07-01,1988.0,7.0,3.0
6.0,7,153,137,1091,0.042572465,-0.012640923,1381,0.11078928,0.099203475,0.79000723,0.20999277,Transport,Transport,01-07-1988,1988-07-01,1988.0,7.0,3.0
6.0,2,349,381,2462,0.025020868,-0.038610004,3192,0.10933584,0.1193609,0.77130324,0.22869673,"Alcoholic beverages, tobacco and narcotics",Alcohol & tobacco,01-07-1988,1988-07-01,1988.0,7.0,3.0
6.0,1,1118,1190,5211,0.067892991,-0.071249962,7519,0.14868999,0.15826572,0.6930443,0.3069557,Food and non-alcoholic beverages,Food & drink,01-07-1988,1988-07-01,1988.0,7.0,3.0
6.0,11,345,95,4022,0.045454502,-0.054263517,4462,0.077319585,0.0212909,0.90138954,0.098610483,Restaurants and Hotels,Restaurants & Hotels,01-07-1988,1988-07-01,1988.0,7.0,3.0
6.0,6,23,8,349,0.049043056,-0.041346937,380,0.060526315,0.021052632,0.91842103,0.081578948,Health,Health,01-07-1988,1988-07-01,1988.0,7.0,3.0
6.0,5,376,417,2998,0.081915341,-0.10005002,3791,0.09918227,0.10999736,0.79082036,0.20917964,"Furnishings, household equipment and maintenance",Household,01-07-1988,1988-07-01,1988.0,7.0,3.0
6.0,4,97,66,1109,0.051658139,-0.071565673,1272,0.076257862,0.051886793,0.87185532,0.12814465,"Housing, Water, Electricity, Gas and other fuels",Housing & utilities,01-07-1988,1988-07-01,1988.0,7.0,3.0
6.0,9,136,141,1847,0.083340347,-0.096976653,2124,0.064030133,0.066384181,0.86958569,0.13041431,Recreation and culture,Recreation & culture,01-07-1988,1988-07-01,1988.0,7.0,3.0
6.0,3,420,596,4716,0.1177163,-0.16684052,5732,0.073272854,0.10397767,0.8227495,0.17725053,Clothing and footwear,Clothing and footwear,01-07-1988,1988-07-01,1988.0,7.0,3.0
6.0,8,7,5,54,0.10003341,-0.13342229,66,0.10606061,0.075757578,0.81818181,0.18181819,Communication,Communication,01-07-1988,1988-07-01,1988.0,7.0,3.0
8.0,8,0,0,0,,,0,,,,,Communication,Communication,01-09-1988,1988-09-01,1988.0,9.0,3.0
8.0,7,0,0,0,,,0,,,,,Transport,Transport,01-09-1988,1988-09-01,1988.0,9.0,3.0
8.0,2,0,0,0,,,0,,,,,"Alcoholic beverages, tobacco and narcotics",Alcohol & tobacco,01-09-1988,1988-09-01,1988.0,9.0,3.0
8.0,9,0,0,0,,,0,,,,,Recreation and culture,Recreation & culture,01-09-1988,1988-09-01,1988.0,9.0,3.0
8.0,1,0,0,0,,,0,,,,,Food and non-alcoholic beverages,Food & drink,01-09-1988,1988-09-01,1988.0,9.0,3.0
8.0,6,0,0,0,,,0,,,,,Health,Health,01-09-1988,1988-09-01,1988.0,9.0,3.0
8.0,3,0,0,0,,,0,,,,,Clothing and footwear,Clothing and footwear,01-09-1988,1988-09-01,1988.0,9.0,3.0
8.0,5,0,0,0,,,0,,,,,"Furnishings, household equipment and maintenance",Household,01-09-1988,1988-09-01,1988.0,9.0,3.0
8.0,11,0,0,0,,,0,,,,,Restaurants and Hotels,Restaurants & Hotels,01-09-1988,1988-09-01,1988.0,9.0,3.0
8.0,12,0,0,0,,,0,,,,,Miscellaneous goods and services,Misc,01-09-1988,1988-09-01,1988.0,9.0,3.0
8.0,4,0,0,0,,,0,,,,,"Housing, Water, Electricity, Gas and other fuels",Housing & utilities,01-09-1988,1988-09-01,1988.0,9.0,3.0
9.0,2,636,180,2291,0.023856027,-0.025316507,3107,0.20469907,0.057933699,0.73736721,0.26263276,"Alcoholic beverages, tobacco and narcotics",Alcohol & tobacco,01-10-1988,1988-10-01,1988.0,10.0,4.0
9.0,7,70,97,1157,0.03463649,-0.016874025,1324,0.052870091,0.073262841,0.87386709,0.12613294,Transport,Transport,01-10-1988,1988-10-01,1988.0,10.0,4.0
9.0,6,21,6,353,0.049043056,-0.024390221,380,0.055263158,0.015789473,0.92894739,0.071052633,Health,Health,01-10-1988,1988-10-01,1988.0,10.0,4.0
9.0,12,127,41,1427,0.066483557,-0.073064074,1595,0.079623826,0.02570533,0.89467084,0.10532916,Miscellaneous goods and services,Misc,01-10-1988,1988-10-01,1988.0,10.0,4.0
9.0,1,1069,818,5701,0.058823559,-0.06896545,7588,0.14088033,0.1078018,0.75131786,0.24868213,Food and non-alcoholic beverages,Food & drink,01-10-1988,1988-10-01,1988.0,10.0,4.0
9.0,8,3,4,59,0.11123471,-0.11220705,66,0.045454547,0.060606062,0.89393938,0.10606061,Communication,Communication,01-10-1988,1988-10-01,1988.0,10.0,4.0
9.0,4,140,26,1073,0.072115436,-0.05473689,1239,0.11299435,0.020984665,0.86602098,0.13397902,"Housing, Water, Electricity, Gas and other fuels",Housing & utilities,01-10-1988,1988-10-01,1988.0,10.0,4.0
9.0,9,98,92,1898,0.081746802,-0.083402835,2088,0.046934865,0.044061303,0.90900385,0.090996169,Recreation and culture,Recreation & culture,01-10-1988,1988-10-01,1988.0,10.0,4.0
9.0,11,561,34,3543,0.047338925,-0.034482725,4138,0.13557275,0.0082165301,0.85621071,0.14378928,Restaurants and Hotels,Restaurants & Hotels,01-10-1988,1988-10-01,1988.0,10.0,4.0
9.0,3,427,172,4566,0.14492758,-0.12515645,5165,0.082671829,0.033301067,0.88402712,0.11597289,Clothing and footwear,Clothing and footwear,01-10-1988,1988-10-01,1988.0,10.0,4.0
9.0,5,382,160,3037,0.068989307,-0.056926087,3579,0.10673372,0.044705223,0.84856105,0.15143895,"Furnishings, household equipment and maintenance",Household,01-10-1988,1988-10-01,1988.0,10.0,4.0
10.0,8,6,2,68,0.11846345,-0.18340114,76,0.078947365,0.02631579,0.89473683,0.10526316,Communication,Communication,01-11-1988,1988-11-01,1988.0,11.0,4.0
10.0,6,20,6,372,0.046676531,-0.043478221,398,0.050251257,0.015075377,0.93467337,0.065326631,Health,Health,01-11-1988,1988-11-01,1988.0,11.0,4.0
10.0,2,906,449,1928,0.02531643,-0.042434528,3283,0.27596709,0.13676515,0.58726776,0.41273224,"Alcoholic beverages, tobacco and narcotics",Alcohol & tobacco,01-11-1988,1988-11-01,1988.0,11.0,4.0
10.0,4,179,40,1109,0.061946884,-0.044318289,1328,0.13478915,0.030120483,0.83509034,0.16490963,"Housing, Water, Electricity, Gas and other fuels",Housing & utilities,01-11-1988,1988-11-01,1988.0,11.0,4.0
10.0,1,1253,821,6011,0.059714831,-0.06249994,8085,0.15497835,0.10154607,0.74347556,0.25652441,Food and non-alcoholic beverages,Food & drink,01-11-1988,1988-11-01,1988.0,11.0,4.0
10.0,12,147,71,1481,0.078795984,-0.058333278,1699,0.086521484,0.04178929,0.8716892,0.12831077,Miscellaneous goods and services,Misc,01-11-1988,1988-11-01,1988.0,11.0,4.0
10.0,7,74,135,1226,0.06609232,-0.022727251,1435,0.051567946,0.094076656,0.85435539,0.14564461,Transport,Transport,01-11-1988,1988-11-01,1988.0,11.0,4.0
10.0,5,364,176,3252,0.07884489,-0.07741572,3792,0.095991559,0.046413504,0.85759491,0.14240506,"Furnishings, household equipment and maintenance",Household,01-11-1988,1988-11-01,1988.0,11.0,4.0
10.0,3,413,173,4693,0.1006289,-0.10060668,5279,0.078234516,0.032771356,0.88899416,0.11100587,Clothing and footwear,Clothing and footwear,01-11-1988,1988-11-01,1988.0,11.0,4.0
10.0,11,472,55,3911,0.047619097,-0.038461503,4438,0.10635421,0.01239297,0.88125283,0.11874718,Restaurants and Hotels,Restaurants & Hotels,01-11-1988,1988-11-01,1988.0,11.0,4.0
10.0,9,156,88,2021,0.095587388,-0.0936836,2265,0.068874173,0.038852096,0.89227372,0.10772627,Recreation and culture,Recreation & culture,01-11-1988,1988-11-01,1988.0,11.0,4.0
11.0,4,66,34,1255,0.050833739,-0.063716836,1355,0.048708487,0.025092252,0.92619926,0.073800743,"Housing, Water, Electricity, Gas and other fuels",Housing & utilities,01-12-1988,1988-12-01,1988.0,12.0,4.0
11.0,6,10,6,378,0.045454502,-0.026666641,394,0.02538071,0.015228426,0.95939088,0.040609136,Health,Health,01-12-1988,1988-12-01,1988.0,12.0,4.0
11.0,1,1339,567,6227,0.065258734,-0.059523754,8133,0.16463789,0.069715969,0.76564616,0.23435387,Food and non-alcoholic beverages,Food & drink,01-12-1988,1988-12-01,1988.0,12.0,4.0
11.0,5,225,156,3460,0.066263728,-0.06933333,3841,0.058578495,0.040614422,0.90080708,0.099192917,"Furnishings, household equipment and maintenance",Household,01-12-1988,1988-12-01,1988.0,12.0,4.0
11.0,8,4,2,75,0.099083617,-0.14613464,81,0.049382716,0.024691358,0.92592591,0.074074075,Communication,Communication,01-12-1988,1988-12-01,1988.0,12.0,4.0
11.0,12,105,33,1588,0.06918247,-0.081243522,1726,0.0608343,0.01911935,0.92004633,0.079953648,Miscellaneous goods and services,Misc,01-12-1988,1988-12-01,1988.0,12.0,4.0
11.0,11,277,20,4263,0.045086145,-0.027139237,4560,0.060745616,0.0043859649,0.9348684,0.065131582,Restaurants and Hotels,Restaurants & Hotels,01-12-1988,1988-12-01,1988.0,12.0,4.0
11.0,2,265,434,2629,0.021191314,-0.04096242,3328,0.079627402,0.13040866,0.78996396,0.21003607,"Alcoholic beverages, tobacco and narcotics",Alcohol & tobacco,01-12-1988,1988-12-01,1988.0,12.0,4.0
11.0,9,101,48,2154,0.083562091,-0.082996845,2303,0.043855838,0.020842379,0.93530178,0.064698219,Recreation and culture,Recreation & culture,01-12-1988,1988-12-01,1988.0,12.0,4.0
11.0,7,76,100,1234,0.038515408,-0.058823541,1410,0.053900708,0.070921987,0.87517732,0.12482269,Transport,Transport,01-12-1988,1988-12-01,1988.0,12.0,4.0
11.0,3,275,159,4852,0.10265119,-0.10007507,5286,0.052024215,0.030079456,0.91789633,0.08210367,Clothing and footwear,Clothing and footwear,01-12-1988,1988-12-01,1988.0,12.0,4.0
12.0,12,199,119,1297,0.069304198,-0.073485307,1615,0.12321982,0.073684208,0.803096,0.19690403,Miscellaneous goods and services,Misc,01-01-1989,1989-01-01,1989.0,1.0,1.0
12.0,5,452,558,2648,0.096122488,-0.100005,3658,0.12356479,0.15254237,0.72389281,0.27610716,"Furnishings, household equipment and maintenance",Household,01-01-1989,1989-01-01,1989.0,1.0,1.0
12.0,2,952,177,2034,0.039215744,-0.018436741,3163,0.30098009,0.055959534,0.64306039,0.35693961,"Alcoholic beverages, tobacco and narcotics",Alcohol & tobacco,01-01-1989,1989-01-01,1989.0,1.0,1.0
12.0,11,521,160,3686,0.058823559,-0.043478284,4367,0.11930387,0.036638424,0.84405768,0.15594229,Restaurants and Hotels,Restaurants & Hotels,01-01-1989,1989-01-01,1989.0,1.0,1.0
12.0,7,230,137,1041,0.057189543,-0.021749388,1408,0.16335227,0.097301133,0.73934656,0.26065341,Transport,Transport,01-01-1989,1989-01-01,1989.0,1.0,1.0
12.0,9,212,209,1804,0.089542925,-0.09902598,2225,0.095280901,0.093932584,0.81078655,0.18921348,Recreation and culture,Recreation & culture,01-01-1989,1989-01-01,1989.0,1.0,1.0
12.0,3,665,834,4242,0.12725309,-0.17369795,5741,0.11583348,0.14527085,0.73889565,0.26110435,Clothing and footwear,Clothing and footwear,01-01-1989,1989-01-01,1989.0,1.0,1.0
12.0,6,80,1,293,0.087228253,-0.13043478,374,0.21390374,0.0026737968,0.78342247,0.21657753,Health,Health,01-01-1989,1989-01-01,1989.0,1.0,1.0
12.0,1,1617,883,5089,0.066666603,-0.074837178,7589,0.21307155,0.11635262,0.67057586,0.32942417,Food and non-alcoholic beverages,Food & drink,01-01-1989,1989-01-01,1989.0,1.0,1.0
12.0,8,5,19,58,0.076982297,-0.16675931,82,0.060975611,0.23170732,0.70731705,0.29268295,Communication,Communication,01-01-1989,1989-01-01,1989.0,1.0,1.0
12.0,4,258,44,991,0.042105287,-0.017397663,1293,0.19953597,0.034029391,0.76643467,0.23356536,"Housing, Water, Electricity, Gas and other fuels",Housing & utilities,01-01-1989,1989-01-01,1989.0,1.0,1.0
14.0,12,0,0,0,,,0,,,,,Miscellaneous goods and services,Misc,01-03-1989,1989-03-01,1989.0,3.0,1.0
14.0,2,0,0,0,,,0,,,,,"Alcoholic beverages, tobacco and narcotics",Alcohol & tobacco,01-03-1989,1989-03-01,1989.0,3.0,1.0
14.0,5,0,0,0,,,0,,,,,"Furnishings, household equipment and maintenance",Household,01-03-1989,1989-03-01,1989.0,3.0,1.0
14.0,4,0,0,0,,,0,,,,,"Housing, Water, Electricity, Gas and other fuels",Housing & utilities,01-03-1989,1989-03-01,1989.0,3.0,1.0
14.0,1,0,0,0,,,0,,,,,Food and non-alcoholic beverages,Food & drink,01-03-1989,1989-03-01,1989.0,3.0,1.0
14.0,3,0,0,0,,,0,,,,,Clothing and footwear,Clothing and footwear,01-03-1989,1989-03-01,1989.0,3.0,1.0
14.0,7,0,0,0,,,0,,,,,Transport,Transport,01-03-1989,1989-03-01,1989.0,3.0,1.0
14.0,8,0,0,0,,,0,,,,,Communication,Communication,01-03-1989,1989-03-01,1989.0,3.0,1.0
14.0,6,0,0,0,,,0,,,,,Health,Health,01-03-1989,1989-03-01,1989.0,3.0,1.0
14.0,10,0,0,0,,,0,,,,,Education,Education,01-03-1989,1989-03-01,1989.0,3.0,1.0
14.0,9,0,0,0,,,0,,,,,Recreation and culture,Recreation & culture,01-03-1989,1989-03-01,1989.0,3.0,1.0
14.0,11,0,0,0,,,0,,,,,Restaurants and Hotels,Restaurants & Hotels,01-03-1989,1989-03-01,1989.0,3.0,1.0
15.0,11,195,24,1786,0.071428612,-0.057189569,2005,0.097256854,0.011970075,0.89077306,0.10922693,Restaurants and Hotels,Restaurants & Hotels,01-04-1989,1989-04-01,1989.0,4.0,2.0
15.0,1,2014,760,6744,0.064184651,-0.070812792,9518,0.21159908,0.079848707,0.70855224,0.29144779,Food and non-alcoholic beverages,Food & drink,01-04-1989,1989-04-01,1989.0,4.0,2.0
16.0,7,0,0,0,,,0,,,,,Transport,Transport,01-05-1989,1989-05-01,1989.0,5.0,2.0
16.0,6,0,0,0,,,0,,,,,Health,Health,01-05-1989,1989-05-01,1989.0,5.0,2.0
16.0,2,0,0,0,,,0,,,,,"Alcoholic beverages, tobacco and narcotics",Alcohol & tobacco,01-05-1989,1989-05-01,1989.0,5.0,2.0
16.0,3,0,0,0,,,0,,,,,Clothing and footwear,Clothing and footwear,01-05-1989,1989-05-01,1989.0,5.0,2.0
16.0,12,0,0,0,,,0,,,,,Miscellaneous goods and services,Misc,01-05-1989,1989-05-01,1989.0,5.0,2.0
16.0,11,128,22,1891,0.091804862,-0.064971387,2041,0.062714353,0.01077903,0.92650664,0.073493384,Restaurants and Hotels,Restaurants & Hotels,01-05-1989,1989-05-01,1989.0,5.0,2.0
16.0,8,0,0,0,,,0,,,,,Communication,Communication,01-05-1989,1989-05-01,1989.0,5.0,2.0
16.0,9,0,0,0,,,0,,,,,Recreation and culture,Recreation & culture,01-05-1989,1989-05-01,1989.0,5.0,2.0
16.0,5,0,0,0,,,0,,,,,"Furnishings, household equipment and maintenance",Household,01-05-1989,1989-05-01,1989.0,5.0,2.0
16.0,1,1816,817,7096,0.064732186,-0.071428597,9729,0.18665844,0.08397574,0.72936583,0.27063417,Food and non-alcoholic beverages,Food & drink,01-05-1989,1989-05-01,1989.0,5.0,2.0
16.0,4,0,0,0,,,0,,,,,"Housing, Water, Electricity, Gas and other fuels",Housing & utilities,01-05-1989,1989-05-01,1989.0,5.0,2.0
17.0,7,194,79,1815,0.066983156,-0.04458639,2088,0.092911877,0.037835248,0.86925286,0.13074712,Transport,Transport,01-06-1989,1989-06-01,1989.0,6.0,2.0
17.0,12,123,66,1821,0.071337335,-0.068390593,2010,0.061194029,0.032835823,0.90597016,0.094029851,Miscellaneous goods and services,Misc,01-06-1989,1989-06-01,1989.0,6.0,2.0
17.0,4,99,99,1140,0.07281933,-0.064172477,1338,0.07399103,0.07399103,0.85201794,0.14798206,"Housing, Water, Electricity, Gas and other fuels",Housing & utilities,01-06-1989,1989-06-01,1989.0,6.0,2.0
17.0,6,28,8,399,0.086956523,-0.042166561,435,0.064367816,0.018390805,0.91724139,0.08275862,Health,Health,01-06-1989,1989-06-01,1989.0,6.0,2.0
17.0,8,0,10,76,,-0.15434951,86,0.0,0.11627907,0.88372093,0.11627907,Communication,Communication,01-06-1989,1989-06-01,1989.0,6.0,2.0
17.0,1,1673,919,7299,0.069006577,-0.0666667,9891,0.16914366,0.092912748,0.73794359,0.26205641,Food and non-alcoholic beverages,Food & drink,01-06-1989,1989-06-01,1989.0,6.0,2.0
17.0,2,368,299,3150,0.027397234,-0.018691681,3817,0.096410796,0.078333773,0.82525545,0.17474458,"Alcoholic beverages, tobacco and narcotics",Alcohol & tobacco,01-06-1989,1989-06-01,1989.0,6.0,2.0
17.0,5,390,251,3773,0.091356739,-0.058910809,4414,0.088355236,0.056864522,0.85478026,0.14521976,"Furnishings, household equipment and maintenance",Household,01-06-1989,1989-06-01,1989.0,6.0,2.0
17.0,3,297,203,6046,0.10564236,-0.12152968,6546,0.04537122,0.031011304,0.92361748,0.076382525,Clothing and footwear,Clothing and footwear,01-06-1989,1989-06-01,1989.0,6.0,2.0
17.0,9,139,96,2711,0.078226686,-0.075965777,2946,0.04718262,0.03258656,0.92023081,0.079769179,Recreation and culture,Recreation & culture,01-06-1989,1989-06-01,1989.0,6.0,2.0
