data,classificacao,faixa_etaria,feminino,masculino,total,ultima_atualizacao
2020-07-13,confirmados,80 ou mais,1010,758,1768,False
2020-07-17,confirmados,00 a 09,846,849,1695,False
2020-07-17,confirmados,10 a 19,1953,1625,3578,False
2020-07-17,confirmados,20 a 29,6251,5282,11533,False
2020-07-17,confirmados,30 a 39,8661,7648,16309,False
2020-07-17,confirmados,40 a 49,7555,6161,13716,False
2020-07-17,confirmados,50 a 59,5173,4350,9523,False
2020-07-17,confirmados,60 a 69,2698,2298,4996,False
2020-07-17,confirmados,70 a 79,1573,1312,2885,False
2020-07-17,confirmados,80 ou mais,1099,813,1912,False
2020-07-20,confirmados,00 a 09,863,868,1731,False
2020-07-20,confirmados,10 a 19,1993,1664,3657,False
2020-07-20,confirmados,20 a 29,6361,5361,11722,False
2020-07-20,confirmados,30 a 39,9019,7799,16818,False
2020-07-20,confirmados,40 a 49,7690,6279,13969,False
2020-07-20,confirmados,50 a 59,5292,4447,9739,False
2020-07-20,confirmados,60 a 69,2757,2365,5122,False
2020-07-20,confirmados,70 a 79,1607,1344,2951,False
2020-07-20,confirmados,80 ou mais,1130,841,1971,False
2020-07-22,confirmados,00 a 09,927,942,1869,False
2020-07-22,confirmados,10 a 19,2133,1778,3911,False
2020-07-22,confirmados,20 a 29,6660,5617,12277,False
2020-07-22,confirmados,30 a 39,9456,8096,17552,False
2020-07-22,confirmados,40 a 49,8022,6550,14572,False
2020-07-22,confirmados,50 a 59,5590,4671,10261,False
2020-07-22,confirmados,60 a 69,2887,2471,5358,False
2020-07-22,confirmados,70 a 79,1701,1416,3117,False
2020-07-22,confirmados,80 ou mais,1177,878,2055,False
2020-07-24,confirmados,00 a 09,998,999,1997,False
2020-07-24,confirmados,10 a 19,2267,1865,4132,False
2020-07-24,confirmados,20 a 29,7015,5894,12909,False
2020-07-24,confirmados,30 a 39,9931,8401,18332,False
2020-07-24,confirmados,40 a 49,8461,6855,15316,False
2020-07-24,confirmados,50 a 59,5876,4895,10771,False
2020-07-24,confirmados,60 a 69,3031,2603,5634,False
2020-07-24,confirmados,70 a 79,1795,1493,3288,False
2020-07-24,confirmados,80 ou mais,1246,925,2171,False
2020-07-27,confirmados,00 a 09,1023,1030,2053,True
2020-07-27,confirmados,10 a 19,2359,1912,4271,True
2020-07-27,confirmados,20 a 29,7216,6052,13268,True
2020-07-27,confirmados,30 a 39,10217,8599,18816,True
2020-07-27,confirmados,40 a 49,8676,7044,15720,True
2020-07-27,confirmados,50 a 59,6059,5060,11119,True
2020-07-27,confirmados,60 a 69,3134,2681,5815,True
2020-07-27,confirmados,70 a 79,1858,1544,3402,True
2020-07-27,confirmados,80 ou mais,1293,956,2249,True
2020-03-31,mortos,00 a 19,0,0,0,False
2020-03-31,mortos,20 a 29,0,0,0,False
2020-03-31,mortos,30 a 39,0,1,1,False
2020-03-31,mortos,40 a 49,0,0,0,False
2020-03-31,mortos,50 a 59,0,0,0,False
2020-03-31,mortos,60 a 69,0,0,0,False
2020-03-31,mortos,70 a 79,0,0,0,False
2020-03-31,mortos,80 ou mais,0,0,0,False
2020-04-01,mortos,00 a 19,0,0,0,False
2020-04-01,mortos,20 a 29,0,0,0,False
2020-04-01,mortos,30 a 39,0,1,1,False
2020-04-01,mortos,40 a 49,0,0,0,False
2020-04-01,mortos,50 a 59,0,0,0,False
2020-04-01,mortos,60 a 69,0,0,0,False
2020-04-01,mortos,70 a 79,0,0,0,False
2020-04-01,mortos,80 ou mais,0,0,0,False
2020-04-02,mortos,00 a 19,0,0,0,False
2020-04-02,mortos,20 a 29,0,0,0,False
2020-04-02,mortos,30 a 39,0,1,1,False
2020-04-02,mortos,40 a 49,0,0,0,False
2020-04-02,mortos,50 a 59,0,0,0,False
2020-04-02,mortos,60 a 69,0,0,0,False
2020-04-02,mortos,70 a 79,0,0,0,False
2020-04-02,mortos,80 ou mais,0,0,0,False
2020-04-03,mortos,00 a 19,0,0,0,False
2020-04-03,mortos,20 a 29,0,0,0,False
2020-04-03,mortos,30 a 39,0,1,1,False
2020-04-03,mortos,40 a 49,0,1,1,False
2020-04-03,mortos,50 a 59,0,0,0,False
2020-04-03,mortos,60 a 69,0,0,0,False
2020-04-03,mortos,70 a 79,0,0,0,False
2020-04-03,mortos,80 ou mais,1,0,1,False
2020-04-04,mortos,00 a 19,0,0,0,False
2020-04-04,mortos,20 a 29,0,0,0,False
2020-04-04,mortos,30 a 39,0,1,1,False
2020-04-04,mortos,40 a 49,0,1,1,False
2020-04-04,mortos,50 a 59,0,0,0,False
2020-04-04,mortos,60 a 69,0,0,0,False
2020-04-04,mortos,70 a 79,0,0,0,False
2020-04-04,mortos,80 ou mais,1,0,1,False
2020-04-05,mortos,00 a 19,0,0,0,False
2020-04-05,mortos,20 a 29,1,0,1,False
2020-04-05,mortos,30 a 39,0,1,1,False
2020-04-05,mortos,40 a 49,0,1,1,False
2020-04-05,mortos,50 a 59,0,0,0,False
2020-04-05,mortos,60 a 69,0,0,0,False
2020-04-05,mortos,70 a 79,0,0,0,False
2020-04-05,mortos,80 ou mais,1,0,1,False
2020-04-06,mortos,00 a 19,0,0,0,False
2020-04-06,mortos,20 a 29,1,0,1,False
2020-04-06,mortos,30 a 39,0,1,1,False
2020-04-06,mortos,40 a 49,0,1,1,False
2020-04-06,mortos,50 a 59,0,0,0,False
2020-04-06,mortos,60 a 69,0,0,0,False
2020-04-06,mortos,70 a 79,0,0,0,False
2020-04-06,mortos,80 ou mais,1,0,1,False
2020-04-07,mortos,00 a 19,0,0,0,False
2020-04-07,mortos,20 a 29,1,0,1,False
2020-04-07,mortos,30 a 39,0,1,1,False
2020-04-07,mortos,40 a 49,0,1,1,False
2020-04-07,mortos,50 a 59,0,0,0,False
2020-04-07,mortos,60 a 69,0,0,0,False
2020-04-07,mortos,70 a 79,0,0,0,False
2020-04-07,mortos,80 ou mais,1,0,1,False
2020-04-08,mortos,00 a 19,0,0,0,False
2020-04-08,mortos,20 a 29,1,0,1,False
2020-04-08,mortos,30 a 39,0,2,2,False
2020-04-08,mortos,40 a 49,0,1,1,False
2020-04-08,mortos,50 a 59,1,0,1,False
2020-04-08,mortos,60 a 69,0,0,0,False
2020-04-08,mortos,70 a 79,0,1,1,False
2020-04-08,mortos,80 ou mais,1,0,1,False
2020-04-09,mortos,00 a 19,0,0,0,False
2020-04-09,mortos,20 a 29,1,0,1,False
2020-04-09,mortos,30 a 39,1,2,3,False
2020-04-09,mortos,40 a 49,0,1,1,False
2020-04-09,mortos,50 a 59,1,0,1,False
2020-04-09,mortos,60 a 69,0,1,1,False
2020-04-09,mortos,70 a 79,0,1,1,False
2020-04-09,mortos,80 ou mais,1,2,3,False
2020-04-10,mortos,00 a 19,0,0,0,False
2020-04-10,mortos,20 a 29,1,0,1,False
2020-04-10,mortos,30 a 39,1,2,3,False
2020-04-10,mortos,40 a 49,0,1,1,False
2020-04-10,mortos,50 a 59,1,0,1,False
2020-04-10,mortos,60 a 69,0,1,1,False
2020-04-10,mortos,70 a 79,0,1,1,False
2020-04-10,mortos,80 ou mais,1,2,3,False
2020-04-11,mortos,00 a 19,0,0,0,False
2020-04-11,mortos,20 a 29,1,0,1,False
2020-04-11,mortos,30 a 39,1,2,3,False
2020-04-11,mortos,40 a 49,0,1,1,False
2020-04-11,mortos,50 a 59,1,0,1,False
2020-04-11,mortos,60 a 69,0,1,1,False
2020-04-11,mortos,70 a 79,0,1,1,False
2020-04-11,mortos,80 ou mais,2,3,5,False
2020-04-12,mortos,00 a 19,0,0,0,False
2020-04-12,mortos,20 a 29,1,0,1,False
2020-04-12,mortos,30 a 39,1,2,3,False
2020-04-12,mortos,40 a 49,0,1,1,False
2020-04-12,mortos,50 a 59,1,0,1,False
2020-04-12,mortos,60 a 69,0,1,1,False
2020-04-12,mortos,70 a 79,0,1,1,False
2020-04-12,mortos,80 ou mais,2,3,5,False
2020-04-13,mortos,00 a 19,0,0,0,False
2020-04-13,mortos,20 a 29,1,0,1,False
2020-04-13,mortos,30 a 39,1,2,3,False
2020-04-13,mortos,40 a 49,0,1,1,False
2020-04-13,mortos,50 a 59,1,0,1,False
2020-04-13,mortos,60 a 69,1,2,3,False
2020-04-13,mortos,70 a 79,0,1,1,False
2020-04-13,mortos,80 ou mais,3,3,6,False
2020-04-14,mortos,00 a 19,1,0,1,False
2020-04-14,mortos,20 a 29,1,0,1,False
2020-04-14,mortos,30 a 39,1,2,3,False
2020-04-14,mortos,40 a 49,0,2,2,False
2020-04-14,mortos,50 a 59,1,0,1,False
2020-04-14,mortos,60 a 69,1,3,4,False
2020-04-14,mortos,70 a 79,0,1,1,False
2020-04-14,mortos,80 ou mais,4,4,8,False
2020-04-15,mortos,00 a 19,1,0,1,False
2020-04-15,mortos,20 a 29,1,0,1,False
2020-04-15,mortos,30 a 39,1,2,3,False
2020-04-15,mortos,40 a 49,0,2,2,False
2020-04-15,mortos,50 a 59,1,0,1,False
2020-04-15,mortos,60 a 69,1,3,4,False
2020-04-15,mortos,70 a 79,0,1,1,False
2020-04-15,mortos,80 ou mais,6,5,11,False
2020-04-16,mortos,00 a 19,1,0,1,False
2020-04-16,mortos,20 a 29,1,0,1,False
2020-04-16,mortos,30 a 39,1,2,3,False
2020-04-16,mortos,40 a 49,0,3,3,False
2020-04-16,mortos,50 a 59,1,0,1,False
2020-04-16,mortos,60 a 69,1,4,5,False
2020-04-16,mortos,70 a 79,0,1,1,False
2020-04-16,mortos,80 ou mais,6,5,11,False
2020-04-17,mortos,00 a 19,1,0,1,False
2020-04-17,mortos,20 a 29,1,0,1,False
2020-04-17,mortos,30 a 39,1,2,3,False
2020-04-17,mortos,40 a 49,0,3,3,False
2020-04-17,mortos,50 a 59,1,1,2,False
2020-04-17,mortos,60 a 69,1,4,5,False
2020-04-17,mortos,70 a 79,0,1,1,False
2020-04-17,mortos,80 ou mais,7,5,12,False
2020-04-18,mortos,00 a 19,1,0,1,False
2020-04-18,mortos,20 a 29,1,0,1,False
2020-04-18,mortos,30 a 39,1,2,3,False
2020-04-18,mortos,40 a 49,0,4,4,False
2020-04-18,mortos,50 a 59,1,1,2,False
2020-04-18,mortos,60 a 69,1,4,5,False
2020-04-18,mortos,70 a 79,0,1,1,False
2020-04-18,mortos,80 ou mais,7,5,12,False
2020-04-19,mortos,00 a 19,1,0,1,False
2020-04-19,mortos,20 a 29,1,0,1,False
2020-04-19,mortos,30 a 39,1,2,3,False
2020-04-19,mortos,40 a 49,1,4,5,False
2020-04-19,mortos,50 a 59,1,1,2,False
2020-04-19,mortos,60 a 69,1,4,5,False
2020-04-19,mortos,70 a 79,0,1,1,False
2020-04-19,mortos,80 ou mais,8,6,14,False
2020-04-20,mortos,00 a 19,1,0,1,False
2020-04-20,mortos,20 a 29,1,0,1,False
2020-04-20,mortos,30 a 39,1,2,3,False
2020-04-20,mortos,40 a 49,1,4,5,False
2020-04-20,mortos,50 a 59,1,1,2,False
2020-04-20,mortos,60 a 69,1,4,5,False
2020-04-20,mortos,70 a 79,0,1,1,False
2020-04-20,mortos,80 ou mais,9,6,15,False
2020-04-21,mortos,00 a 19,1,0,1,False
2020-04-21,mortos,20 a 29,1,0,1,False
2020-04-21,mortos,30 a 39,1,2,3,False
2020-04-21,mortos,40 a 49,1,4,5,False
2020-04-21,mortos,50 a 59,1,2,3,False
2020-04-21,mortos,60 a 69,2,6,8,False
2020-04-21,mortos,70 a 79,1,1,2,False
2020-04-21,mortos,80 ou mais,9,7,16,False
2020-04-22,mortos,00 a 19,1,0,1,False
2020-04-22,mortos,20 a 29,1,0,1,False
2020-04-22,mortos,30 a 39,1,2,3,False
2020-04-22,mortos,40 a 49,1,4,5,False
2020-04-22,mortos,50 a 59,1,2,3,False
2020-04-22,mortos,60 a 69,2,6,8,False
2020-04-22,mortos,70 a 79,1,2,3,False
2020-04-22,mortos,80 ou mais,9,7,16,False
2020-04-23,mortos,00 a 19,1,0,1,False
2020-04-23,mortos,20 a 29,1,0,1,False
2020-04-23,mortos,30 a 39,1,3,4,False
2020-04-23,mortos,40 a 49,2,4,6,False
2020-04-23,mortos,50 a 59,1,3,4,False
2020-04-23,mortos,60 a 69,2,6,8,False
2020-04-23,mortos,70 a 79,2,2,4,False
2020-04-23,mortos,80 ou mais,9,7,16,False
2020-04-24,mortos,00 a 19,1,0,1,False
2020-04-24,mortos,20 a 29,1,0,1,False
2020-04-24,mortos,30 a 39,1,3,4,False
2020-04-24,mortos,40 a 49,2,4,6,False
2020-04-24,mortos,50 a 59,1,4,5,False
2020-04-24,mortos,60 a 69,2,6,8,False
2020-04-24,mortos,70 a 79,2,3,5,False
2020-04-24,mortos,80 ou mais,9,7,16,False
2020-04-25,mortos,00 a 19,1,0,1,False
2020-04-25,mortos,20 a 29,1,0,1,False
2020-04-25,mortos,30 a 39,1,3,4,False
2020-04-25,mortos,40 a 49,2,4,6,False
2020-04-25,mortos,50 a 59,1,4,5,False
2020-04-25,mortos,60 a 69,3,7,10,False
2020-04-25,mortos,70 a 79,3,3,6,False
2020-04-25,mortos,80 ou mais,9,7,16,False
2020-04-26,mortos,00 a 19,1,0,1,False
2020-04-26,mortos,20 a 29,1,0,1,False
2020-04-26,mortos,30 a 39,1,4,5,False
2020-04-26,mortos,40 a 49,2,4,6,False
2020-04-26,mortos,50 a 59,1,4,5,False
2020-04-26,mortos,60 a 69,3,7,10,False
2020-04-26,mortos,70 a 79,3,3,6,False
2020-04-26,mortos,80 ou mais,9,7,16,False
2020-04-27,mortos,00 a 19,1,0,1,False
2020-04-27,mortos,20 a 29,1,0,1,False
2020-04-27,mortos,30 a 39,1,4,5,False
2020-04-27,mortos,40 a 49,2,4,6,False
2020-04-27,mortos,50 a 59,2,5,7,False
2020-04-27,mortos,60 a 69,3,7,10,False
2020-04-27,mortos,70 a 79,4,3,7,False
2020-04-27,mortos,80 ou mais,9,7,16,False
2020-04-28,mortos,00 a 19,1,0,1,False
2020-04-28,mortos,20 a 29,1,0,1,False
2020-04-28,mortos,30 a 39,1,4,5,False
2020-04-28,mortos,40 a 49,2,4,6,False
2020-04-28,mortos,50 a 59,2,5,7,False
2020-04-28,mortos,60 a 69,3,8,11,False
2020-04-28,mortos,70 a 79,4,6,10,False
2020-04-28,mortos,80 ou mais,9,7,16,False
2020-04-29,mortos,00 a 19,1,0,1,False
2020-04-29,mortos,20 a 29,2,0,2,False
2020-04-29,mortos,30 a 39,1,4,5,False
2020-04-29,mortos,40 a 49,2,5,7,False
2020-04-29,mortos,50 a 59,2,6,8,False
2020-04-29,mortos,60 a 69,3,8,11,False
2020-04-29,mortos,70 a 79,4,6,10,False
2020-04-29,mortos,80 ou mais,10,8,18,False
2020-04-30,mortos,00 a 19,1,0,1,False
2020-04-30,mortos,20 a 29,2,0,2,False
2020-04-30,mortos,30 a 39,1,4,5,False
2020-04-30,mortos,40 a 49,3,6,9,False
2020-04-30,mortos,50 a 59,2,8,10,False
2020-04-30,mortos,60 a 69,4,8,12,False
2020-04-30,mortos,70 a 79,4,6,10,False
2020-04-30,mortos,80 ou mais,10,8,18,False
2020-05-01,mortos,00 a 19,1,0,1,False
2020-05-01,mortos,20 a 29,2,0,2,False
2020-05-01,mortos,30 a 39,1,6,7,False
2020-05-01,mortos,40 a 49,3,6,9,False
2020-05-01,mortos,50 a 59,2,9,11,False
2020-05-01,mortos,60 a 69,4,8,12,False
2020-05-01,mortos,70 a 79,4,7,11,False
2020-05-01,mortos,80 ou mais,10,11,21,False
2020-05-02,mortos,00 a 19,1,0,1,False
2020-05-02,mortos,20 a 29,2,0,2,False
2020-05-02,mortos,30 a 39,1,6,7,False
2020-05-02,mortos,40 a 49,3,6,9,False
2020-05-02,mortos,50 a 59,2,10,12,False
2020-05-02,mortos,60 a 69,4,8,12,False
2020-05-02,mortos,70 a 79,4,8,12,False
2020-05-02,mortos,80 ou mais,10,11,21,False
2020-05-03,mortos,00 a 19,1,0,1,False
2020-05-03,mortos,20 a 29,2,0,2,False
2020-05-03,mortos,30 a 39,1,6,7,False
2020-05-03,mortos,40 a 49,3,6,9,False
2020-05-03,mortos,50 a 59,2,11,13,False
2020-05-03,mortos,60 a 69,4,10,14,False
2020-05-03,mortos,70 a 79,4,8,12,False
2020-05-03,mortos,80 ou mais,10,11,21,False
2020-05-04,mortos,00 a 19,1,0,1,False
2020-05-04,mortos,20 a 29,2,0,2,False
2020-05-04,mortos,30 a 39,1,6,7,False
2020-05-04,mortos,40 a 49,3,7,10,False
2020-05-04,mortos,50 a 59,2,12,14,False
2020-05-04,mortos,60 a 69,5,12,17,False
2020-05-04,mortos,70 a 79,4,8,12,False
2020-05-04,mortos,80 ou mais,11,11,22,False
2020-05-05,mortos,00 a 19,1,0,1,False
2020-05-05,mortos,20 a 29,2,0,2,False
2020-05-05,mortos,30 a 39,2,7,9,False
2020-05-05,mortos,40 a 49,3,8,11,False
2020-05-05,mortos,50 a 59,3,12,15,False
2020-05-05,mortos,60 a 69,5,13,18,False
2020-05-05,mortos,70 a 79,5,8,13,False
2020-05-05,mortos,80 ou mais,12,11,23,False
2020-05-06,mortos,00 a 19,1,0,1,False
2020-05-06,mortos,20 a 29,2,0,2,False
2020-05-06,mortos,30 a 39,2,7,9,False
2020-05-06,mortos,40 a 49,4,10,14,False
2020-05-06,mortos,50 a 59,3,14,17,False
2020-05-06,mortos,60 a 69,6,14,20,False
2020-05-06,mortos,70 a 79,6,8,14,False
2020-05-06,mortos,80 ou mais,12,12,24,False
2020-05-07,mortos,00 a 19,1,0,1,False
2020-05-07,mortos,20 a 29,2,0,2,False
2020-05-07,mortos,30 a 39,3,7,10,False
2020-05-07,mortos,40 a 49,4,11,15,False
2020-05-07,mortos,50 a 59,3,15,18,False
2020-05-07,mortos,60 a 69,6,17,23,False
2020-05-07,mortos,70 a 79,6,9,15,False
2020-05-07,mortos,80 ou mais,12,15,27,False
2020-05-08,mortos,00 a 19,1,0,1,False
2020-05-08,mortos,20 a 29,2,0,2,False
2020-05-08,mortos,30 a 39,3,7,10,False
2020-05-08,mortos,40 a 49,4,11,15,False
2020-05-08,mortos,50 a 59,3,15,18,False
2020-05-08,mortos,60 a 69,7,18,25,False
2020-05-08,mortos,70 a 79,6,10,16,False
2020-05-08,mortos,80 ou mais,12,15,27,False
2020-05-09,mortos,00 a 19,1,0,1,False
2020-05-09,mortos,20 a 29,2,0,2,False
2020-05-09,mortos,30 a 39,3,7,10,False
2020-05-09,mortos,40 a 49,4,12,16,False
2020-05-09,mortos,50 a 59,4,15,19,False
2020-05-09,mortos,60 a 69,8,18,26,False
2020-05-09,mortos,70 a 79,7,11,18,False
2020-05-09,mortos,80 ou mais,16,16,32,False
2020-05-10,mortos,00 a 19,1,0,1,False
2020-05-10,mortos,20 a 29,2,0,2,False
2020-05-10,mortos,30 a 39,3,7,10,False
2020-05-10,mortos,40 a 49,5,14,19,False
2020-05-10,mortos,50 a 59,4,15,19,False
2020-05-10,mortos,60 a 69,8,18,26,False
2020-05-10,mortos,70 a 79,8,16,24,False
2020-05-10,mortos,80 ou mais,16,18,34,False
2020-05-11,mortos,00 a 19,1,0,1,False
2020-05-11,mortos,20 a 29,2,0,2,False
2020-05-11,mortos,30 a 39,3,7,10,False
2020-05-11,mortos,40 a 49,5,14,19,False
2020-05-11,mortos,50 a 59,5,15,20,False
2020-05-11,mortos,60 a 69,10,18,28,False
2020-05-11,mortos,70 a 79,8,17,25,False
2020-05-11,mortos,80 ou mais,16,18,34,False
2020-05-12,mortos,00 a 19,1,0,1,False
2020-05-12,mortos,20 a 29,2,0,2,False
2020-05-12,mortos,30 a 39,3,7,10,False
2020-05-12,mortos,40 a 49,8,17,25,False
2020-05-12,mortos,50 a 59,6,15,21,False
2020-05-12,mortos,60 a 69,10,19,29,False
2020-05-12,mortos,70 a 79,9,18,27,False
2020-05-12,mortos,80 ou mais,18,21,39,False
2020-05-13,mortos,00 a 19,1,0,1,False
2020-05-13,mortos,20 a 29,2,0,2,False
2020-05-13,mortos,30 a 39,3,7,10,False
2020-05-13,mortos,40 a 49,8,17,25,False
2020-05-13,mortos,50 a 59,6,15,21,False
2020-05-13,mortos,60 a 69,12,19,31,False
2020-05-13,mortos,70 a 79,9,19,28,False
2020-05-13,mortos,80 ou mais,18,21,39,False
2020-05-14,mortos,00 a 19,1,0,1,False
2020-05-14,mortos,20 a 29,2,0,2,False
2020-05-14,mortos,30 a 39,3,7,10,False
2020-05-14,mortos,40 a 49,8,17,25,False
2020-05-14,mortos,50 a 59,6,16,22,False
2020-05-14,mortos,60 a 69,12,19,31,False
2020-05-14,mortos,70 a 79,9,20,29,False
2020-05-14,mortos,80 ou mais,19,21,40,False
2020-05-15,mortos,00 a 19,1,1,2,False
2020-05-15,mortos,20 a 29,2,0,2,False
2020-05-15,mortos,30 a 39,3,8,11,False
2020-05-15,mortos,40 a 49,10,19,29,False
2020-05-15,mortos,50 a 59,6,16,22,False
2020-05-15,mortos,60 a 69,13,20,33,False
